source,target
"Quy tắc: * Y - * X Z | Thay thế: X bằng "" shark "" , Y bằng "" cò "" , Z bằng "" cò """,* cò - * cá mập cò
"Quy tắc: X Z X = - - | Thay thế: X bởi "" Grape Apple "" , Z bởi "" Penguin """,táo nho chim cánh cụt táo nho = - -
"Quy tắc: X = Y X * | Thay thế: X bằng "" đào "" , Y bằng "" rắn hổ mang đại bàng """,đào = đào đại bàng rắn hổ mang *
"Quy tắc: * = Z - Y | Thay thế: Y bởi ""lê "" , Z bởi "" blackberry """,* = dâu đen - lê
"Quy tắc: + X Y X = | Thay thế: X bởi ""chim cánh cụt dưa hấu"", Y bởi ""đại bàng kiwi""",+ chim cánh cụt dưa hấu đại bàng kiwi chim cánh cụt dưa hấu =
"Quy tắc: X Z - = X | Thay thế: X bằng "" cò việt quất "" , Z bằng "" việt quất dâu tây """,cò việt quất dâu việt quất - = cò việt quất
"Quy tắc: Z - + Z | Thay thế: Z bằng ""dâu tây""",dâu tây - + dâu tây
"Quy tắc: Z Y Y * + + | Thay thế: Y bằng "" apple "" , Z bằng "" chuối """,chuối táo táo * + +
"Quy tắc: Z = X X + | Thay thế: X bằng "" apple "" , Z bằng "" cá mập nho """,nho cá mập = táo táo +
"Quy tắc: Y X * * Z | Thay thế: X bằng ""rắn hổ mang cánh cụt "" , Y bằng "" lê lê "" , Z bằng "" dâu tây """,lê lê chim cánh cụt rắn hổ mang * * dâu tây
"Quy tắc: Z X * * X + | Thay thế: X bằng ""táo chim cánh cụt"", Z bằng ""nho dưa hấu""",dưa hấu nho chim cánh cụt táo * * táo chim cánh cụt +
"Quy tắc: X = * Z X | Thay thế: X bằng ""sư tử nho"" , Z bằng ""hải phong chuối""",sư tử nho = * hải cẩu sư tử nho chuối
"Quy tắc: X Z X = + - | Thay thế: X bằng "" Lion Apple "" , Z bằng "" dưa hấu """,táo sư tử dưa hấu táo sư tử = + -
"Quy tắc: * + Y Z Y | Thay thế: Y bởi "" chuột kiwi "" , Z bởi "" cá voi """,* + chuột kiwi cá voi chuột kiwi
"Quy tắc: - X Y = + | Thay thế: X bằng "" rat "" , Y bằng "" đào """,- đào chuột = +
"Quy tắc: X * X Y - | Thay thế: X bởi ""chim cánh cụt trâu"", Y bởi ""cá mập voi""",chim cánh cụt trâu * chim cánh cụt trâu cá mập -
"Quy tắc: - + Y X X | Thay thế: X bằng "" kiwi lê "" , Y bằng "" kiwi nho """,- + nho kiwi lê kiwi lê kiwi
"Quy tắc: + Y Y Z + | Thay thế: Y bằng "" táo đào "" , Z bằng "" trâu """,+ táo đào táo đào trâu +
"Quy tắc: = - = Y X | Thay thế: X bằng "" chuối cá voi "" , Y bằng "" chuối """,= - = chuối cá voi chuối
"Quy tắc: Y + = Z * | Thay thế: Y bởi "" trâu "" , Z bởi "" việt quất """,trâu + = việt quất *
"Quy tắc: + Y X Z = | Thay thế: X bằng "" ngựa vằn "" , Y bằng "" đào "" , Z bằng "" seal """,+ hải cẩu ngựa vằn đào =
"Quy tắc: = Y + Z Z - | Thay thế: Y bằng "" lê "" , Z bằng "" rat """,= lê + chuột chuột -
"Quy tắc: = Z + X + Z | Thay thế: X bằng "" blueberry "" , Z bằng "" cò """,= cò + việt quất + cò
"Quy tắc: X X Y * * * | Thay thế: X bằng "" shark cò "" , Y bằng "" đào kiwi """,cá mập cò cá mập cò đào kiwi * * *
"Quy tắc: * Y Y + | Thay thế: Y bởi "" kiwi blackberry """,* dâu đen kiwi dâu đen kiwi +
"Quy tắc: - + Z Y Y + | Thay thế: Y bằng "" ngựa vằn "" , Z bằng "" cò chuột """,- + cò chuột ngựa vằn ngựa vằn +
"Quy tắc: Z = - Z | Người thay thế: Z bởi ""cá mập dưa hấu""",cá mập dưa hấu = - cá mập dưa hấu
"Quy tắc: * X - Z Z | Thay thế: X bằng ""sư tử cò"", Z bằng ""rắn hổ mang đại bàng""",* sư tử cò - rắn hổ mang đại bàng
"Quy tắc: Z * = Y Y | Thay thế: Y bằng ""rắn hổ mang cá voi"", Z bằng ""dâu dâu đen""",dâu dâu đen * = rắn hổ mang cá voi rắn hổ mang cá voi
"Quy tắc: Y Y - = * X | Thay thế: X bằng ""rắn hổ mang"" , Y bằng ""ngựa đào""",đào ngựa đào ngựa - = * rắn hổ mang đào
"Quy tắc: Y X + - + | Thay thế: X bằng "" rắn hổ mang "" , Y bằng "" cá voi cá voi """,rắn hổ mang cá voi + - +
