source,target
Hai kết quả: + việt quất = ngựa | + Rắn hổ mang việt quất = Cò cá voi,Quy tắc: + Z = X
Hai kết quả: nho + nho + nho = | Đại bàng + Đại bàng + Đại bàng =,Quy tắc: Y + Y + Y =
Hai kết quả: lê * lê việt quất - | trâu * Trâu đào chim cánh cụt -,Quy tắc: Y * Z Y -
Hai kết quả: cá voi cò = cò - | chim cánh cụt cá voi chim cánh cụt nho = chim cánh cụt cá voi -,Quy tắc: Y x = Y -
Hai kết quả: chim cánh cụt đào chim cánh cụt - = + đào chim cánh cụt | chuối chuối - = + chuối,Quy tắc: Y Y - = + Y
Hai kết quả: + quả việt quất hải cẩu táo - = | + Dưa hấu ngựa vằn - =,Quy tắc: + Z Y - =
Hai kết quả: = cá mập cò = + | = hải cẩu trâu = +,Quy tắc: = X Z = +
Hai kết quả: - đào ngựa vằn cá mập = | - Hải cẩu ngựa vằn đào =,Quy tắc: - Y x Z =
Hai kết quả: = trâu cá mập * + dưa hấu | = chim cánh cụt * + trâu,Quy tắc: = Y * + Z
Hai kết quả: - - chuột chuột + trâu ngựa | - - Ngựa vằn + dâu tây,Quy tắc: - - Y + Z
Hai kết quả: = ngựa vằn đại bàng - | = hải cẩu dâu tây dưa hấu blackberry -,Quy tắc: = Z X -
Hai kết quả: - = nho = nho | - = Cá mập = Rắn hổ mang Blackberry,Quy tắc: - = Y = X
Hai kết quả: nho = + sư tử - nho | dâu tây cá mập = + sư tử blackberry - dâu cá mập,Quy tắc: X = + Z - X
Hai kết quả: * = lê chim cánh cụt lê cò | * = dâu trâu ngựa vằn,Quy tắc: * = Z X
"Hai kết quả: = + Cò đại bàng chuối chuối dâu tây | = + Rắn hổ mang nho, chuối, chuột, cá mập",Quy tắc: = + X Y Z
Hai kết quả: ngựa vằn blackberry blackberry zebra * + | Ngựa dâu tây ngựa * +,Quy tắc: Z Z * +
Hai kết quả: kiwi - = kiwi | Kiwi đào - = kiwi đào,Quy tắc: Y - = Y
Hai kết quả: cá voi dâu tây + cò ngựa vằn = | lê chuột + sư tử sư tử blackberry đào =,Quy tắc: X + Z Y =
Hai kết quả: * * Ngựa vằn chuối - | * * Chim cánh cụt nho -,Quy tắc: * * Z Y -
Hai kết quả: cò việt quất dâu tây ngựa vằn * - cò việt quất + | Con cò ngựa vằn việt quất * - quả việt quất +,Quy tắc: Y X * - X +
Hai kết quả: rắn hổ mang - dưa hấu blackberry - rắn hổ mang | Cá voi nho - Đại bàng - Cá voi nho,Quy tắc: Y - X - Y
Hai kết quả: * trâu táo + = chim cánh cụt | * dâu tây + = cá voi,Quy tắc: * X + = Z
Hai kết quả: * lê blackberry blackberry nho = lê blackberry | * Đại bàng sư tử blackberry = sư tử đại bàng,Quy tắc: * Y Z = Y
Hai kết quả: = dâu táo + dâu táo = | = Cò dưa hấu + Cò dưa hấu =,Quy tắc: = X + X =
Hai kết quả: hải cẩu chuột * - - cá mập việt quất | Dưa hấu ngựa vằn * - - Ngựa vằn,Quy tắc: Y * - - X
"Hai kết quả: + chuột, chuối, lê, chuối, lê + | + Đào đào dâu đen + +",Quy tắc: + X Y Y + +
Hai kết quả: quất trâu việt quất trâu trâu ngựa vằn cá mập = - - | Chim cánh cụt cá mập đại bàng = - -,Quy tắc: X x Z = - -
Hai kết quả: chuối chuối chuối chuối = - rắn hổ mang | dâu tây = - Kiwi chuột,Quy tắc: Y Y = - Z
Hai kết quả: cá voi * * cá voi | chuột ngựa * * chuột ngựa,Quy tắc: X * * X
Hai kết quả: * Đại bàng cá voi + - lê rắn hổ mang | * Trâu + - Kiwi việt quất,Quy tắc: * X + - Z
Hai kết quả: = + cò + | = + Trâu kiwi chim cánh cụt +,Quy tắc: = + X Z +
Hai kết quả: * + táo đen + lê dâu | * + Lê hải cẩu + Trâu hải cẩu chim cánh cụt,Quy tắc: * + Y + X Z
Hai kết quả: + việt quất chuối việt quất * việt quất chuối = | + Trâu việt quất * Quả việt quất =,Quy tắc: + Z Y * Z =
Hai kết quả: chuột - kiwi + kiwi | Nho chuột - Đại bàng + Đại bàng,Quy tắc: Z - Y + Y
Hai kết quả: - = + Cá mập cá mập voi lê | - = + Ngựa vằn táo dâu tây,Quy tắc: - = + Z Y
Hai kết quả: = đại bàng trâu = chuột | = Táo cò = Lê trâu,Quy tắc: = Z = X
Hai kết quả: cò = cò = = | nho = nho = =,Quy tắc: Y = Y = =
Hai kết quả: - dưa hấu chuối - | - Ngựa việt quất chim cánh cụt cá mập -,Quy tắc: - Y X -
Hai kết quả: + * chuối + ngựa | + * Chuối đại bàng + Chuột sư tử,Quy tắc: + * X + Z
Hai kết quả: ngựa vằn = nho blackberry - - | chuối chuối = dâu tây - -,Quy tắc: Y Y = X - -
Hai kết quả: dưa hấu - + rắn hổ mang | Kiwi táo - + ngựa vằn,Quy tắc: X - + Y
Hai kết quả: * + Ngựa vằn cò hải cẩu nho | * + Chuối sư tử ngựa vằn,Quy tắc: * + X Z Y
Hai kết quả: đại bàng - đại bàng lê nho * | đào - đào đào *,Quy tắc: X - X Z *
Hai kết quả: = Cá voi hổ mang - rắn hổ mang | = Cò dâu đen - Kiwi,Quy tắc: = X - Z
Hai kết quả: - sư tử lê + * lê | - Rắn hổ mang Sư tử Rắn hổ mang Kiwi + * Sư tử hổ mang,Quy tắc: - X Y + * X
