source,target
Hai kết quả: * cò - * cò cá mập | * ngựa - * ngựa cánh cụt trâu,Quy tắc: * Y - * X Z
Hai kết quả: táo nho chim cánh cụt nho táo = - - | cá mập lê đại bàng lê cá mập lê = - -,Quy tắc: X Z X = - -
Hai kết quả: đào = đào đại bàng rắn hổ mang * | chuột = hải cẩu chuột *,Quy tắc: X = Y X *
Hai kết quả: * = blackberry - lê | * = ngựa vằn - dâu đen lê,Quy tắc: * = Z - Y
Hai kết quả: + dưa hấu chim cánh cụt đại bàng kiwi dưa hấu chim cánh cụt = | + Cá mập lê hải cẩu cá mập =,Quy tắc: + X Y X =
Hai kết quả: cò việt quất dâu tây việt quất - = cò việt quất | Dưa hấu ngựa vằn hải cẩu - = Ngựa vằn hải cẩu,Quy tắc: X Z - = X
Hai kết quả: dâu tây - + dâu tây | chuột - + chuột,Quy tắc: Z - + Z
Hai kết quả: chuối táo táo * + + | lê ngựa vằn lê lê * + +,Quy tắc: Z Y Y * + +
Hai kết quả: nho cá mập = táo táo + | Ngựa vằn rắn hổ mang = chuột nho chuột +,Quy tắc: Z = X X +
Hai kết quả: lê lê chim cánh cụt rắn hổ mang * * dâu tây | dâu táo * * blackberry blackberry,Quy tắc: Y X * * Z
Hai kết quả: dưa hấu nho chim cánh cụt táo * * chim cánh cụt táo + | Dưa hấu lê sư tử * * dưa hấu +,Quy tắc: Z X * * X +
Hai kết quả: sư tử nho = * hải cẩu sư tử nho chuối | Ngựa dâu = * Ngựa dâu tây việt quất sư tử,Quy tắc: X = * Z X
Hai kết quả: sư tử táo dưa hấu sư tử táo = + - | hải cẩu cá mập dưa hấu chuột hải cẩu cá mập = + -,Quy tắc: X Z X = + -
Hai kết quả: * + chuột kiwi cá voi chuột kiwi | * + Trâu dưa hấu,Quy tắc: * + Y Z Y
Hai kết quả: - đào chuột = + | - cá mập nho = +,Quy tắc: - X Y = +
Hai kết quả: trâu cánh cụt * Cá mập voi trâu cánh cụt - | lê cá mập * kiwi lê cá mập -,Quy tắc: X * X Y -
"Hai kết quả: - + nho kiwi kiwi lê kiwi lê | - + Kiwi cá voi ngựa vằn, kiwi cá voi",Quy tắc: - + Y X X
"Hai kết quả: + táo đào đào trâu + | + Chuột chuột, trâu +",Quy tắc: + Y Y Z +
