question,target
"Nếu một cây anh túc nhàm chán và đỏ, thì cây anh túc rất to.
Nếu một cây anh túc nhanh, thì cây anh túc yếu.
Nếu một cây anh túc thông minh hoặc nóng, thì cây anh túc là tốt.
Nếu một cây anh túc có màu tím, thì cây anh túc là xấu.
Nếu một cây anh túc đẹp và mạnh mẽ, thì cây anh túc mềm.
Điều:
Cây anh túc rất đẹp và nóng.
Những điều sau đây có thể được xác định về cây anh túc:",Cây anh túc là tốt.
"Nếu Frank có màu đỏ, thì Frank rất đẹp.
Nếu Frank có màu xanh, thì Frank lớn.
Nếu Frank hạnh phúc hoặc xanh, thì Frank mềm mại.
Nếu Frank còn trẻ, thì Frank có màu tím.
Nếu Frank đáng sợ, thì Frank tròn.
Điều:
Frank hạnh phúc và già nua.
Những điều sau đây có thể được xác định về Frank:",Frank mềm mại.
"Nếu một bông hồng nhỏ, thì hoa hồng còn non.
Nếu một bông hồng nóng và hạnh phúc, thì hoa hồng chậm.
Nếu một bông hồng nhanh hoặc tròn, thì hoa hồng là xấu.
Nếu một bông hồng yếu, thì hoa hồng lớn.
Nếu một bông hồng thông minh, thì hoa hồng có màu xanh.
Điều:
Hoa hồng nhàm chán và tròn.
Những điều sau đây có thể được xác định về hoa hồng:",Hoa hồng là xấu.
"Nếu Frank buồn, thì Frank có màu xanh lá cây.
Nếu Frank đỏ, thì Frank hạnh phúc.
Nếu Frank nhỏ, thì Frank tốt.
Nếu Frank mạnh mẽ và đáng sợ, thì Frank chậm chạp.
Nếu Frank có màu xanh, thì Frank mềm.
Điều:
Frank đỏ mặt và chậm chạp.
Những điều sau đây có thể được xác định về Frank:",Frank hạnh phúc.
"Nếu một bông hồng lạnh, thì hoa hồng nóng.
Nếu một bông hồng lớn và nhỏ, thì hoa hồng có màu tím.
Nếu một bông hồng chậm hoặc thông minh, thì hoa hồng có màu đỏ.
Nếu một bông hồng có màu xanh, thì hoa hồng tròn.
Nếu một bông hồng có màu xanh lá cây, thì hoa hồng nhanh.
Điều:
Hoa hồng rất đẹp và màu xanh.
Những điều sau đây có thể được xác định về hoa hồng:",Hoa hồng tròn.
"Nếu một cây anh túc mạnh, thì cây anh túc lớn.
Nếu một cây anh túc có màu xanh, thì cây anh túc nóng.
Nếu một cây anh túc có màu xanh lá cây hoặc trẻ, thì cây anh túc là xấu.
Nếu một cây anh túc yếu, thì cây anh túc lạnh.
Nếu một cây anh túc đẹp, thì cây anh túc có màu tím.
Điều:
Cây anh túc có màu đỏ và trẻ.
Những điều sau đây có thể được xác định về cây anh túc:",Cây anh túc là xấu.
"Nếu một con hổ tốt, thì con hổ thật đáng sợ.
Nếu một con hổ buồn, thì con hổ có màu đỏ.
Nếu một con hổ nhanh và nhàm chán, thì con hổ yếu.
Nếu một con hổ sạch, thì con hổ có màu xanh lá cây.
Nếu một con hổ tròn, thì con hổ nóng.
Điều:
Con hổ xấu và tốt.
Những điều sau đây có thể được xác định về hổ:",Con hổ thật đáng sợ.
"Nếu một con thỏ khỏe, thì thỏ rất đẹp.
Nếu một con thỏ xấu, thì thỏ sạch sẽ.
Nếu một con thỏ có màu đỏ và thông minh, thì thỏ rất vui.
Nếu một con thỏ có màu xanh, thì thỏ mềm.
Nếu một con thỏ nóng hoặc tím, thì thỏ lạnh.
Điều:
Con thỏ mềm mại và buồn bã.
Những điều sau đây có thể được xác định về thỏ:",Sự không có.
"Nếu một con hươu cao cổ thông minh và tròn, thì hươu cao cổ lớn.
Nếu một con hươu cao cổ sạch sẽ, thì hươu cao cổ là tốt.
Nếu một con hươu cao cổ hạnh phúc hoặc màu tím, thì hươu cao cổ có màu đỏ.
Nếu một con hươu cao cổ khỏe, thì hươu cao cổ chậm.
Nếu một con hươu cao cổ nhàm chán, thì hươu cao cổ là xấu.
Điều:
Hươu cao cổ sạch sẽ và thông minh.
Những điều sau đây có thể được xác định về hươu cao cổ:",Hươu cao cổ là tốt.
"Nếu một con hà mã lạnh lùng hoặc đáng sợ, thì hà mã rất đẹp.
Nếu một con hà mã to hoặc mềm, thì hà mã thật nhàm chán.
Nếu một con hà mã hạnh phúc, thì hà mã là xấu.
Nếu một con hà mã có màu xanh lá cây, thì hà mã yếu.
Nếu một con hà mã có màu xanh, thì hà mã nhanh.
Điều:
Con hà mã hạnh phúc và to lớn.
Những điều sau đây có thể được xác định về hà mã:",Con hà mã nhàm chán và xấu.
