problem,level,type,solution
"Nếu $x = 2$ và $y = 5$, thì giá trị của $\frac{x^4+2y^2}{6}$ là bao nhiêu?",Level 1,Algebra,Chúng ta có \[\frac{x^4 + 2y^2}{6} = \frac{2^4 + 2(5^2)}{6} = \frac{16+2(25)}{6} = \frac{16+50}{6} = \frac{66}{6} = \boxed{11}.\]
"Chu vi của một khu vườn hình chữ nhật là 60 feet. Nếu chiều dài của trường gấp đôi chiều rộng, diện tích của trường, tính bằng feet vuông là bao nhiêu?",Level 1,Algebra,"Nếu chiều dài là $l $ và chiều rộng là $w $, thì chu vi là $ 2l + 2w $. Chúng ta có thể thiết lập các phương trình $2l+2w=60 \Rightarrow l+w=30$, và $l=2w$. Bây giờ chúng ta thay thế $l $ theo $w $ vào phương trình đầu tiên và nhận được $l + w = 2w + w = 30 $, vì vậy $w = 10 $ và $l = 2 (10) = 20 $. Điều đó có nghĩa là diện tích của khu vườn hình chữ nhật là $lw = 20 (10) = \ đóng hộp {200} $ feet vuông."
Hàm $f(x)$ được định nghĩa bởi $f(x)=x^{2}-x$. Giá trị của $f(4)$ là gì?,Level 1,Algebra,$f(4)=4^2-4=16-4=\boxed{12}$.
Tổng của hai số là $45. Sự khác biệt của họ là $ 3 đô la. Số ít hơn trong hai số là gì?,Level 1,Algebra,"Hãy để $x,y$ lần lượt là những con số lớn hơn và nhỏ hơn. Chúng ta có $x + y = 45 $ và $x y = 3 $. Do đó: $y=\frac{1}{2}((x+y)-(x-y))=\frac{1}{2}(45-3)=\boxed{21}$."
Giá trị của $(2x + 5)^2$ khi $x = 3$?,Level 1,Algebra,Ta có $(2x+5)^2 = (2\cdot 3 + 5)^2 = 11^2 = \boxed{121}$.
Giải cho $x$: $\dfrac{1}{2} + \dfrac{1}{x} = \dfrac{5}{6}$.,Level 1,Algebra,"Trừ $\frac12$ từ cả hai bên cho $\frac1x = \frac56-\frac12 = \frac13$, vì vậy lấy đối ứng của cả hai bên cho $x = \boxed{3}$."
"Ba số hạng đầu tiên của một dãy số học lần lượt là 1, 10 và 19. Giá trị của nhiệm kỳ 21 là gì?",Level 1,Algebra,"Sự khác biệt phổ biến cho dãy số học này là $10 - 1 = 9$, do đó, thuật ngữ $21^{\text{st}}$ là $1 + 9 \cdot 20 = \boxed{181}$."
Đánh giá $(2 + 1)(2^2 + 1^2)(2^4 + 1^4)$.,Level 1,Algebra,"Chúng ta có thể nhân rộng điều này ra, nhưng điều đó sẽ rất tẻ nhạt. Thay vào đó, chúng ta nhân toàn bộ biểu thức với $\frac{2-1}{2-1}$ và sử dụng hiệu của các ô vuông: \begin{align*}
&\ \ \ \ \frac{1}{2-1}(2 - 1)(2 + 1)(2^2 + 1^2)(2^4 + 1^4) \\
&= (2^2 - 1^2)(2^2 + 1^2)(2^4 + 1^4) \\
&= (2^4 - 1^4)(2^4 + 1^4) \\
&= 2^8 - 1^8 \\
&= \đóng hộp{255}.
\end{align*}"
"Cho hai hàm $f(x)=x^2+1$ và $g(x)=2x-1$, tìm $f(g(5))$.",Level 1,Algebra,"Vì chúng ta biết rằng $f(x)=x^2+1$ và $g(x)=2x-1$, biểu thức cho $f(g(x))$ chỉ là $(2x-1)^2+1$. Từ đây, chúng ta chỉ có thể cắm 5 làm giá trị cho $x đô la. \begin{align*} (f(g(5))&=(2(5)-1)^2+1
\\ &=(10-1)^2+1
\\ &=(9)^2+1
\\ &=81+1
\\ &=\đóng hộp{82}
\end{align*}"
"Sau khi đi 50 dặm bằng taxi, Ann bị tính giá vé $ \ $ 120 $. Giả sử giá vé taxi tỷ lệ thuận với quãng đường di chuyển, Ann sẽ bị tính phí bao nhiêu (bằng đô la) nếu cô ấy đã đi 70 dặm?",Level 1,Algebra,"Hãy để $d đô la bằng chi phí của một chuyến đi taxi 70 dặm. Vì chúng ta biết rằng Ann đã bị tính phí $ 120 đô la cho một chuyến taxi 50 dặm, chúng ta có thể thiết lập tỷ lệ $ \ frac{120}{50} = \ frac{d}{70} $. Nếu chúng ta giải cho $d$ bằng cách nhân cả hai vế với 70, chúng ta thấy rằng $d=\left(\frac{120}{50}\right)(70)=\boxed{168}$ dollars."
Giá trị của $(x - y)(x + y)$ là bao nhiêu nếu $x = 10$ và $y = 15$?,Level 1,Algebra,$(x-y)(x+y)=(10-15)(10+15) = (-5)(25) = \boxed{-125}$.
"Nếu lunks 5 đô la có thể được giao dịch với giá 3 đô la kunks và 2 đô la kunks sẽ mua táo 4 đô la, cần bao nhiêu lunk để mua một tá táo?",Level 1,Algebra,"Một tá táo là 12 quả táo, có giá $ 2 \ cdot3 = 6 $ kunks (vì 4 quả táo có giá 2 kunks), có giá $ 5 \ cdot2 = \ đóng hộp {10} $ lunks (vì 3 kunks có giá 5 lunks)."
"Tìm giá trị của $\frac{5x+9y}{45xy}$, cho $x = \frac{3}{5}$ và $y = \frac{7}{9}$.",Level 1,Algebra,Chúng ta thay thế các giá trị cho $x$ và $y$ vào biểu thức và nhận $$\frac{5\left(\frac35\right)+9\left(\frac79\right)}{45\left(\frac35\right)\left(\frac79\right)}=\frac{3+7}{3\cdot7}=\boxed{\frac{10}{21}}.$$
"Hãy xem xét dãy số học $1$, $4$, $7$, $10$, $13$, $\ldots$.  Tìm thuật ngữ $15^{\text{th}}$ trong chuỗi.",Level 1,Algebra,"Thuật ngữ đầu tiên là 1 và sự khác biệt chung là 3.  Do đó, để có được thuật ngữ $15^\text{th}$, chúng ta phải thêm 3 vào số hạng đầu tiên 14 lần, để có được $1+ 3(14) = \boxed{43}$."
"Cho rằng $x + y = 10 $ và $ 2x + y = 13 $, hãy đánh giá $x ^ 2-y ^ 2 $.",Level 1,Algebra,"Trừ phương trình đã cho đầu tiên khỏi phương trình thứ hai, chúng ta có $2x+y-(x+y)=13-10 \Rightarrow x=3$. Cắm giá trị của $x $ vào phương trình đã cho đầu tiên để giải cho $y $, chúng ta có $y = 10-x = 7 $. Do đó, $x^2-y^2=3^2-7^2=\boxed{-40}$."
"$f (x) = x + 3$ và $g(x) = x^2 -6$, giá trị của $f (g(2))$là bao nhiêu?",Level 1,Algebra,$f(g(2))=f(2^2-6)=f(-2)=-2+3=\boxed{1}$.
Máy tính: $55\times1212-15\times1212$.,Level 1,Algebra,Chúng ta có $55 \times 1212 - 15 \times 1212 = 1212(55-15) = 1212(40) = 4848(10) = \boxed{48480}$.
Tính toán: $(243)^{\frac35}$,Level 1,Algebra,"Chúng ta bắt đầu bằng cách tìm thừa số nguyên tố là 243.  Chúng ta tìm $243 = 3^5$, vậy ta có $(243)^{\frac35} = (3^5)^{\frac35} = 3^{5\cdot \frac{3}{5}} = 3^3 = \boxed{27}$."
