source,target
Rules: = Z + - X | - + = X Z | Z - X + = | + - = Z X | Result: = watermelon lion + - zebra,= Z + - X
Rules: + = X Y | Y X = + | + Y X = Y | Y X = + | Result: + horse cobra horse = horse,+ Y X = Y
Rules: = Z Y = | Z = = Y | = Z Y = | = Y = Z Y | Result: = seal pear = lion seal pear,= Y = Z Y
Rules: Z Y * X - = | = Y Z X * - | Y * = Z X - | * = X - Z Y | Result: = grape kiwi eagle strawberry shark * -,= Y Z X * -
Rules: - + X X | - X + | - + X | + - X | Result: - + zebra banana zebra banana,- + X X
Rules: X Y + Z = * | X + * Z = Y | = * X + Y Z | X = * + Y Z | Result: = * blueberry + strawberry cobra banana,= * X + Y Z
Rules: - X Z * | Z * X - | * X - Z | - X X * Z | Result: - grape zebra grape zebra * eagle horse,- X X * Z
Rules: X * = * Y | = X * * Y X | = * X * Y | * * Y = X | Result: = lion * * lion rat lion,= X * * Y X
Rules: = - Y X Y | X Y - = | = X Y - | = - X Y | Result: = - grape kiwi penguin strawberry grape kiwi,= - Y X Y
Rules: X Y = + | Y + = X | = + X Y | = Y + X | Result: watermelon buffalo blackberry pear = +,X Y = +
Rules: Z * - + Y | * + - Z Y | Z Y * - + | + Y - * Z | Result: * + - strawberry watermelon,* + - Z Y
Rules: = Y Z + X = | = Y Z = + X | = Z X = Y + | Y = X Z = + | Result: = buffalo kiwi = kiwi horse +,= Z X = Y +
Rules: = Z Y * | Z = Y * | Y * Z = | Y Z * = | Result: watermelon blackberry banana stork * =,Y Z * =
Rules: * * Z = | * Z * = | Z = * Z * | * Z * = | Result: buffalo = * buffalo *,Z = * Z *
Rules: = Y = + | = = Y + | = = Y + | = Y + Y Y = | Result: = zebra peach + zebra peach zebra peach =,= Y + Y Y =
Rules: Z Y - - X + | X Z Y - - + | Z Y + - - X | - - X Y + Z | Result: buffalo penguin apple eagle - - buffalo +,Z Y - - X +
Rules: + + - Z Y | - + Z + Y | Z - + Y + | + Z + Y - | Result: rat peach - + watermelon stork +,Z - + Y +
Rules: Y - * | - * Y | * - Y | Y * - Y | Result: apple shark * - apple shark,Y * - Y
Rules: - Z = X Y + | + X = Y - Z | - + X Z Y = | X + Y Z - = | Result: + apple kiwi = horse lion - watermelon,+ X = Y - Z
Rules: Z Y + + | + Z + Y | Y + + Z | + + Z Y | Result: + shark peach + zebra rat,+ Z + Y
Rules: X * Y + | + * X Y | X + Y * | X + * Y Y | Result: kiwi lion + * blackberry blackberry,X + * Y Y
Rules: = = Y + X | Y + X = = | = X = Y + Y | = = Y X + | Result: = apple pear = whale + whale,= X = Y + Y
Rules: - Y Z X + - | Z + X - - Y | X Z - - + Y | X + Z - - Y | Result: shark kiwi - - + blueberry,X Z - - + Y
Rules: X - + X | + X - | - + X | + - X | Result: peach - + peach,X - + X
Rules: Y = X * Z | * = X Z Y | * Z = X Y | Y X = Z * | Result: seal lion = kiwi zebra * blackberry grape,Y = X * Z
Rules: Z X - = X | X = Z - | X - = Z | Z = - X | Result: blueberry lion zebra - = lion zebra,Z X - = X
Rules: Z Y + * | Z + * Y | Y + Z * Z | Z Y + * | Result: blueberry + penguin * penguin,Y + Z * Z
Rules: Y = + - Z | Z = Y - + | + Z = - Y | - = Z + Y | Result: strawberry strawberry = pear - +,Z = Y - +
Rules: Z * Y - | * - Z Y Y | * Z - Y | - Y Z * | Result: * - whale shark zebra horse zebra horse,* - Z Y Y
Rules: X + Z * | + * Z X | X + * Z | + Z * X | Result: + * pear zebra,+ * Z X
Rules: - Z * X = | = - * X Z | = - X * Z | = * - Z X | Result: - watermelon * seal =,- Z * X =
Rules: = Z - * Y | * Y Z = - | - Z * = Y | Y Z * - = | Result: * penguin buffalo = -,* Y Z = -
Rules: X * + | + X * | * X X + X | X * + | Result: * lion lion + lion,* X X + X
Rules: X + + | X X + + X | X + + | + + X | Result: lion lion + + lion,X X + + X
Rules: = Z Y = | Y Z = = | = Y = Z | = Y = Z | Result: = banana banana watermelon kiwi =,= Z Y =
Rules: Y Z = = - | Z Z - = Y = | Y - Z = = | - Z Y = = | Result: rat rat - = cobra =,Z Z - = Y =
Rules: X - * | - X X * | X * - | X * - | Result: - kiwi kiwi *,- X X *
Rules: X - = | X - = X | = - X | X - = | Result: zebra - = zebra,X - = X
Rules: * Y - - | - * - Y Y | * Y - - | - * - Y | Result: - * - strawberry strawberry,- * - Y Y
Rules: * + Z = X | = Z X + Z * | Z X * = + | Z + * = X | Result: = penguin watermelon + penguin *,= Z X + Z *
Rules: * * = X | X * = X * | * = X * | * X * = | Result: grape * = grape *,X * = X *
Rules: Y * Z + = | + Z * Y = | * Y = + Z | * = + Y Z Y | Result: * = + horse shark cobra horse,* = + Y Z Y
Rules: - X - Y Z = | Y - - X = Z | = - Z Y X - | = Y Z X - - | Result: = lion seal buffalo cobra eagle - -,= Y Z X - -
Rules: = * + Y X | + = Y X * Y | X = + * Y | Y + * = X | Result: + = eagle kiwi peach * eagle kiwi,+ = Y X * Y
Rules: = Y Z * | Z = Y * Z | * = Z Y | * Y = Z | Result: stork = buffalo blueberry * stork,Z = Y * Z
Rules: Z X = + | X Z X = + | = Z + X | Z X + = | Result: banana grape stork banana = +,X Z X = +
Rules: = Y * X Z | X Y Z = * | Z = Y * X | = X Y * Z | Result: = whale peach grape * watermelon,= X Y * Z
Rules: - = X Z | X Z - = | X Z = - Z | Z = X - | Result: penguin lion kiwi kiwi = - kiwi kiwi,X Z = - Z
Rules: + + Z X + | + Z + + X | + + Z + X | + Z X + + | Result: + blueberry cobra + + blueberry,+ Z + + X
Rules: - X * Y | * - Y X | - * X Y | - X Y * Y | Result: - buffalo apple blackberry horse * blackberry horse,- X Y * Y
Rules: * Y X + Z | * Z + X Y | X + Y * Z | + Y X Z * | Result: * grape strawberry buffalo strawberry + apple,* Y X + Z
Rules: = Z * * Y | * = * Z Y | = * Z Y * | Z * Y * Z = | Result: horse apple * blackberry * horse apple =,Z * Y * Z =
Rules: = X - Z - | Z - - = X | X Z = - X - | = - Z - X | Result: blackberry blueberry cobra = - blackberry -,X Z = - X -
Rules: * Z - X Y | X Y Z * - | Z - * Y X | Y - Z X * | Result: blueberry - cobra cobra *,Y - Z X *
Rules: Z * + X | * X Z + Z | Z + X * | * + Z X | Result: * blackberry banana strawberry rat + strawberry rat,* X Z + Z
Rules: Y X + - | - Y + X | Y - + X | - + Y X | Result: - + watermelon shark watermelon,- + Y X
Rules: Y = + | Y = + | + = Y | = + Y Y | Result: = + seal seal,= + Y Y
Rules: Y = * Z + | * Y Z = + | Y + * Z = | + Z * Y = | Result: blackberry grape + * grape =,Y + * Z =
Rules: Z = + X = | = + = X Z | = Z X = Z + | = Z + X = | Result: = blackberry buffalo strawberry apple = blackberry buffalo +,= Z X = Z +
Rules: Y Z * - | Y * Z - | Z Y - * | Y Z * - | Result: strawberry * apple -,Y * Z -
Rules: Y * Y - = | - = Y * | Y - * = | = * - Y | Result: pear kiwi * pear kiwi - =,Y * Y - =
Rules: = = Y X + | = Y X + Y = | = + = Y X | X + Y = = | Result: = blackberry kiwi + blackberry =,= Y X + Y =
Rules: - + Z X + | + Z - + X | + Z X + - Z | X - Z + + | Result: + strawberry grape seal + - strawberry grape,+ Z X + - Z
Rules: Z + X + | + Z X + | X + + Z | Z X + + | Result: eagle grape + + eagle blackberry,X + + Z
Rules: + X Z = | X + Z = | Z Z X = + | = + Z X | Result: zebra zebra banana peach = +,Z Z X = +
Rules: = Y X + - | Y + X = - | X - + Y = | X + = - Y | Result: zebra + rat peach = -,Y + X = -
Rules: - + X - | + - X - | X + - X - | X + - - | Result: cobra + - cobra -,X + - X -
Rules: * X - Z - | Z X - * - | Z - * - X | X Z - * - | Result: * strawberry - kiwi -,* X - Z -
Rules: Z X - + Y | Y X Z + - | Z Y X - + | Z Y X - + | Result: grape horse stork grape penguin - +,Z Y X - +
Rules: Z X * Y - = | Z X * Y = - | X Y Z = * - | * Z Y = - X | Result: buffalo whale blackberry whale stork = * -,X Y Z = * -
Rules: Y Z + - | Y + - Z | - Y + Z | - Y Z + | Result: rat blueberry seal grape + -,Y Z + -
Rules: X - Y * | Y * X - | * Y X - | Y - * X Y | Result: horse - * strawberry horse,Y - * X Y
Rules: Z Y + = | Z + = Y | Y + = Z | + = Z Y | Result: buffalo + = whale,Z + = Y
Rules: Z X = * | Z = X * | = Z X * | * Z X = | Result: = lion blackberry *,= Z X *
Rules: - = - Y | = - - Y | = - Y - | Y - Y = - | Result: eagle whale - eagle whale = -,Y - Y = -
Rules: Y * Z X * + | Y * + * Z X | X * Z * Y + | * * + X Y Z | Result: lion zebra * lion pear * kiwi +,X * Z * Y +
Rules: + X Y - | Y X - + Y | X + Y - | + Y X - | Result: stork buffalo horse shark - + stork buffalo,Y X - + Y
Rules: X = = Y = | = X = = Y | Y = X = = | Y = = = X | Result: = strawberry = = watermelon lion,= X = = Y
Rules: * Z - - X | - Z - * X | * X - Z - | X - X Z * - | Result: grape whale - grape whale strawberry * -,X - X Z * -
Rules: * * Y Z X | * Z X Y * | Y * Z X * | X Y * * Z | Result: pear * lion cobra blueberry *,Y * Z X *
Rules: - Z X = - | - - X = Z | - = Z X - | = - X Z - | Result: - - whale banana = blueberry,- - X = Z
Rules: - - * Y X | - * - X Y | Y - - X X * | * - Y - X | Result: shark - - eagle peach eagle peach *,Y - - X X *
Rules: = = Y | Y Y Y = = | Y = = | = Y = | Result: seal seal seal = =,Y Y Y = =
Rules: = = Z Y | Y = Z = | = = Y Z Y | = = Y Z | Result: = = watermelon rat strawberry watermelon,= = Y Z Y
Rules: Y + * | + * Y | Y + Y * | + Y * | Result: kiwi + kiwi *,Y + Y *
Rules: * X - - Y Y | Y - * X - | Y - - X * | - Y X * - | Result: * apple - - penguin penguin,* X - - Y Y
Rules: Y X * = - | X * Y = - | = * X - Y | - * Y Y = X | Result: - * blackberry horse blackberry horse = blueberry,- * Y Y = X
Rules: = Z X Z * | Z X * = | = Z * X | * = Z X | Result: = peach seal eagle peach *,= Z X Z *
Rules: - Z + Y * | + Y - Z * | * Y + Z - Y | Y - + * Z | Result: * lion + seal - lion,* Y + Z - Y
Rules: + X - Y | - X Y + | X + X - Y | + Y - X | Result: stork buffalo + stork buffalo - buffalo,X + X - Y
Rules: - = Z Z Z | = Z - | - Z = | - = Z | Result: - = rat kiwi rat kiwi rat kiwi,- = Z Z Z
Rules: * Z * X X * | X * * Z * | Z * * X * | X Z * * * | Result: * shark zebra * cobra peach cobra peach *,* Z * X X *
Rules: * Z + = | Z * = + | * Z + = | * Z = Z + Z | Result: * apple = apple + apple,* Z = Z + Z
Rules: = Y + + | = + Y + | + + = Y Y | = Y + + | Result: + + = whale whale,+ + = Y Y
Rules: Z + * Y | * Y Z + | Y Z * + | Y Z Z * + | Result: strawberry blackberry blackberry * +,Y Z Z * +
Rules: = Y = * | * Y = = | = Y * = | * Y Y Y = = | Result: * shark stork shark stork shark stork = =,* Y Y Y = =
Rules: - - = Y | Y - = - | - = Y Y - | Y = - - | Result: - = grape blackberry grape blackberry -,- = Y Y -
Rules: - = Z X | X - = Z | - X Z = | = - X Z | Result: - lion blueberry watermelon =,- X Z =
Rules: * Z Y - | Y - * Z | Z Y Z - * | - * Y Z | Result: stork banana shark stork banana - *,Z Y Z - *
Rules: * X - | X - * | X - X * | * - X | Result: peach - peach *,X - X *
Rules: - X = Z | Z - = X | - = Z X | X = - Z | Result: - = penguin lion,- = Z X
Rules: X X Y + * | Y + * X | X Y * + | * + Y X | Result: whale penguin whale penguin penguin + *,X X Y + *
Rules: X Z + = | = + Z X | Z X = + | Z X = + | Result: peach seal blackberry penguin = +,Z X = +
Rules: = = X + Z | + = = X Z | = + = Z X | = = X + Z Z | Result: = = apple + pear eagle pear eagle,= = X + Z Z
Rules: = = = Z X | = = Z X = | = = Z = X | Z = = = X | Result: = = = penguin grape peach lion,= = = Z X
Rules: = = Z Y | = Y = Z | Z = = Y | Y = = Z | Result: cobra = = blueberry,Y = = Z
Rules: X = + Z * | = X Z + * | X Z = * + | X + * = Z | Result: horse = + buffalo *,X = + Z *
Rules: X Z + * | * X + Z | Z * + X | Z * + X | Result: stork penguin kiwi strawberry + *,X Z + *
Rules: Y - - Z + | + - Y Z - | Z - Z Y + - | + - - Z Y | Result: blackberry lion - blackberry lion rat shark + -,Z - Z Y + -
Rules: Z Y + * | * Y Z + | Y Z * + | Z + * Y | Result: pear watermelon + * strawberry,Z + * Y
Rules: Y X + * + | X * + Y + | Y X + * + | X * + Y + | Result: zebra stork * + cobra +,X * + Y +
Rules: X = Y + * | = + Y X * | Y * = Y + X | * = + Y X | Result: whale * = whale + cobra,Y * = Y + X
Rules: Y = X + | + = X Y | Y = X + | = Y X + | Result: rat shark = kiwi +,Y = X +
Rules: * X Z = + | + Z = * X | * X + = Z | = + X Z * | Result: + buffalo = * rat,+ Z = * X
Rules: - * Z Y | - Z * Y | * - Y Z | Y * - Z | Result: - rat * banana,- Z * Y
Rules: Y - = | - Y = | = - Y Y | Y - = | Result: = - grape grape,= - Y Y
Rules: * - X Z + | * Z + - X | * + X Z - | Z + - * X | Result: * watermelon apple + - watermelon,* Z + - X
Rules: + Z * = Y | + Y Z = * | Z * = Y + | + Y Z * = Y | Result: + kiwi stork * = kiwi,+ Y Z * = Y
Rules: + Y - + Z | Y + Z Z + - | Z Y - + + | Y - Z + + | Result: banana + cobra zebra cobra zebra + -,Y + Z Z + -
Rules: Y = + X = | = Y = X + | Y = X = + X | = + X = Y | Result: pear = apple = + apple,Y = X = + X
Rules: * = X + Y | = X * Y + | X * = + Y | = Y * X + | Result: grape * = + eagle,X * = + Y
Rules: Z * Y - | Z - Y * | Z - Y * | * Z Y - | Result: seal pear - penguin *,Z - Y *
Rules: - + Y + Z | Z Y + - + | Z + Y - + | + Y - + Z | Result: strawberry rat buffalo + - +,Z Y + - +
Rules: - Z - Y + | Y Z + - - Y | Z - - + Y | - Y Z - + | Result: apple shark + - - apple,Y Z + - - Y
Rules: Z - Y + = | + Z = - Y | + = - Z Y | Y = - Z + | Result: apple - whale penguin + =,Z - Y + =
Rules: = - + Y | = - Y + | Y - + = | = + Y Y Y - | Result: = + grape blackberry grape blackberry grape blackberry -,= + Y Y Y -
Rules: = Z X * | X Z = * Z | Z * X = | X * = Z | Result: peach watermelon buffalo = * buffalo,X Z = * Z
Rules: * = X Z + | X Z Z = * + | = Z X * + | + * X Z = | Result: watermelon zebra zebra = * +,X Z Z = * +
Rules: - Y Z Z + * | Z * + Y - | Z - + * Y | - Y Z + * | Result: - blueberry lion horse lion horse + *,- Y Z Z + *
Rules: + Y Z = | Y Z Z + = | Y Z + = | + Y = Z | Result: eagle pear penguin penguin + =,Y Z Z + =
Rules: - Z X - | - - X Z | - Z - X | - Z - X | Result: - seal - shark,- Z - X
Rules: - Y - X Y | Y X - - | X - - Y | Y X - - | Result: - pear - stork pear,- Y - X Y
Rules: * Z Y + Z | Y * Z + | + Z * Y | + Y * Z | Result: * blueberry shark seal shark + blueberry shark,* Z Y + Z
Rules: Y Z + = | = + Y Z | = Y + Z | Y + Z = | Result: penguin + seal =,Y + Z =
Rules: Z * = | = * Z | Z = * | * Z Z = | Result: * cobra cobra =,* Z Z =
Rules: = = Z Y | Y = = Z Y | = Y Z = | = Z = Y | Result: horse = = grape penguin horse,Y = = Z Y
Rules: X - + = | + = - X | - X + X = | = - + X | Result: - eagle + eagle =,- X + X =
Rules: Y - Z - | Y Z - - | - Y Z - | Z Y - Z - | Result: pear horse banana cobra - pear horse -,Z Y - Z -
Rules: * = Y | Y = * | * Y = | Y Y * = | Result: cobra cobra * =,Y Y * =
Rules: Y + X * | + X * Y X | * Y X + | + * X Y | Result: + buffalo * buffalo stork buffalo,+ X * Y X
Rules: + * X | X X + * | + * X | * X + | Result: seal kiwi seal kiwi + *,X X + *
Rules: - Z X * = Y | - = * Z X Y | X Y - Z = * | * X Y Z - = | Result: * penguin whale kiwi watermelon - =,* X Y Z - =
Rules: Y Z = X - | Z X = Y - | X - Y = Z | = - Z Y X | Result: whale lion - lion kiwi = whale,X - Y = Z
Rules: * Y = * X | X * * Y = | Y * * X = | = * X Y * | Result: * watermelon buffalo = * buffalo kiwi,* Y = * X
Rules: + + Y Z + Z | + Y Z + + | Z + Y + + | Y + + + Z | Result: + + pear grape grape eagle + grape eagle,+ + Y Z + Z
Rules: = + X X Y * | * = X + Y | = Y + * X | = Y X + * | Result: = + pear pear kiwi banana *,= + X X Y *
Rules: = X * = Z | * X = Z = | Z X * Z = = | Z X = * = | Result: rat pear * rat = =,Z X * Z = =
Rules: * = X Z - | - * = X Z | - = Z * X | X - = Z X * | Result: peach shark - = peach peach shark *,X - = Z X *
Rules: X Y - * Z | * Y - Z X | Z * X - Y | Y - X * Z | Result: apple * blackberry rat - kiwi seal,Z * X - Y
Rules: + Z * = X | X Z * = + | X Z * = + | Z = * X + | Result: peach peach buffalo * = +,X Z * = +
Rules: Y = - Z | = Z Y - | - Y = Z | - Y Z = | Result: seal = - lion,Y = - Z
Rules: * Y X * = | Y * * X = | * Y X = * | * = Y * X | Result: * rat rat blackberry * =,* Y X * =
Rules: * + Z Z = X | = Z X + * | = Z X + * | * + Z X = | Result: * + pear stork pear stork = stork horse,* + Z Z = X
Rules: + Z - | Z - + | - + Z | Z + Z - Z | Result: watermelon + watermelon - watermelon,Z + Z - Z
Rules: Z + + X | + Z Z X + | X + Z + | + Z + X | Result: + lion shark lion shark shark +,+ Z Z X +
Rules: + Z + | + Z + Z | + Z + | + Z + | Result: + grape + grape,+ Z + Z
Rules: Y Z + * | * Z + Y | * Z Y + | * + Z Y | Result: * seal + peach rat,* Z + Y
Rules: X Z * Y * = | = * * Y Z X | X Z * Y * = | X * = Z Y * | Result: cobra banana * = stork apple pear *,X * = Z Y *
Rules: Y + X + = | = + X Y + | X + + Y = | X + + Y = | Result: penguin + + grape =,X + + Y =
Rules: Y * = | Y = * Y | * Y = | * Y = | Result: grape = * grape,Y = * Y
Rules: + - * X | * + - X X | X + * - | - + X * | Result: * + - strawberry rat strawberry rat,* + - X X
Rules: = X = * | * X = = | = * X = | = X * X X = | Result: = lion * lion lion =,= X * X X =
Rules: * Y X - = | * - X = Y | - X Y * = Y | X - * = Y | Result: - seal strawberry shark * = strawberry shark,- X Y * = Y
Rules: = Y Z - = Y | - Z = Y = | Z = - Y = | = Y = Z - | Result: = grape penguin - = grape,= Y Z - = Y
Rules: Y * + Y | * + Y | * Y + | + Y * | Result: stork pear * + stork pear,Y * + Y
Rules: + * Z X | Z + X * | + Z * X | + Z X * | Result: + zebra shark *,+ Z X *
Rules: * X = Z | = X Z * | Z X * = | Z * X = | Result: grape kiwi * rat seal =,Z * X =
Rules: Z Z - + X | Z X - + | Z + X - | X + - Z | Result: pear pear - + blackberry,Z Z - + X
Rules: - X - Z | - Z X - | Z - X - | - - X Z | Result: - - horse blackberry horse,- - X Z
Rules: Z = + Y | = Z + Y | = + Y Z | Y Z + = Z | Result: blueberry apple + = apple,Y Z + = Z
Rules: = Z X = | = Z = X | Z = X X = | = = X Z | Result: watermelon = banana buffalo banana buffalo =,Z = X X =
Rules: Z Y * + + | Y + + * Z | Z + + Y * | * + Z + Y | Result: * + watermelon + kiwi,* + Z + Y
Rules: * - Y X + | - * + X Y Y | + - X Y * | X - Y + * | Result: - * + apple watermelon watermelon,- * + X Y Y
Rules: = + X + Z | X + Z + = | + = X Z Z + | + = Z X + | Result: + = shark seal banana banana +,+ = X Z Z +
Rules: Z = + | Z + = Z | = + Z | Z + = | Result: rat + = rat,Z + = Z
Rules: * X Z * | X Z * * | * X Z * | * Z X * | Result: * apple grape *,* Z X *
Rules: - = Z | - = Z | = - Z | = - Z Z | Result: = - stork stork,= - Z Z
