source, target
Quy tắc: = Z + - X | - + = X Z | Z - X + = | + - = Z X | Kết quả: = sư tử dưa hấu + - ngựa vằn, = Z + - X
Quy tắc: + = X Y | Y X = + | + Y X = Y | Y X = + | Kết quả: + ngựa rắn hổ mang ngựa = ngựa, + Y X = Y
Quy tắc: = Z Y = | Z = Y | = Z Y = | = Y = Z Y | Kết quả: = con dấu lê = con dấu sư tử lê, = Y = Z Y
Quy tắc: Z Y * X - = | = Y Z X * - | Y * = Z X - | * = X - Z Y | Kết quả: = cá mập dâu đại bàng kiwi nho * -, = Y Z X * -
Quy tắc: - + X X | - X + | - + X | + - X | Kết quả: - + ngựa vằn chuối chuối ngựa vằn chuối, - + X X
Quy tắc: X Y + Z = * | X + * Z = Y | = * X + Y Z | X = * + Y Z | Kết quả: = * việt quất + dâu tây rắn hổ mang chuối, = * X + Y Z
Quy tắc: - X Z * | Z * X - | * X - Z | - X X * Z | Kết quả: - ngựa vằn nho ngựa vằn nho * ngựa đại bàng, - X X * Z
Quy tắc: X * = * Y | = X * * Y X | = * X * Y | * Y = X | Kết quả: = sư tử * * sư tử chuột sư tử, = X * * Y X
Quy tắc: = - Y X Y | X Y - = | = X Y - | = - X Y | Kết quả: = - nho kiwi chim cánh cụt dâu tây kiwi nho kiwi, = - Y X Y
Quy tắc: X Y = + | Y + = X | = + X Y | = Y + X | Kết quả: dưa hấu trâu dâu đen lê = +, X Y = +
Quy tắc: Z * - + Y | * + - Z Y | Z Y * - + | + Y - * Z | Kết quả: * + - dâu dưa hấu, * + - Z Y
Quy tắc: = Y Z + X = | = Y Z = + X | = Z X = Y + | Y = X Z = + | Kết quả: = kiwi trâu = ngựa kiwi +, = Z X = Y +
Quy tắc: = Z Y * | Z = Y * | Y * Z = | Y Z * = | Kết quả: dưa hấu blackberry chuối cò * =, Y Z * =
Quy tắc: * * Z = | * Z * = | Z = * Z * | * Z * = | Kết quả: trâu = * trâu *, Z = * Z *
Quy tắc: = Y = + | = = Y + | = Y + | = Y + Y Y = | Kết quả: = đào ngựa vằn + ngựa vằn đào ngựa vằn đào =, = Y + Y Y =
Quy tắc: Z Y - - X + | X Z Y - - - + | Z Y + - - X | - X Y + Z | Kết quả: chim cánh cụt trâu đại bàng táo - - trâu +, Z Y - - X +
Quy tắc: + + - Z Y | - + Z + Y | Z - + Y + | + Z + Y - | Kết quả: đào chuột - + cò dưa hấu +, Z - + Y +
Quy tắc: Y - * | - * Y | * - Y | Y | Kết quả: cá mập táo * - cá mập táo, Y * - Y
Quy tắc: - Z = X Y + | + X = Y - Z | - + X Z Y = | X + Y Z - = | Kết quả: + táo kiwi = sư tử ngựa - dưa hấu, + X = Y - Z
Quy tắc: Z Y + + | + Z + Y | Y + + Z | + Z Y | Kết quả: + cá mập đào + chuột ngựa vằn, + Z + Y
Quy tắc: X * Y + | + * X Y | X + Y * | X + * Y Y | Kết quả: kiwi sư tử + * blackberry, X + * Y Y
Quy tắc: = = Y + X | Y + X = = | = X = Y + Y | = Y X + | Kết quả: = táo lê = cá voi + cá voi, = X = Y + Y
Quy tắc: - Y Z X + - | Z + X - - Y | X Z - - + Y | X + Z - - Y | Kết quả: cá mập kiwi - - - + việt quất, X Z - - - + Y
Quy tắc: X - + X | + X - | - + X | + - X | Kết quả: đào - + đào, X - + X
Quy tắc: Y = X * Z | * = X Z Y | * Z = X Y | Y X = Z * | Kết quả: con dấu sư tử = ngựa vằn kiwi * nho dâu đen, Y = X * Z
Quy tắc: Z X - = X | X = Z - | X - = Z | Z = - X | Kết quả: ngựa vằn sư tử việt quất - = ngựa vằn sư tử, Z X - = X
Quy tắc: Z Y + * | Z + * Y | Y + Z * Z | Z Y + * | Kết quả: quả việt quất + chim cánh cụt * chim cánh cụt, Y+Z * Z
Quy tắc: Y = + - Z | Z = Y - + | + Z = - Y | - = Z + Y | Kết quả: dâu tây = lê - +, Z = Y - +
Quy tắc: Z * Y - | * - Z Y Y | * Z - Y | - Y Z * | Kết quả: * - cá mập voi ngựa vằn ngựa vằn ngựa vằn, * - Z Y Y
Quy tắc: X + Z * | + * Z X | X +* Z | + Z * X | Kết quả: + * ngựa vằn lê, + * Z X
Quy tắc: - Z * X = | = - * X Z | = - X * Z | = * - Z X | Kết quả: - dưa hấu * con dấu =, - Z * X =
Quy tắc: = Z - * Y | * Y Z = - | - Z * = Y | Y Z * - = | Kết quả: * chim cánh cụt trâu = -, * Y Z = -
Quy tắc: X * + | + X * | * X X + X | X * + | Kết quả: * sư tử sư tử + sư tử, * X X + X
Quy tắc: X + + | X X + + X | X + + | + + X | Kết quả: sư tử sư tử + sư tử, X X + + X
Quy tắc: = Z Y = | Y Z = | = Y = Z | = Y = Z | Kết quả: = chuối chuối dưa hấu kiwi =, = Z Y =
Quy tắc: Y Z = = - | Z Z - = Y = | Y - Z = | - Z Y = | Kết quả: chuột chuột - = rắn hổ mang =, Z Z - = Y =
Quy tắc: X - * | - X X * | X * - | X * - | Kết quả: - kiwi kiwi *, - X X *
Quy tắc: X - = | X - = X | = - X | X - = | Kết quả: ngựa vằn - = ngựa vằn, X - = X
Quy tắc: * Y - - | - * - Y Y | * Y - - | - * - Y | Kết quả: - * - dâu tây, - * - Y Y
Quy tắc: * + Z = X | = Z X + Z * | Z X * = + | Z + * = X | Kết quả: = chim cánh cụt dưa hấu + chim cánh cụt *, = Z X + Z *
Quy tắc: * * = X | X * = X * | * = X * | * X * = | Kết quả: nho * = nho *, X * = X *
Quy tắc: Y * Z + = | + Z * Y = | * Y = + Z | * = + Y Z Y | Kết quả: * = + ngựa rắn hổ mang cá mập ngựa, * = + Y Z Y
Quy tắc: - X - Y Z = | Y - - X = Z | = - Z Y X - | = Y Z X - - | Kết quả: = hải cẩu sư tử trâu rắn hổ mang đại bàng - -, = Y Z X - -
Quy tắc: = * + Y X | + = Y X * Y | X = + * Y | Y + * = X | Kết quả: + = kiwi đại bàng đào * kiwi đại bàng, + = Y X * Y
Quy tắc: = Y Z * | Z = Y * Z | * = Z Y | * Y = Z | Kết quả: cò = quả việt quất trâu * cò, Z = Y * Z
Quy tắc: Z X = + | X Z X = + | = Z + X | Z X + = | Kết quả: chuối cò nho chuối = +, X Z X = +
Quy tắc: = Y * X Z | X Y Z = * | Z = Y * X | = X Y * Z | Kết quả: = cá voi đào nho * dưa hấu, = X Y * Z
Quy tắc: - = X Z | X Z - = | X Z = - Z | Z = X - | Kết quả: chim cánh cụt sư tử kiwi = - kiwi kiwi, X Z = - Z
Quy tắc: + + Z X + | + Z + X | + + Z + X | + Z X + | Kết quả: + rắn hổ mang việt quất + + việt quất, + Z + + X
Quy tắc: - X * Y | * - Y X | - * X Y | - X Y * Y | Kết quả: - ngựa dâu đen táo trâu * ngựa dâu đen, - X Y* Y
Quy tắc: * Y X + Z | * Z + X Y | X + Y * Z | + Y X Z * | Kết quả: * nho dâu trâu dâu + táo, * Y X + Z
Quy tắc: = Z * * Y | * = * Z Y | = * Z Y * | Z * Y * Z = | Kết quả: táo ngựa * blackberry * táo ngựa =, Z * Y * Z =
Quy tắc: = X - Z - | Z - - = X | X | X - | = - Z - X | Kết quả: blackberry blueberry cobra = - blackberry -, X Z = - X -
Quy tắc: * Z - X Y | X Y Z * - | Z - * Y X | Y - Z X * | Kết quả: quả việt quất - rắn hổ mang *, Y - Z X *
Quy tắc: Z * + X | * X Z + Z | Z + X * | * + Z X | Kết quả: * Blackberry chuối dâu tây chuột + chuột dâu tây, * X Z + Z
Quy tắc: Y X + - | - Y + X | Y - + X | - + Y X | Kết quả: - + dưa hấu cá mập dưa hấu, - + Y X
Quy tắc: Y = + | Y = + | + = Y | = + Y Y | Kết quả: = + con dấu, = + Y Y
Quy tắc: Y = * Z + | * Y Z = + | Y + * Z = | + Z * Y = | Kết quả: nho blackberry + * nho =, Y + * Z =
Quy tắc: Z = + X = | = + = X Z | = Z X = Z + | = Z + X = | Kết quả: = dâu đen táo dâu tây = dâu đen trâu +, = Z X = Z +
