source,target
Hai kết quả: + việt quất = ngựa | + rắn hổ mang việt quất = cò cá voi,Quy tắc: + Z = X
Hai kết quả: nho + nho + nho = | đại bàng + đại bàng + đại bàng =,Quy tắc: Y + Y + Y =
Hai kết quả: lê * lê việt quất - | trâu * chim cánh cụt đào trâu -,Quy tắc: Y * Z Y -
Hai kết quả: cá cò = cò - | chim cánh cụt cá voi chim cánh cụt nho = chim cánh cụt cá voi -,Quy tắc: Y X = Y -
Hai kết quả: chim cánh cụt đào chim cánh cụt đào - = + chim cánh cụt đào | chuối chuối - = + chuối,Quy tắc: Y Y - = + Y
Hai kết quả: + dấu táo việt quất - = | + dưa hấu ngựa vằn - =,Quy tắc: + Z Y - =
Hai kết quả: = cá mập cò = + | = hải cẩu trâu hải cẩu = +,Quy tắc: = X Z = +
Hai kết quả: - cá mập ngựa vằn đào = | - con dấu ngựa vằn đào =,Quy tắc: - Y X Z =
Hai kết quả: = cá mập trâu * + dưa hấu | = chim cánh cụt * + trâu,Quy tắc: = Y * + Z
Hai kết quả: - - chuột chuột + trâu ngựa | - - ngựa vằn + dâu tây,Quy tắc: - - Y + Z
Hai kết quả: = đại bàng ngựa vằn - | = dâu tây dưa hấu dâu đen -,Quy tắc: = Z X -
Hai kết quả: - = nho = nho | - = cá mập = rắn hổ mang blackberry,Quy tắc: - = Y = X
Hai kết quả: nho = + sư tử - nho | dâu cá mập = + dâu đen sư tử - dâu cá mập,Quy tắc: X = + Z - X
Hai kết quả: * = cò lê chim cánh cụt lê | * = dâu ngựa vằn trâu,Quy tắc: * = Z X
Hai kết quả: = + đại bàng cò chuối chuối dâu | = + rắn hổ mang nho chuối cá mập chuột,Quy tắc: = + X Y Z
Hai kết quả: blackberry zebra blackberry zebra * + | ngựa dâu ngựa dâu * +,Quy tắc: Z Z * +
Hai kết quả: kiwi - = kiwi | kiwi đào - = kiwi đào,Quy tắc: Y - = Y
Hai kết quả: cá voi dâu + cò ngựa vằn = | lê chuột + sư tử đào dâu đen =,Quy tắc: X + Z Y =
Hai kết quả: * * chuối ngựa vằn - | * * chim cánh cụt nho -,Quy tắc: * * Z Y -
Hai kết quả: ngựa vằn dâu việt quất * - blueberry cò + | ngựa vằn cò việt quất * - blueberry +,Quy tắc: Y X * - X +
Hai kết quả: rắn hổ mang - dâu đen dưa hấu - rắn hổ mang | cá voi nho - đại bàng - cá voi nho,Quy tắc: Y - X - Y
Hai kết quả: *táo trâu + = chim cánh cụt | * dâu + = cá voi,Quy tắc: * X + = Z
Hai kết quả: * lê blackberry blackberry Grape = lê blackberry | * đại bàng sư tử blackberry = sư tử đại bàng,Quy tắc: * Y Z = Y
Hai kết quả: = táo dâu + táo dâu = | = cò dưa hấu + cò dưa hấu =,Quy tắc: = X + X =
Hai kết quả: hải cẩu * - - cá mập việt quất | dưa hấu ngựa vằn * - - ngựa vằn,Quy tắc: Y * - - X
Hai kết quả: + chuột chuối lê chuối lê + + | + đào dâu đen + +,Quy tắc: + X Y Y + +
Hai kết quả: trâu việt quất cá mập trâu việt quất = - - | đại bàng cá mập chim cánh cụt = - -,Quy tắc: X X Z = - -
Hai kết quả: chuối chuối chuối chuối = - rắn hổ mang | dâu dâu = - chuột kiwi,Quy tắc: Y Y = - Z
Hai kết quả: cá voi * * cá voi | chuột ngựa * * chuột ngựa,Quy tắc: X * * X
Hai kết quả: *cá voi đại bàng + - rắn hổ mang lê | * trâu + - việt quất kiwi,Quy tắc: * X + - Z
Hai kết quả: = + cò cò + | = + chim cánh cụt kiwi trâu +,Quy tắc: = + X Z +
Hai kết quả: * + táo dâu + lê dâu | * + hải cẩu lê + hải cẩu chim cánh cụt trâu,Quy tắc: * + Y + X Z
Hai kết quả: + chuối việt quất việt quất * chuối việt quất = | + trâu việt quất * việt quất =,Quy tắc: + Z Y * Z =
Hai kết quả: chuột - kiwi + kiwi | chuột nho - đại bàng + đại bàng,Quy tắc: Z - Y + Y
Hai kết quả: - = + cá mập cá voi lê | - = + dâu nho táo ngựa vằn,Quy tắc: - = + Z Y
Hai kết quả: = trâu đại bàng = chuột | = táo cò = trâu lê,Quy tắc: = Z = X
Hai kết quả: cò = cò = = | nho = nho = =,Quy tắc: Y = Y = =
Hai kết quả: - chuối dưa hấu - | - cá mập chim cánh cụt ngựa việt quất -,Quy tắc: - Y X -
Hai kết quả: + * chuối + ngựa | + * chuối đại bàng + sư tử chuột,Quy tắc: + * X + Z
Hai kết quả: ngựa vằn ngựa vằn = nho dâu đen - - | chuối chuối = dâu tây - -,Quy tắc: Y Y = X - -
Hai kết quả: dưa hấu - + rắn hổ mang | táo kiwi - + ngựa vằn,Quy tắc: X - + Y
Hai kết quả: * + hải cẩu nho ngựa vằn | * + ngựa vằn sư tử chuối,Quy tắc: * + X Z Y
Hai kết quả: đại bàng - đại bàng lê nho * | đào - đào đào *,Quy tắc: X - X Z *
Hai kết quả: = cá voi hổ mang - rắn hổ mang | = cò dâu đen - kiwi,Quy tắc: = X - Z
Hai kết quả: - lê sư tử + * lê | - rắn hổ mang sư tử rắn hổ mang kiwi + * rắn hổ mang sư tử,Quy tắc: - X Y + * X
Hai kết quả: đại bàng - = đại bàng đại bàng | nho - = nho nho,Quy tắc: Z - = Z Z
Hai kết quả: + ngựa hổ mang chúa việt quất + - | + lê chuối + -,Quy tắc: + Y X + -
