source, target
Quy tắc: + = X Z | X = Z + | + Z = X | X = Z + | Kết quả: + việt quất = ngựa, + Z = X
Quy tắc: Z = = | Z Z = = = | = = Z = | = = Z | Kết quả: cá mập cò cò = = =, Z Z = = =
Quy tắc: * Z X * - | * X Z * - | - * Z X * | - X * Z * Z | Kết quả: - blackberry eagle * blackberry kiwi * blackberry kiwi, - X* Z * Z
Quy tắc: Z * + X | X * + Z | + X Z * | + X * Z | Kết quả: + lê ngựa * cá voi, + X * Z
Quy tắc: Y X* Z + | + Z X Y * | Z Y + * X | * Z + X Y | Kết quả: * con dấu + ngựa vằn đào, * Z + X Y
Quy tắc: - - Z = | - = - Z | - = Z - | = - Z | Kết quả: - = chuột chuột chuột -, - = Z Z -
Quy tắc: + Y * Z X | * Z Y + X | Z X * + Y | Y Z X + * | Kết quả: * nho chuột dâu tây + con dấu dâu tây, * Z Y + X
Quy tắc: Y = * * | Y * * = | * = Y * | Y Y * = * | Kết quả: sư tử sư tử * = *, Y Y * = *
Quy tắc: * * Z - X | * Z * - X | X Z * - * Z | X - Z * * | Kết quả: kiwi trâu ngựa vằn * - * kiwi trâu, X Z * - * Z
Quy tắc: * X Z * | Z * X * | Z X * * | * X Z * | Kết quả: ngựa dâu đen ngựa vằn * *, Z X * *
Quy tắc: + Y Z = X | = X Y + Z | X + Z Y = | X = Y Z + | Kết quả: cá voi dâu tây + cò ngựa vằn =, X + Z Y =
Quy tắc: + = Z + | + Z Z + = | + = + Z | + + Z = | Kết quả: + sư tử việt quất việt quất sư tử + =, + Z Z + =
Quy tắc: - + X Z - | Z - + Z X - | X + - Z - | + Z - - X | Kết quả: rắn hổ mang - + rắn hổ mang dưa hấu blackberry -, Z - + Z X -
Quy tắc: X X = = - | X - = | - = X = | - = X | Kết quả: rắn hổ mang rắn hổ mang rắn hổ mang = -, X X = -
Quy tắc: Y = + Z + | Z + Y + = | Z + = Y + | Y + = + Z | Kết quả: dưa hấu dâu tây + táo sư tử + =, Z + Y + =
Quy tắc: + + - X Z Z | - X + Z | Z X + + - | X Z + - | Kết quả: + + - cá voi chuối blackberry, + - X Z Z
Quy tắc: X = - - Z | X - = - Z | Z - = - X | X X Z = - - | Kết quả: blueberry buffalo blueberry buffalo zebra shark = - -, X X Z = - -
Quy tắc: Y + Z = | = Z + Y | Y = + Z | + Z = Y | Kết quả: cá mập = + ngựa vằn cò, Y = + Z
Quy tắc: - * - X Y | - Y * X - | * - X Y - | Y - X | Kết quả: chim cánh cụt - * chim cánh cụt - ngựa, Y - * Y - X
Quy tắc: Z * X + | Z + X * | * X Z + | + * X X Z | Kết quả: + * dâu tây dâu đen táo, + * X X Z
Quy tắc: X X = + | = + X | X + = | X = + | Kết quả: chuối việt quất chuối việt quất chuối = +, X X = +
Quy tắc: * - X Z | - X Z * | Z * - X | X - Z * | Kết quả: - chuột nho sư tử *, - X Z *
Quy tắc: X + * Y * | * Y X +* X | Y + X * * | * Y * X + | Kết quả: * lê chuột + * lê, * Y X + * X
Quy tắc: X Y = * | * Y = X | = Y X | * = Y X | Kết quả: * sư tử = sư tử, * Y = X
Quy tắc: X * + Y | X * + Y | * Y X + | + * Y X | Kết quả: + * chuối ngựa, + * Y X
Quy tắc: Z Y Z + + | + Z Y + | Z + Y + | Y + Z | Kết quả: sư tử đào táo sư tử +, Z Y Z + +
Quy tắc: Z - X * | - * Z X | * Z - X | * Z X - | Kết quả: - * nho ngựa vằn, - * Z X
Quy tắc: * X - + | X - + * | - * X X + | + * - X | Kết quả: - * lê +, - * X X +
Quy tắc: Y + = Z - | Y - Z = + | = Z + Z Y - | + Y - = Z | Kết quả: = dưa hấu + dưa hấu dưa hấu -, = Z + Z Y -
Quy tắc: Y X = - * | = X * Y - | = - X Y * | - = * X X Y | Kết quả: - = * đại bàng nho đại bàng đại bàng nho dâu tây, - = * X X Y
Quy tắc: * Y * X + | * + * Y X | + * * Y X | + * Y X * | Kết quả: * cá mập * sư tử việt quất +, * Y * X +
Quy tắc: = Y X + + | X X + + = Y | X Y = + + | = X + + Y | Kết quả: blackberry blackberry + + = rắn hổ mang đào, X X + + = Y
Quy tắc: Y + * Z | Y Z * + | Y * + Z | + Z Y * | Kết quả: táo nho + * đại bàng chim cánh cụt, Y +* Z
Quy tắc: = Y - * | = * - Y | = * Y Y - | Y * = - | Kết quả: = * ngựa vằn -, = * Y Y -
Quy tắc: + Z = | Z Z = + | + Z = | Z + = | Kết quả: ngựa dâu tây ngựa dâu = +, Z Z = +
Quy tắc: + = Y Z | = + Y Z | Y Z = + | Y + = Z | Kết quả: = + chim cánh cụt lê ngựa vằn dâu tây, = + Y Z
Quy tắc: - Y * + Y | - + * Y | * Y + - | Y - * + | Kết quả: - dâu rắn hổ mang * + rắn hổ mang dâu, - Y * + Y
Quy tắc: + * Y = | = Y * + | = * + Y Y | + = * Y | Kết quả: = * + cá voi, = * + Y Y
Quy tắc: = X - Y + | Y X + - = | X = Y - + | - + X Y X = | Kết quả: - + dưa hấu nho dưa hấu =, - + X Y X =
Quy tắc: * X = Y | * = Y X | X Y = * | = X Y * | Kết quả: * = cá mập ngựa vằn, * = Y X
Quy tắc: = X X + - Z | - = + X Z | - Z X = + | - X Z + = | Kết quả: = cá mập cá mập + - đại bàng ngựa, = X X + - Z
Quy tắc: * Z - Y | * - Y Z | * Y - Z | Y Z * - | Kết quả: * - blackberry zebra, * - Y Z
