question,target
"Nếu bồ công anh nhỏ thì bồ công anh tốt.
Nếu bồ công anh mạnh mẽ thì bồ công anh nóng.
Nếu bồ công anh to và mềm thì bồ công anh nhàm chán.
Nếu bồ công anh có màu đỏ và đáng sợ thì bồ công anh đã già.
Nếu bồ công anh sạch hoặc còn non thì bồ công anh có màu tím.
Sự thật:
Bồ công anh có màu tím và nhàm chán.
Những điều sau đây có thể được xác định về bồ công anh:",Không có gì.
"Nếu hoa hồng nóng thì hoa hồng có màu xanh.
Nếu bông hồng đáng sợ hay nhỏ bé thì bông hồng đó hạnh phúc.
Nếu bông hồng thông minh thì bông hồng đó có màu đỏ.
Nếu bông hồng chậm hoặc còn xanh thì đó là bông hồng già.
Nếu hoa hồng xấu thì hoa hồng lạnh.
Sự thật:
Hoa hồng rất đẹp và nóng bỏng.
Những điều sau đây có thể được xác định về hoa hồng:",Hoa hồng có màu xanh.
"Nếu Bob chán thì Bob lớn.
Nếu Bob chậm và đỏ thì Bob vui.
Nếu Bob lạnh lùng thì Bob nhỏ bé.
Nếu Bob mềm mại và nhanh nhẹn thì Bob tròn trịa.
Nếu Bob xấu thì Bob già rồi.
Sự thật:
Bob mềm mại và hạnh phúc.
Những điều sau đây có thể được xác định về Bob:",Không có gì.
"Nếu Carol sạch sẽ thì Carol có màu tím.
Nếu Carol thông minh thì Carol đã già.
Nếu Carol mạnh mẽ và nhàm chán thì Carol lại mềm yếu.
Nếu Carol nhanh và buồn thì Carol lớn.
Nếu Carol màu đỏ hoặc hạnh phúc thì Carol màu xanh lá cây.
Sự thật:
Carol hạnh phúc và mạnh mẽ.
Những điều sau đây có thể được xác định về Carol:",Carol có màu xanh lá cây.
"Nếu Bob lạnh lùng và tím tái thì Bob tốt.
Nếu Bob đáng sợ và yếu đuối thì Bob to lớn.
Nếu Bob nhỏ bé và buồn bã thì Bob nhàm chán.
Nếu Bob chậm hoặc xấu thì Bob có màu xanh.
Nếu Bob màu đỏ thì Bob thông minh.
Sự thật:
Bob có màu xanh và nhanh nhẹn.
Những điều sau đây có thể được xác định về Bob:",Không có gì.
"Nếu chuột yếu hoặc to thì chuột mạnh.
Nếu chuột đẹp hoặc có màu tím là chuột buồn.
Nếu chuột tròn và chậm là chuột xấu.
Chuột nhanh thì chuột nhỏ.
Nếu con chuột hạnh phúc thì con chuột đó đã già.
Sự thật:
Chuột có màu xanh và non.
Những điều sau đây có thể được xác định về chuột:",Không có gì.
"Nếu bồ công anh có màu xanh thì bồ công anh to.
Nếu bồ công anh yếu ớt hoặc tròn trịa thì đó là bồ công anh xấu.
Nếu bồ công anh xanh và đẹp thì bồ công anh buồn.
Nếu bồ công anh đáng sợ thì bồ công anh thông minh.
Nếu bồ công anh vui thì bồ công anh có màu tím.
Sự thật:
Bồ công anh có màu xanh và xấu.
Những điều sau đây có thể được xác định về bồ công anh:",Bồ công anh thật lớn.
"Nếu con nhím có màu đỏ thì con nhím đó chậm.
Nhím già thì nhím buồn.
Nếu nhím khỏe mạnh thì nhím có màu tím.
Nếu nhím mềm hoặc lạnh thì nhím nhỏ.
Nếu con nhím có màu xanh thì con nhím đó đáng sợ.
Sự thật:
Con nhím rất đẹp và mềm mại.
Những điều sau đây có thể được xác định về con nhím:",Con nhím thì nhỏ.
"Nếu con gấu có màu tím thì con gấu đó sạch sẽ.
Nếu con gấu khỏe thì con gấu có màu xanh.
Nếu con gấu vui và xấu thì con gấu đó buồn.
Nếu gấu lớn thì gấu còn nhỏ.
Nếu con gấu có màu đỏ và tốt thì con gấu đó đã già.
Sự thật:
Con gấu to và đẹp.
Những điều sau đây có thể được xác định về con gấu:",Con gấu còn trẻ.
"Nếu cây anh túc nóng thì cây anh túc thật đáng sợ.
Nếu hoa anh túc có màu đỏ thì hoa anh túc mạnh mẽ.
Nếu hoa anh túc sạch thì hoa anh túc buồn.
Nếu một bông hoa anh túc hạnh phúc thì hoa anh túc lại yếu đuối.
Nếu cây anh túc nhàm chán hoặc còn non thì cây anh túc lớn.
Sự thật:
Cây anh túc thông minh và nhàm chán.
Những điều sau đây có thể được xác định về cây anh túc:",Cây anh túc lớn.
"Nếu cây đẹp mà nhàm chán thì cây đó xấu.
Cây khoẻ thì cây già.
Nếu cây buồn hay thông minh tức là cây nóng.
Cây nào to và sạch thì cây nhanh.
Nếu cây còn non hoặc lạnh giá thì cây đáng sợ.
Sự thật:
Cây thông minh và nhàm chán.
Có thể xác định những điều sau đây về cây:",Cây bị nóng.
