source,target
Hai kết quả: * cò - * cò cá mập | *ngựa - *ngựa trâu chim cánh cụt,Quy tắc: * Y - * X Z
Hai kết quả: táo nho chim cánh cụt táo = - - | cá mập lê đại bàng cá mập lê = - -,Quy tắc: X Z X = - -
Hai kết quả: đào = rắn hổ mang đại bàng đào * | chuột = chuột hải cẩu *,Quy tắc: X = Y X *
Hai kết quả: * = blackberry - lê | * = ngựa vằn - lê blackberry,Quy tắc: * = Z - Y
Hai kết quả: + chim cánh cụt dưa hấu chim cánh cụt kiwi chim cánh cụt dưa hấu = | + cá mập hải cẩu cá mập lê =,Quy tắc: + X Y X =
Hai kết quả: cò việt quất dâu việt quất - = cò việt quất | hải cẩu ngựa vằn dưa hấu - = hải cẩu ngựa vằn,Quy tắc: X Z - = X
Hai kết quả: dâu - + dâu | chuột - + chuột,Quy tắc: Z - + Z
Hai kết quả: chuối táo táo * + + | lê ngựa vằn lê ngựa vằn lê * + +,Quy tắc: Z Y Y * + +
Hai kết quả: nho cá mập = táo táo + | rắn hổ mang ngựa vằn = chuột nho chuột nho +,Quy tắc: Z = X X +
Hai kết quả: lê lê chim cánh cụt rắn hổ mang * * dâu tây | táo dâu * * dâu đen blackberry,Quy tắc: Y X * * Z
Hai kết quả: dưa hấu nho chim cánh cụt táo * * chim cánh cụt táo + | sư tử lê dưa hấu * * dưa hấu +,Quy tắc: Z X * * X +
Hai kết quả: sư tử nho = * hải cẩu sư tử nho | ngựa dâu = * sư tử ngựa dâu việt quất,Quy tắc: X = * Z X
Hai kết quả: sư tử táo dưa hấu sư tử táo = + - | hải cẩu cá mập dưa hấu hải cẩu chuột = + -,Quy tắc: X Z X = + -
Hai kết quả: * + chuột kiwi cá voi chuột kiwi | * + trâu dưa hấu trâu,Quy tắc: * + Y Z Y
Hai kết quả: - chuột đào = + | - cá mập nho = +,Quy tắc: - X Y = +
Hai kết quả: chim cánh cụt trâu * chim cánh cụt trâu cá mập - | lê cá mập * kiwi lê cá mập -,Quy tắc: X * X Y -
Hai kết quả: - + nho kiwi lê kiwi lê kiwi | - + cá voi ngựa vằn kiwi cá voi kiwi,Quy tắc: - + Y X X
Hai kết quả: + táo đào táo đào trâu + | + chuột chuột trâu +,Quy tắc: + Y Y Z +
Hai kết quả: = - = chuối cá voi chuối | = - = đại bàng lê,Quy tắc: = - = Y X
Hai kết quả: trâu + = việt quất * | dâu đen + = cá mập chim cánh cụt *,Quy tắc: Y + = Z *
Hai kết quả: + Đào dấu ngựa vằn = | + hải cẩu ngựa vằn dâu việt quất =,Quy tắc: + Y X Z =
Hai kết quả: = lê + chuột chuột - | = táo + đại bàng -,Quy tắc: = Y + Z Z -
Hai kết quả: = cò + việt quất + cò | = cò kiwi + hải cẩu + cò kiwi,Quy tắc: = Z + X + Z
Hai kết quả: cá mập cò cá mập cò đào kiwi * * * | cá mập chuột ngựa vằn nho ngựa vằn nho * * *,Quy tắc: X X Y * * *
Hai kết quả: * kiwi blackberry kiwi blackberry + | * trâu táo trâu táo +,Quy tắc: * Y Y +
Hai kết quả: - + cò chuột ngựa vằn ngựa vằn + | - + nho táo dâu tây dâu tây dâu tây +,Quy tắc: - + Z Y Y +
Hai kết quả: cá mập dưa hấu = - cá mập dưa hấu | cá voi = - cá voi,Quy tắc: Z = - Z
Hai kết quả: * cò sư tử - rắn hổ mang đại bàng rắn hổ mang đại bàng | *trâu - hải cẩu,Quy tắc: * X - Z Z
Hai kết quả: dâu đen * = rắn hổ mang cá voi rắn hổ mang cá voi | rắn hổ mang * = kiwi kiwi,Quy tắc: Z * = YY
Hai kết quả: đào ngựa đào ngựa - = * rắn hổ mang đào | chim cánh cụt chim cánh cụt - = * ngựa táo,Quy tắc: Y Y - = * X
Hai kết quả: rắn hổ mang cá voi + - + | ngựa đào kiwi + - +,Quy tắc: Y X + - +
Hai kết quả: + lê trâu - kiwi * | +ngựa lê - chuối dưa hấu*,Quy tắc: + Y - X *
Hai kết quả: = kiwi kiwi = - | = đại bàng đại bàng = -,Quy tắc: = Z Z = -
Hai kết quả: + lê đại bàng lê đại bàng + | + sư tử cá mập sư tử cá mập +,Quy tắc: + Y Y +
Hai kết quả: kiwi kiwi + + kiwi cá mập + | ngựa ngựa + + chuột chim cánh cụt +,Quy tắc: Z Z + + Y +
Hai kết quả: + dâu ngựa + = ngựa | + chuối dâu đen + = chuối,Quy tắc: + X Y + = Y
Hai kết quả: * = sư tử rắn hổ mang việt quất | * = ngựa vằn blackberry,Quy tắc: * = X Y
Hai kết quả: = đào dưa hấu hải cẩu ngựa hải cẩu + * | = đại bàng đại bàng cá voi + *,Quy tắc: = Y X X + *
Hai kết quả: + - cò blackberry | + - trâu đại bàng,Quy tắc: + - Z Y
Hai kết quả: = cá voi = = ngựa chim cánh cụt ngựa chim cánh cụt | = cá voi kiwi = = chim cánh cụt táo chim cánh cụt táo,Quy tắc: = Y = = X X
Hai kết quả: - rắn hổ mang việt quất * cá voi * | - chuối chim cánh cụt * đào nho *,Quy tắc: - Y * X *
Hai kết quả: táo ngựa + * * táo ngựa | chuối dưa hấu + * * chuối dưa hấu,Quy tắc: Y + * * Y
Hai kết quả: = sư tử * sư tử ngựa vằn blackberry | = ngựa vằn blackberry * cá mập chim cánh cụt ngựa vằn blackberry,Quy tắc: = X * Z X
Hai kết quả: * + dâu + nho dâu | * + blackberry + hải cẩu blackberry,Quy tắc: * + X + Y X
Hai kết quả: táo dấu + + dâu ngựa vằn đào | hải cẩu trâu + + blackberry cá voi,Quy tắc: Y + + Z X
Hai kết quả: nho ngựa vằn nho ngựa vằn + * nho nho | trâu nho trâu nho + * rắn hổ mang táo,Quy tắc: Y Y + * X
Hai kết quả: *dâu - chuột + lê chuột | * trâu - dâu ngựa + dưa hấu,Quy tắc: * X - Z + Y
Hai kết quả: cá voi = = cá voi = | nho cá voi = = nho cá voi =,Quy tắc: Y = = Y =
Hai kết quả: ngựa nho + = | chim cánh cụt dưa hấu đào táo + =,Quy tắc: YZ + =
Hai kết quả: = lê dưa hấu lê dưa hấu chuột trâu - | = ngựa chim cánh cụt ngựa chim cánh cụt đào đại bàng -,Quy tắc: = X X Y -
Hai kết quả: kiwi = * kiwi = | rắn hổ mang kiwi = * rắn hổ mang kiwi =,Quy tắc: X = * X =
Hai kết quả: việt quất dưa hấu trâu chuối trâu chuối = = | cá voi lê kiwi lê kiwi = =,Quy tắc: Y Z Z = =
Hai kết quả: = * rắn hổ mang trâu rắn hổ mang trâu rắn hổ mang trâu = | = * hải cẩu lê hải cẩu lê hải cẩu lê =,Quy tắc: = * X X X =
Hai kết quả: + chuối chuối * | + trâu trâu *,Quy tắc: + Z Z *
Hai kết quả: chuối nho = - chuối nho chuối nho | cá mập chuột = - cá mập chuột cá mập chuột,Quy tắc: Y = - YY
Hai kết quả: = đào táo * lê lê đào táo * | =nho đào *nho đào táo trâu*,Quy tắc: = Z * Y Z *
Hai kết quả: chuột ngựa việt quất - = | táo đào chuột - =,Quy tắc: X Y - =
Hai kết quả: ngựa vằn - blackberry = ngựa vằn = | chuột - chuối = chuột =,Quy tắc: Z - X = Z =
Hai kết quả: - đào đào dâu = | - ngựa hổ đào đào =,Quy tắc: - Z Z X =
Hai kết quả: = táo + sư tử nho | = sư tử ngựa vằn + quả lê,Quy tắc: = X + Z
Hai kết quả: chuối cá mập chuột kiwi = ngựa vằn blackberry * | nho chim cánh cụt blackberry = quả việt quất cá voi *,Quy tắc: Y X = Z *
Hai kết quả: * ngựa vằn đào - cò cá voi | * cò - ngựa,Quy tắc: * X - Z
Hai kết quả: sư tử = + sư tử sư tử * | cá voi = + cá voi *,Quy tắc: Z = + Z Z *
Hai kết quả: dâu kiwi + dâu + | việt quất việt quất + việt quất +,Quy tắc: Y Z + Y +
Hai kết quả: * kiwi + + kiwi | * trâu + + trâu,Quy tắc: * Z ++ + Z
Hai kết quả: = dâu đại bàng * dâu đại bàng | = chuột cá mập * chuột cá mập,Quy tắc: = Z * Z
Hai kết quả: rắn hổ mang * ngựa - - | ngựa vằn * trâu trâu - -,Quy tắc: Z * X - -
Hai kết quả: cá voi * chuột ngựa + - | việt quất * chuối đại bàng + -,Quy tắc: X * Z + -
Hai kết quả: rắn hổ mang đại bàng = nho + * | rắn hổ mang = rắn hổ mang + *,Quy tắc: Z = X + *
Hai kết quả: lê - = rắn hổ mang đào hổ mang * | quả việt quất - = con dấu chuối con dấu chuối *,Quy tắc: Z - = Y Y *
Hai kết quả: *ngựa nho ngựa nho lê dấu + * | * con dấu con dấu con dấu dâu tây + *,Quy tắc: * Z Z Y + *
Hai kết quả: + nho nho kiwi hải cẩu kiwi hải cẩu * | + cá mập sư tử đại bàng chuột cá mập sư tử *,Quy tắc: + Z Y Y *
Hai kết quả: dấu táo = + * đào | dâu nho = + * táo chuột,Quy tắc: Z = + * Y
Hai kết quả: +nho*nho | + cá voi* cá voi,Quy tắc: + Z * Z
Hai kết quả: ngựa - - - lê | việt quất - - - chuối chim cánh cụt,Quy tắc: Z - - - X
Hai kết quả: * + ngựa ngựa | * + táo táo,Quy tắc: * + X X
Hai kết quả: = * chuối ngựa vằn cá mập sư tử - cò việt quất | = * chim cánh cụt dâu việt quất - chim cánh cụt cò,Quy tắc: = * Z X - Y
Hai kết quả: - + cá mập cò trâu | - + nho việt quất đại bàng ngựa,Quy tắc: - + X Z
Hai kết quả: ngựa vằn * táo ngựa vằn + | hải cẩu việt quất * hải cẩu trâu việt quất +,Quy tắc: Z * Y Z +
Hai kết quả: + chuột ngựa vằn sư tử chuột ngựa vằn - | + sư tử ngựa vằn rắn hổ mang chuối sư tử ngựa vằn -,Quy tắc: + X Z X -
Hai kết quả: = cá mập * cò = rắn hổ mang lê | = việt quất * nho dưa hấu = rắn hổ mang ngựa vằn,Quy tắc: = X * Y = Z
Hai kết quả: = hải cẩu hổ mang lê + hải cẩu nho | = hải cẩu chuối ngựa + dưa hấu,Quy tắc: = Z Y + X
Hai kết quả: cá mập đại bàng dâu = = cá voi | cá mập đào = = cá mập cò,Quy tắc: Z Y = = X
Hai kết quả: = cá voi cá voi * - rắn hổ mang ngựa vằn | = đại bàng dâu tây đại bàng * - hải cẩu,Quy tắc: = Z Z * - Y
Hai kết quả: = - + cá mập lê cá mập ngựa | = - + rắn hổ mang ngựa vằn chuột dưa hấu,Quy tắc: = - + Z Y X
Hai kết quả: rắn hổ mang = = rắn hổ mang nho lê = | nho đào = = chuột việt quất nho lê =,Quy tắc: X = = Z Y =
Hai kết quả: cá mập kiwi cá mập kiwi = * = táo dưa hấu | con dấu con dấu = * = ngựa vằn quả lê,Quy tắc: X X = * = Y
Hai kết quả: đại bàng đại bàng = - táo | rắn hổ mang đại bàng rắn hổ mang đại bàng = - nho,Quy tắc: Z Z = - X
Hai kết quả: * - nho chuối blackberry ngựa vằn blackberry ngựa vằn | * - chim cánh cụt chuối việt quất,Quy tắc: * - Z X X
Hai kết quả: đại bàng đại bàng - * * | cá mập cá mập - * *,Quy tắc: Y Y - * *
Hai kết quả: + cò cò lê cò cò lê + | + blackberry việt quất blackberry blueberry blackberry blueberry +,Quy tắc: + Y Y Y +
Hai kết quả: * hải cẩu cò + hải cẩu nho hải cẩu | * sư tử + sư tử cá mập ngựa vằn,Quy tắc: * Z + X Z
Hai kết quả: * - cá mập ngựa vằn đại bàng việt quất đại bàng việt quất | * - cá voi đại bàng đào đại bàng đào,Quy tắc: * - X Y Y
Hai kết quả: = = trâu chuột cá mập dưa hấu dâu đen = | = = chim cánh cụt ngựa cò =,Quy tắc: = = X Z Y =
Hai kết quả: * ngựa vằn cá mập việt quất ngựa vằn việt quất ngựa vằn + + | * sư tử đào rắn hổ mang sư tử đào + +,Quy tắc: * Z Y Z + +
Hai kết quả: - * nho blackberry zebra + | - * nho đào kiwi +,Quy tắc: - * Y X +
