source,target
"Quy tắc: * Y - * X Z | Thay thế: X bằng "" cá mập "", Y bằng "" cò "", Z bằng "" cò """,* Cò - * Cò cá mập
"Quy tắc: X Z X = - - | Thay thế: X bởi "" nho táo "" , Z bởi "" chim cánh cụt """,táo nho chim cánh cụt nho táo = - -
"Quy tắc: X = Y X * | Thay thế: X bằng "" đào "" , Y bởi "" đại bàng hổ mang """,đào = đào đại bàng rắn hổ mang *
"Quy tắc: * = Z - Y | Thay thế: Y bởi "" lê "" , Z bởi "" blackberry """,* = dâu đen - lê
"Quy tắc: + X Y X = | Thay thế: X bởi "" chim cánh cụt dưa hấu "" , Y bởi "" kiwi đại bàng ""","+ Dưa hấu, chim cánh cụt, đại bàng, kiwi, dưa hấu, chim cánh cụt ="
"Quy tắc: X Z - = X | Thay thế: X bởi "" cò việt quất "" , Z bởi "" việt quất dâu tây """,cò việt quất dâu tây việt quất - = cò việt quất
"Quy tắc: Z - + Z | Thay thế: Z bởi "" dâu tây """,dâu tây - + dâu tây
"Quy tắc: Z Y Y * + + | Thay thế: Y bằng "" táo "", Z bằng "" chuối """,chuối táo táo * + +
"Quy tắc: Z = X X + | Thay thế: X bởi "" táo "" , Z bởi "" nho cá mập """,Nho cá mập = táo táo +
"Quy tắc: Y X * * Z | Thay thế: X bởi "" chim cánh cụt "" , Y bởi "" lê lê "" , Z bởi "" dâu tây """,lê lê chim cánh cụt rắn hổ mang * * dâu tây
"Quy tắc: Z X * * X + | Thay thế: X bởi "" penguin apple "" , Z bởi "" nho dưa hấu """,Dưa hấu nho Chim cánh cụt táo * * Táo chim cánh cụt +
"Quy tắc: X = * Z X | Thay thế: X bằng "" sư tử nho "", Z bằng "" chuối hải cẩu """,sư tử nho = * hải cẩu chuối nho sư tử
"Quy tắc: X Z X = + - | Thay thế: X bởi "" lion apple "" , Z bởi "" dưa hấu """,Sư tử táo dưa hấu Sư tử táo = + -
"Quy tắc: * + Y Z Y | Thay thế: Y bởi "" kiwi chuột "" , Z bởi "" cá voi ""","* + Kiwi chuột, cá voi, chuột, kiwi"
"Quy tắc: - X Y = + | Thay thế: X bằng "" chuột "" , Y bằng "" đào """,- Đào chuột = +
"Quy tắc: X * X Y - | Thay thế: X bởi "" trâu chim cánh cụt "" , Y bởi "" cá mập voi """,Trâu cánh cụt * Cá mập voi trâu cánh cụt -
"Quy tắc: - + Y X X | Thay thế: X bởi "" kiwi pear "" , Y bởi "" kiwi nho ""","- + Nho, kiwi, kiwi, lê, kiwi, lê"
"Quy tắc: + Y Y Z + | Thay thế: Y bằng "" đào táo "", Z bằng "" trâu """,+ Táo đào đào trâu +
"Quy tắc: = - = Y X | Thay thế: X bằng "" chuối cá voi "", Y bằng "" chuối """,= - = chuối cá voi chuối
"Quy tắc: Y + = Z * | Thay thế: Y bởi "" trâu "" , Z bởi "" việt quất """,trâu + = việt quất *
"Quy tắc: + Y x Z = | Thay thế: X bằng "" ngựa vằn "", Y bằng "" đào "", Z bằng "" con dấu """,+ Hải cẩu ngựa vằn đào =
"Quy tắc: = Y + Z Z - | Thay thế: Y bằng "" lê "" , Z bằng "" chuột """,= lê + chuột chuột -
"Quy tắc: = Z + X + Z | Thay thế: X bởi "" việt quất "" , Z bởi "" cò """,= cò + việt quất + cò
"Quy tắc: X X Y * * * | Thay thế: X bởi "" cò cá mập "" , Y bởi "" kiwi đào """,cò cá mập cò cá mập đào kiwi * * *
"Quy tắc: * Y Y + | Thay thế: Y bởi "" kiwi blackberry ""","* Kiwi, Blackberry, Kiwi, Blackberry +"
"Quy tắc: - + Z Y Y + | Thay thế: Y bởi "" ngựa vằn "", Z bởi "" chuột cò ""","- + Cò, chuột, ngựa vằn, ngựa vằn +"
"Quy tắc: Z = - Z | Thay thế: Z bởi "" cá mập dưa hấu """,Cá mập dưa hấu = - Cá mập dưa hấu
"Quy tắc: * X - Z Z | Thay thế: X bởi "" sư tử cò "" , Z bởi "" rắn hổ mang đại bàng ""","* Sư tử cò - rắn hổ mang đại bàng, rắn hổ mang đại bàng"
"Quy tắc: Z * = Y Y | Thay thế: Y bởi "" rắn hổ mang cá voi "" , Z bởi "" dâu đen ""","dâu tây blackberry * = rắn hổ mang cá voi, rắn hổ mang"
"Quy tắc: Y Y - = * X | Thay thế: X bằng "" đào rắn hổ mang "" , Y bằng "" ngựa đào """,ngựa đào đào - = * rắn hổ mang đào
"Quy tắc: Y X + - + | Thay thế: X bởi "" rắn hổ mang "" , Y bởi "" cá voi """,Rắn hổ mang cá voi + - +
"Quy tắc: + Y - X * | Thay thế: X bởi "" kiwi "" , Y bởi "" lê trâu """,+ Lê trâu - Kiwi *
"Quy tắc: = Z Z = - | Thay thế: Z bởi "" kiwi """,= kiwi kiwi = -
"Quy tắc: + Y Y + | Thay thế: Y bởi "" eagle pear """,+ Lê đại bàng lê +
"Quy tắc: Z Z + + Y + | Thay thế: Y bởi "" kiwi cá mập "", Z bởi "" kiwi """,Kiwi Kiwi + + Kiwi cá mập +
"Quy tắc: + X Y + = Y | Thay thế: X bằng "" dâu "" , Y bằng "" ngựa """,+ Ngựa dâu + = ngựa
"Quy tắc: * = X Y | Thay thế: X bởi "" lion blueberry "" , Y bởi "" rắn hổ mang """,* = rắn hổ mang việt quất sư tử
"Quy tắc: = Y X X + * | Thay thế: X bằng "" ngựa hải cẩu "", Y bằng "" dưa hấu đào ""","= đào, dưa hấu, hải cẩu, ngựa, hải cẩu, ngựa + *"
"Quy tắc: + - Z Y | Thay thế: Y bởi "" blackberry "" , Z bởi "" cò """,+ - Con cò Blackberry
"Quy tắc: = Y = = X X | Thay thế: X bằng "" chim cánh cụt ngựa "" , Y bằng "" cá voi """,= cá voi = = chim cánh cụt ngựa chim cánh cụt
"Quy tắc: - Y * X * | Thay thế: X bởi "" cá voi "" , Y bởi "" việt quất rắn hổ mang """,- Rắn hổ mang việt quất * Cá voi *
"Quy tắc: Y + * * Y | Thay thế: Y bởi "" táo ngựa """,táo ngựa + * * táo ngựa
"Quy tắc: = X * Z X | Thay thế: X bởi "" lion "" , Z bởi "" zebra blackberry """,= sư tử * ngựa vằn sư tử blackberry
"Quy tắc: * + X + Y X | Thay thế: X bằng "" dâu tây "", Y bằng "" nho """,* + dâu tây + dâu nho
"Quy tắc: Y + + Z X | Thay thế: X bằng "" dâu đào "", Y bằng "" con dấu táo "", Z bằng "" ngựa vằn """,Con dấu táo + + Dâu đào ngựa vằn
"Quy tắc: Y Y + * X | Thay thế: X bởi "" nho "" , Y bởi "" nho ngựa vằn """,Ngựa vằn nho Zebra nho + * nho nho
"Quy tắc: * X - Z + Y | Thay thế: X bằng "" dâu "" , Y bằng "" lê chuột "", Z bằng "" chuột """,* dâu tây - chuột + lê chuột
"Quy tắc: Y = = Y = | Thay thế: Y bởi "" cá voi """,cá voi = = cá voi = cá voi =
"Quy tắc: Y Z + = | Thay thế: Y bằng "" nho "" , Z bằng "" ngựa """,ngựa nho + =
"Quy tắc: = X X Y - | Thay thế: X bởi "" dưa hấu lê "" , Y bởi "" trâu chuột ""","= lê, dưa hấu, lê, dưa hấu, chuột, trâu -"
"Quy tắc: X = * X = | Thay thế: X bởi "" kiwi """,Kiwi = * Kiwi =
"Quy tắc: Y Z Z = = | Thay thế: Y bởi "" dưa hấu việt quất "" , Z bởi "" chuối trâu ""","việt quất, dưa hấu, trâu, chuối, trâu, chuối = ="
"Quy tắc: = * x x x = | Thay thế: X bởi "" trâu hổ mang ""","= * rắn hổ mang trâu, rắn hổ mang, trâu, rắn hổ mang, trâu ="
"Quy tắc: + Z Z * | Thay thế: Z bằng "" chuối """,+ chuối chuối *
"Quy tắc: Y = - Y Y | Thay thế: Y bằng "" nho chuối """,chuối nho = - chuối nho chuối nho
"Quy tắc: = Z * Y Z * | Thay thế: Y bằng "" lê "" , Z bằng "" đào táo """,= đào táo * lê lê táo đào *
"Quy tắc: X Y - = | Thay thế: X bởi "" blueberry horse "" , Y bởi "" chuột """,Chuột ngựa việt quất - =
"Quy tắc: Z - X = Z = | Thay thế: X bởi "" blackberry "" , Z bởi "" zebra """,Ngựa vằn - dâu đen = ngựa vằn =
"Quy tắc: - Z Z X = | Thay thế: X bằng "" dâu "" , Z bằng "" đào """,- Đào đào dâu tây =
"Quy tắc: = X + Z | Thay thế: X bởi "" táo "" , Z bởi "" sư tử nho """,= táo + sư tử nho
"Quy tắc: Y x = Z * | Thay thế: X bởi "" shark banana "" , Y bởi "" kiwi rat "" , Z bởi "" blackberry zebra """,Kiwi rat shark chuối = ngựa vằn dâu đen *
"Quy tắc: * X - Z | Thay thế: X bởi "" ngựa vằn đào "" , Z bởi "" cò cá voi """,* Ngựa vằn đào - Cò cá voi
"Quy tắc: Z = + Z Z * | Thay thế: Z bởi "" lion """,sư tử = + sư tử sư tử *
"Quy tắc: Y Z + Y + | Thay thế: Y bởi "" dâu tây "", Z bởi "" kiwi seal """,Con dấu kiwi dâu tây + dâu tây +
"Quy tắc: * Z + + Z | Thay thế: Z bởi "" kiwi """,* Kiwi + + Kiwi
"Quy tắc: = Z * Z | Thay thế: Z bởi "" eagle strawberry """,= dâu tây đại bàng * dâu tây đại bàng
"Quy tắc: Z * X - - | Thay thế: X bằng "" ngựa "" , Z bằng "" rắn hổ mang """,rắn hổ mang * ngựa - -
"Quy tắc: X * Z + - | Thay thế: X bởi "" cá voi "" , Z bởi "" chuột ngựa """,cá voi * chuột ngựa + -
"Quy tắc: Z = X + * | Thay thế: X bởi "" nho "" , Z bởi "" đại bàng rắn hổ mang """,Đại bàng rắn hổ mang = nho + *
"Quy tắc: Z - = Y Y * | Thay thế: Y bởi "" cobra peach "", Z bởi "" pear """,lê - = rắn hổ mang đào đào *
"Quy tắc: * Z Z Y + * | Thay thế: Y bằng "" con dấu lê "", Z bằng "" nho ngựa """,* ngựa nho ngựa lê lê + *
"Quy tắc: + Z Y Y * | Thay thế: Y bởi "" kiwi seal "" , Z bởi "" grape horse ""","+ Con dấu kiwi ngựa nho, con dấu kiwi *"
"Quy tắc: Z = + * Y | Thay thế: Y bằng "" đào "" , Z bằng "" táo hải cẩu """,niêm phong táo = + * đào
"Quy tắc: + Z * Z | Thay thế: Z bằng "" nho """,+ Nho * Nho
"Quy tắc: Z - - - X | Thay thế: X bằng "" lê "" , Z bằng "" ngựa """,ngựa - - - lê
"Quy tắc: * + X X | Thay thế: X bằng "" ngựa """,* + Ngựa
"Quy tắc: = * Z X - Y | Thay thế: X bởi "" sư tử cá mập "", Y bởi "" quả việt quất cò "", Z bởi "" ngựa vằn chuối ""","= * Ngựa vằn chuối, sư tử cá mập - cò, việt quất"
"Quy tắc: - + X Z | Thay thế: X bởi "" cò trâu "" , Z bởi "" cá mập """,- + Cá mập cò trâu
"Quy tắc: Z * Y Z + | Thay thế: Y bằng "" táo "" , Z bằng "" ngựa vằn """,Ngựa vằn * Ngựa vằn táo +
"Quy tắc: + X Z X - | Thay thế: X bởi "" ngựa vằn chuột "", Z bởi "" sư tử hải cẩu ""","+ Ngựa vằn chuột, hải cẩu, sư tử, chuột, ngựa vằn -"
"Quy tắc: = X * Y = Z | Thay thế: X bởi "" cá mập "" , Y bởi "" cò "" , Z bởi "" lê rắn hổ mang """,= cá mập * cò = lê rắn hổ mang
"Quy tắc: = Z Y + X | Thay thế: X bởi "" seal grape "" , Y bởi "" pear cobra "" , Z bởi "" seal shark """,= Rắn hổ mang lê cá mập hải cẩu + Nho hải cẩu
"Quy tắc: Z Y = = X | Thay thế: X bởi "" cá voi "", Y bởi "" dâu tây "", Z bởi "" cá mập đại bàng """,Dâu tây cá mập đại bàng = = cá voi
"Quy tắc: = Z Z * - Y | Thay thế: Y bởi "" rắn hổ mang ngựa vằn "", Z bởi "" cá voi """,= cá voi voi * - rắn hổ mang ngựa vằn
"Quy tắc: = - + Z Y X | Thay thế: X bằng "" cá mập "" , Y bằng "" ngựa "", Z bằng "" lê cá mập ""","= - + cá mập, lê, ngựa, cá mập, cá mập"
"Quy tắc: X = = Z Y = | Thay thế: X bởi "" rắn hổ mang "" , Y bởi "" rắn hổ mang "" , Z bởi "" lê nho """,rắn hổ mang = = rắn hổ mang lê nho =
"Quy tắc: X X = * = Y | Thay thế: X bởi "" kiwi cá mập "" , Y bởi "" táo dưa hấu ""","Cá mập kiwi Cá mập Kiwi = * = Dưa hấu, táo"
"Quy tắc: Z Z = - X | Thay thế: X bởi "" apple "", Z bởi "" eagle """,Đại bàng đại bàng = - táo
