source, target
“Quy tắc: + Z = X | Thay thế: X bằng “” ngựa “”, Z bằng “” việt quất “"”, + việt quất = ngựa
“Quy tắc: Y + Y + Y = | Thay thế: Y bằng “” nho “"”, nho + nho + nho =
“Quy tắc: Y * Z Y - | Thay thế: Y bằng “” lê “”, Z bằng “” việt quất “"”, lê * quả việt quất -
“Quy tắc: Y X = Y - | Thay thế: X bằng “” cá voi “”, Y bằng “” cò “"”, cá voi cò = cò -
“Quy tắc: Y Y - = + Y | Thay thế: Y bằng “” chim cánh cụt đào “"”, chim cánh cụt đào đào đào - = + chim cánh cụt đào
“Quy tắc: + Z Y - = | Thay thế: Y bằng “” việt quất “”, Z bằng “” con dấu táo “"”, + con dấu táo việt quất - =
“Quy tắc: = X Z = + | Thay thế: X bằng “” cò “”, Z bằng “” cá mập “"”, = cá mập cò = +
“Quy tắc: - Y X Z = | Thay thế: X bằng “” ngựa vằn “”, Y bằng “” cá mập “”, Z bằng “” đào “”, - cá mập ngựa vằn đào =
“Quy tắc: = Y * + Z | Thay thế: Y bằng “" trâu cá mập "”, Z bằng “" dưa hấu "”, = trâu cá mập * + dưa hấu
“Quy tắc: - - Y + Z | Thay thế: Y bằng “" chuột chuột “”, Z bằng “" trâu ngựa "”, - - chuột chuột + trâu ngựa
“Quy tắc: = Z X - | Thay thế: X bằng “” ngựa vằn “”, Z bằng “” đại bàng “"”, = ngựa vằn đại bàng -
“Quy tắc: - = Y = X | Thay thế: X bằng “” nho “”, Y bằng “” nho “"”, - = nho = nho
“Quy tắc: X = + Z - X | Thay thế: X bằng “” nho “”, Z bằng “” sư tử “"”, nho = + sư tử - nho
“Quy tắc: * = Z X | Thay thế: X bằng “” lê chim cánh cụt “”, Z bằng “” cò lê “"”, * = cò lê chim cánh cụt lê lê
“Quy tắc: = + X Y Z | Thay thế: X bằng “" cò đại bàng "”, Y bằng “" chuối "”, Z bằng “" chuối dâu "”, = + cò đại bàng chuối chuối dâu
“Quy tắc: Z Z * + | Thay thế: Z bằng “” ngựa vằn blackberry “"”, ngựa vằn blackberry blackberry * +
“Quy tắc: Y - = Y | Thay thế: Y bằng “” kiwi “"”, kiwi - = kiwi
“Quy tắc: X + Z Y = | Thay thế: X bằng “" cá voi dâu "”, Y bằng “" cò "”, Z bằng “" ngựa vằn "”, cá voi dâu tây + cò ngựa vằn =
“Quy tắc: * * Z Y - | Thay thế: Y bằng “” ngựa vằn “”, Z bằng “” chuối “"”, * * ngựa vằn chuối -
“Quy tắc: Y X * - X + | Thay thế: X bằng “” cò việt quất “”, Y bằng “” dâu ngựa vằn “"”, cò việt quất dâu vằn * - cò việt quất +
“Quy tắc: Y - X - Y | Thay thế: X bằng “” dâu đen dưa hấu “”, Y bằng “” rắn hổ mang “"”, rắn hổ mang - dưa hấu dâu đen - rắn hổ mang
“Quy tắc: * X + = Z | Thay thế: X bằng “" táo trâu "”, Z bằng “" chim cánh cụt "”, * trâu táo + = chim cánh cụt
“Quy tắc: * Y Z = Y | Thay thế: Y bằng “” lê blackberry “”, Z bằng “” nho blackberry “”, * lê dâu đen nho = lê dâu đen
“Quy tắc: = X + X = | Thay thế: X bằng “” táo dâu “"”, = dâu táo + dâu tây táo =
“Quy tắc: Y * - - X | Thay thế: X bằng “” cá mập việt quất “”, Y bằng “” con dấu chuột “"”, con dấu chuột * - - cá mập việt quất
“Quy tắc: + X Y Y + + | Thay thế: X bằng “” chuột “”, Y bằng “” chuối lê “"”, + chuột chuối lê chuối lê +
“Quy tắc: X X Z = - - | Thay thế: X bằng “" trâu việt quất "”, Z bằng “" cá mập ngựa vằn "”, trâu việt quất việt quất trâu cá mập ngựa vằn = - -
“Quy tắc: Y Y = - Z | Thay thế: Y bằng “” chuối chuối “”, Z bằng “” rắn hổ mang “"”, chuối chuối chuối chuối chuối = - rắn hổ mang
“Quy tắc: X * * X | Thay thế: X bằng “” cá voi “"”, cá voi * * cá voi
“Quy tắc: * X + - Z | Thay thế: X bằng “” đại bàng cá voi “”, Z bằng “” rắn hổ mang lê “"”, * đại bàng cá voi + - rắn hổ mang lê
“Quy tắc: = + X Z + | Thay thế: X bằng “” cò “”, Z bằng “” cò “"”, = + cò +
“Quy tắc: * + Y + X Z | Thay thế: X bằng “” dâu tây “”, Y bằng “” táo dâu đen “”, Z bằng “” lê “”, * + táo blackberry + lê dâu
“Quy tắc: + Z Y * Z = | Thay thế: Y bằng “” việt quất “”, Z bằng “” chuối việt quất “"”, + quả việt quất chuối việt quất * chuối việt quất =
“Quy tắc: Z - Y + Y | Thay thế: Y bằng “” kiwi “”, Z bằng “” chuột “"”, chuột - kiwi + kiwi
“Quy tắc: - = + Z Y | Thay thế: Y bằng “” cá mập cá mập “”, Z bằng “” cá voi lê “"”, - = + cá mập cá mập voi lê
“Quy tắc: = Z = X | Thay thế: X bằng “" chuột "”, Z bằng “" đại bàng trâu "”, = đại bàng trâu = chuột
“Quy tắc: Y = Y = = | Thay thế: Y bằng “” cò “"”, cò = cò = =
“Quy tắc: - Y X - | Thay thế: X bằng “” dưa hấu “”, Y bằng “” chuối “”, - dưa hấu chuối -
“Quy tắc: + * X + Z | Thay thế: X bằng “" chuối “”, Z bằng “" ngựa "”, + * chuối + ngựa
“Quy tắc: Y Y = X - - | Thay thế: X bằng “” nho blackberry “”, Y bằng “” ngựa vằn “”, ngựa vằn = nho blackberry - -
“Quy tắc: X - + Y | Thay thế: X bằng “” dưa hấu “”, Y bằng “” rắn hổ mang “"”, dưa hấu - + rắn hổ mang
“Quy tắc: * + X Z Y | Thay thế: X bằng “” nho “”, Y bằng “” ngựa vằn “”, Z bằng “” con cò “"”, * + con dấu nho cò ngựa vằn
“Quy tắc: X - X Z * | Thay thế: X bằng “” đại bàng “”, Z bằng “” nho lê “"”, đại bàng - nho lê đại bàng *
“Quy tắc: = X - Z | Thay thế: X bằng “” cá voi rắn hổ mang “”, Z bằng “” rắn hổ mang “"”, = cá voi rắn hổ mang - rắn hổ mang
“Quy tắc: - X Y + * X | Thay thế: X bằng “” lê “”, Y bằng “” sư tử “"”, - sư tử lê + * lê
“Quy tắc: Z - = Z Z | Thay thế: Z bằng “” đại bàng “"”, đại bàng - = đại bàng
“Quy tắc: + Y X + - | Thay thế: X bằng “” rắn hổ mang việt quất “”, Y bằng “” ngựa “"”, + rắn hổ mang việt quất ngựa + -
“Quy tắc: X * Z = | Thay thế: X bằng “” cá voi chim cánh cụt “”, Z bằng “” cò cò “"”, cá voi chim cánh cụt * cò =
“Quy tắc: - = X X + | Thay thế: X bằng “” chuột “"”, - = chuột chuột +
“Quy tắc: + * Y Y | Thay thế: Y bằng “” blackberry “"”, + * blackberry blackberry
“Quy tắc: + X = = X | Thay thế: X bằng “” dưa hấu “"”, + dưa hấu = = dưa hấu
“Quy tắc: Z Y + - Y - | Thay thế: Y bằng “” dưa hấu “”, Z bằng “” đào “"”, dưa hấu đào + - dưa hấu -
“Quy tắc: Z Y Z = + | Thay thế: Y bằng “” nho “”, Z bằng “” blackberry “”, blackberry nho blackberry = +
“Quy tắc: Y Z - + | Thay thế: Y bằng “” cá voi dưa hấu “”, Z bằng “” chuột nho “"”, chuột nho cá voi dưa hấu - +
“Quy tắc: Z Y * - Y + | Thay thế: Y bằng “” sư tử “”, Z bằng “” chim cánh cụt chuối “"”, sư tử chim cánh cụt chuối * - sư tử +
“Quy tắc: Z - = * X | Thay thế: X bằng “” sư tử “”, Z bằng “” sư tử nho “"”, sư tử nho - = * sư tử
“Quy tắc: - Z Y X + - | Thay thế: X bằng “” chuột “”, Y bằng “” ngựa vằn “”, Z bằng “” sư tử đào “"”, - đào sư tử ngựa vằn chuột + -
“Quy tắc: = X + - Y | Thay thế: X bằng “” rắn hổ mang dâu “”, Y bằng “” cá mập “"”, = rắn hổ mang dâu + - cá mập
“Quy tắc: - Z * Y | Thay thế: Y bằng “” chuột kiwi “”, Z bằng “” ngựa việt quất “"”, - ngựa việt quất * kiwi chuột
“Quy tắc: + Y * X + | Thay thế: X bằng “” cá mập “”, Y bằng “” đào “"”, + đào * cá mập +
“Quy tắc: Y Z - + Z | Thay thế: Y bằng “” rắn hổ mang “”, Z bằng “” cá voi việt quất “"”, cá voi việt quất rắn hổ mang - + cá voi việt quất
“Quy tắc: Z = Z - Z = | Thay thế: Z bằng “” chim cánh cụt “"”, chim cánh cụt = chim cánh cụt - chim cánh cụt =
“Quy tắc: * * X X | Thay thế: X bằng “” đại bàng rắn hổ mang “"”, * * * đại bàng rắn hổ mang
“Quy tắc: * Y Y * | Thay thế: Y bằng “” cá voi dưa hấu “"”, * cá voi dưa hấu cá voi dưa hấu *
“Quy tắc: Z X Y * * | Thay thế: X bằng “" cá mập "”, Y bằng “" đại bàng ngựa "”, Z bằng “" sư tử sư tử "”, đại bàng ngựa cá mập sư tử * * *
“Quy tắc: = X Y = X | Thay thế: X bằng “” cá voi “”, Y bằng “” đại bàng “"”, = đại bàng cá voi = cá voi
“Quy tắc: + Z Y X - | Thay thế: X bằng “” ngựa vằn blackberry “”, Y bởi “” blackberry “”, Z bằng “” lê “”, + lê dâu đen ngựa vằn -
“Quy tắc: Y * X X * | Thay thế: X bằng “" rắn hổ mang trâu "”, Y bằng “" rắn hổ mang nho "”, rắn hổ mang nho * rắn hổ mang trâu rắn hổ mang trâu *
“Quy tắc: Z = Y + X | Thay thế: X bằng “” kiwi việt quất “”, Y bằng “” trâu “”, Z bằng “” dâu tây “"”, dâu tây = trâu + kiwi việt quất
“Quy tắc: * X * X * | Thay thế: X bằng “” apple “"”, * apple * apple *
“Quy tắc: * X - Z * Y | Thay thế: X bằng “” chim cánh cụt lê “”, Y bằng “” cá voi “”, Z bằng “" trâu “"”, * chim cánh cụt lê - trâu * cá voi
“Quy tắc: X X * * | Thay thế: X bằng “” cá voi “"”, cá voi * *
“Quy tắc: Z - X = * | Thay thế: X bằng “” ngựa đào “”, Z bằng “” dâu chim cánh cụt “"”, chim cánh cụt dâu tây - ngựa đào = *
“Quy tắc: Y * - Z | Thay thế: Y bằng “” chuối “”, Z bằng “” lê “"”, chuối * - lê
“Quy tắc: Z Y * - | Thay thế: Y bằng “” cá mập mập “”, Z bằng “” rắn hổ mang hải cẩu “"”, cá mập rắn hổ mang hải cẩu * -
“Quy tắc: = * - Y X Y | Thay thế: X bằng “" cá voi "”, Y bằng “" trâu táo "”, = * - trâu táo cá voi trâu táo
“Quy tắc: Y - Y X * | Thay thế: X bằng “” đại bàng việt quất “”, Y bằng “” con dấu sư tử “”, sư tử hải cẩu - hải cẩu sư tử đại bàng việt quất *
