source,target
Quy tắc: = Z + - X | - + = X Z | Z - X + = | + - = Z X | Kết quả: = sư tử dưa hấu + - ngựa vằn,= Z + - X
Quy tắc: + = X Y | Y X = + | + Y X = Y | Y X = + | Kết quả: + ngựa hổ mang ngựa = ngựa,+ Y X = Y
Quy tắc: = Z Y = | Z = = Y | = Z Y = | = Y = Z Y | Kết quả: = lê hải cẩu = lê hải cẩu sư tử,= Y = Z Y
Quy tắc: Z Y * X - = | = Y Z X * - | Y * = Z X - | * = X - Z Y | Kết quả: = cá mập dâu tây kiwi đại bàng nho * -,= Y Z X * -
Quy tắc: - + X X | - X + | - + X | + - X | Kết quả: - + Ngựa vằn chuối vằn chuối,- + X X
Quy tắc: X Y + Z = * | X + * Z = Y | = * X + Y Z | X = * + Y Z | Kết quả: = * việt quất + chuối hổ mang dâu tây,= * X + Y Z
Quy tắc: - X Z * | Z * X - | * X - Z | - X X * Z | Kết quả: - ngựa vằn nho * ngựa đại bàng,- X X * Z
Quy tắc: X * = * Y | = X * * Y X | = * X * Y | * * Y = X | Kết quả: = sư tử * * sư tử chuột sư tử,= X * * Y X
Quy tắc: = - Y X Y | X Y - = | = X Y - | = - X Y | Kết quả: = - nho kiwi chim cánh cụt dâu tây nho kiwi,= - Y X Y
Quy tắc: X Y = + | Y + = X | = + X Y | = Y + X | Kết quả: trâu dưa hấu lê đen = +,X Y = +
Quy tắc: Z * - + Y | * + - Z Y | Z Y * - + | + Y - * Z | Kết quả: * + - dưa hấu dâu tây,* + - Z Y
Quy tắc: = Y Z + X = | = Y Z = + X | = Z X = Y + | Y = X Z = + | Kết quả: = kiwi trâu = kiwi ngựa +,= Z X = Y +
Quy tắc: = Z Y * | Z = Y * | Y * Z = | Y Z * = | Kết quả: cò chuối dâu đen dưa hấu * =,Y Z * =
Quy tắc: * * Z = | * Z * = | Z = * Z * | * Z * = | Kết quả: trâu = * trâu *,Z = * Z *
Quy tắc: = Y = + | = = Y + | = = Y + | = Y + Y Y = | Kết quả: = đào ngựa vằn + ngựa vằn đào đào đào =,= Y + Y Y =
Quy tắc: Z Y - - X + | X Z Y - - + | Z Y + - - X | - - X Y + Z | Kết quả: đại bàng táo chim cánh cụt trâu - - trâu +,Z Y - - X +
Quy tắc: + + - Z Y | - + Z + Y | Z - + Y + | + Z + Y - | Kết quả: đào chuột - + cò dưa hấu +,Z - + Y +
Quy tắc: Y - * | - * Y | * - Y | Y * - Y | Kết quả: cá mập táo * - cá mập táo,Y * - Y
Quy tắc: - Z = X Y + | + X = Y - Z | - + X Z Y = | X + Y Z - = | Kết quả: + kiwi táo = sư tử ngựa - dưa hấu,+ X = Y - Z
Quy tắc: Z Y + + | + Z + Y | Y + + Z | + + Z Y | Kết quả: + đào cá mập + chuột vằn,+ Z + Y
Quy tắc: X * Y + | + * X Y | X + Y * | X + * Y Y | Kết quả: kiwi lion + * blackberry blackberry,X + * Y Y
Quy tắc: = = Y + X | Y + X = = | = X = Y + Y | = = Y X + | Kết quả: = lê táo = cá voi + cá voi,= X = Y + Y
Quy tắc: - Y Z X + - | Z + X - - Y | X Z - - + Y | X + Z - - Y | Kết quả: kiwi cá mập - - + quả việt quất,X Z - - + Y
Quy tắc: X - + X | + X - | - + X | + - X | Kết quả: đào - + đào,X - + X
Quy tắc: Y = X * Z | * = X Z Y | * Z = X Y | Y X = Z * | Kết quả: sư tử hải cẩu = ngựa vằn kiwi * nho dâu đen,Y = X * Z
Quy tắc: Z X - = X | X = Z - | X - = Z | Z = - X | Kết quả: ngựa vằn sư tử việt quất - = ngựa vằn sư tử,Z X - = X
Quy tắc: Z Y + * | Z + * Y | Y + Z * Z | Z Y + * | Kết quả: việt quất + chim cánh cụt * chim cánh cụt,Y + Z * Z
Quy tắc: Y = + - Z | Z = Y - + | + Z = - Y | - = Z + Y | Kết quả: dâu tây = lê - +,Z = Y - +
Quy tắc: Z * Y - | * - Z Y Y | * Z - Y | - Y Z * | Kết quả: * - ngựa vằn cá mập voi ngựa vằn ngựa,* - Z Y Y
Quy tắc: X + Z * | + * Z X | X + * Z | + Z * X | Kết quả: + * ngựa vằn lê,+ * Z X
Quy tắc: - Z * X = | = - * X Z | = - X * Z | = * - Z X | Kết quả: - dưa hấu * con dấu =,- Z * X =
Quy tắc: = Z - * Y | * Y Z = - | - Z * = Y | Y Z * - = | Kết quả: * trâu chim cánh cụt = -,* Y Z = -
Quy tắc: X * + | + X * | * X X + X | X * + | Kết quả: * sư tử + sư tử,* X X + X
Quy tắc: X + + | X X + + X | X + + | + + X | Kết quả: sư tử sư tử + + sư tử,X X + + X
"Quy tắc: = Z Y = | Y Z = = | = Z Y = | = Z Y = | Kết quả: = chuối, chuối, dưa hấu, kiwi =",= Z Y =
Quy tắc: Y Z = = - | Z Z - = Y = | Y - Z = = | - Z Y = = | Kết quả: chuột chuột - = rắn hổ mang =,Z Z - = Y =
Quy tắc: X - * | - X X * | X * - | X * - | Kết quả: - kiwi kiwi *,- X X *
Quy tắc: X - = | X - = X | = - X | X - = | Kết quả: ngựa vằn - = ngựa vằn,X - = X
Quy tắc: * Y - - | - * - Y Y | * Y - - | - * - Y | Kết quả: - * - dâu tây,- * - Y Y
Quy tắc: * + Z = X | = Z X + Z * | Z X * = + | Z + * = X | Kết quả: = dưa hấu chim cánh cụt + chim cánh cụt *,= Z X + Z *
Quy tắc: * * = X | X * = X * | * = X * | * X * = | Kết quả: nho * = nho *,X * = X *
Quy tắc: Y * Z + = | + Z * Y = | * Y = + Z | * = + Y Z Y | Kết quả: * = + ngựa hổ mang cá mập ngựa,* = + Y Z Y
Quy tắc: - X - Y Z = | Y - - X = Z | = - Z Y X - | = Y Z X - - | Kết quả: = đại bàng hổ mang trâu hải cẩu sư tử - -,= Y Z X - -
Quy tắc: = * + Y X | + = Y x * Y | X = + * Y | Y + * = X | Kết quả: + = đào kiwi đại bàng * kiwi đại bàng,+ = Y X * Y
Quy tắc: = Y Z * | Z = Y * Z | * = Z Y | * Y = Z | Kết quả: cò = việt quất trâu * cò,Z = Y * Z
