source,target
Rules: + = X Z | X = Z + | + Z = X | X = Z + | Result: + blueberry = horse,+ Z = X
Rules: Z = = = | Z Z = = = | = = Z = | = = = Z | Result: stork shark stork shark = = =,Z Z = = =
Rules: * Z X * - | * X Z * - | - * Z X * | - X * Z * Z | Result: - blackberry eagle * blackberry kiwi * blackberry kiwi,- X * Z * Z
Rules: Z * + X | X * + Z | + X Z * | + X * Z | Result: + horse pear * whale,+ X * Z
Rules: Y X * Z + | + Z X Y * | Z Y + * X | * Z + X Y | Result: * seal + zebra peach,* Z + X Y
Rules: - - Z = | - = - Z | - = Z Z - | = - - Z | Result: - = rat rat rat rat -,- = Z Z -
Rules: + Y * Z X | * Z Y + X | Z X * + Y | Y Z X + * | Result: * strawberry rat grape + seal strawberry,* Z Y + X
Rules: Y = * * | Y * * = | * = Y * | Y Y * = * | Result: lion lion * = *,Y Y * = *
Rules: * * Z - X | * Z * - X | X Z * - * Z | X - Z * * | Result: zebra buffalo kiwi * - * buffalo kiwi,X Z * - * Z
Rules: * X Z * | Z * X * | Z X * * | * X Z * | Result: strawberry horse blackberry zebra * *,Z X * *
Rules: + Y Z = X | = X Y + Z | X + Z Y = | X = Y Z + | Result: strawberry whale + zebra stork =,X + Z Y =
Rules: + = Z + | + Z Z + = | + = + Z | + + Z = | Result: + blueberry lion blueberry lion + =,+ Z Z + =
Rules: - + X Z - | Z - + Z X - | X + - Z - | + Z - - X | Result: cobra - + cobra watermelon blackberry -,Z - + Z X -
Rules: X X = = - | X - = = | - = X = | - = = X | Result: cobra cobra cobra cobra = = -,X X = = -
Rules: Y = + Z + | Z + Y + = | Z + = Y + | Y + = + Z | Result: strawberry watermelon + lion apple + =,Z + Y + =
Rules: + + - X Z Z | - X + + Z | Z X + + - | X Z + + - | Result: + + - blackberry banana whale whale,+ + - X Z Z
Rules: X = - - Z | X - = - Z | Z - = - X | X X Z = - - | Result: blueberry buffalo blueberry buffalo zebra shark = - -,X X Z = - -
Rules: Y + Z = | = Z + Y | Y = + Z | + Z = Y | Result: shark = + stork zebra,Y = + Z
Rules: - * - X Y | - Y * X - | * - X Y - | Y - * Y - X | Result: penguin - * penguin - horse,Y - * Y - X
Rules: Z * X + | Z + X * | * X Z + | + * X X Z | Result: + * strawberry strawberry blackberry apple,+ * X X Z
Rules: X X = + | = + X | X + = | X = + | Result: blueberry banana blueberry banana = +,X X = +
Rules: * - X Z | - X Z * | Z * - X | X - Z * | Result: - rat grape lion *,- X Z *
Rules: X + * Y * | * Y X + * X | Y + X * * | * Y * X + | Result: * rat pear + * pear,* Y X + * X
Rules: X Y = * | * Y = X | = Y X * | * = Y X | Result: * lion = lion,* Y = X
Rules: X * + Y | X * + Y | * Y X + | + * Y X | Result: + * horse banana,+ * Y X
Rules: Z Y Z + + | + Z Y + | Z + Y + | Y + + Z | Result: lion apple peach lion + +,Z Y Z + +
Rules: Z - X * | - * Z X | * Z - X | * Z X - | Result: - * zebra grape,- * Z X
Rules: * X - + | X - + * | - * X X + | + * - X | Result: - * pear pear +,- * X X +
Rules: Y + = Z - | Y - Z = + | = Z + Z Y - | + Y - = Z | Result: = watermelon + watermelon watermelon -,= Z + Z Y -
Rules: Y X = - * | = X * Y - | = - X Y * | - = * X X Y | Result: - = * eagle grape eagle grape grape strawberry,- = * X X Y
Rules: * Y * X + | * + * Y X | + * * Y X | + * Y X * | Result: * shark * blueberry lion +,* Y * X +
Rules: = Y X + + | X X + + = Y | X Y = + + | = X + + Y | Result: blackberry blackberry + + = peach cobra,X X + + = Y
Rules: Y + * Z | Y Z * + | Y * + Z | + Z Y * | Result: grape apple + * penguin eagle,Y + * Z
Rules: = Y - * | = * - Y | = * Y Y - | Y * = - | Result: = * zebra zebra -,= * Y Y -
Rules: + Z = | Z Z = + | + Z = | Z + = | Result: strawberry horse strawberry horse = +,Z Z = +
