question,target
"Nếu cây anh túc nhàm chán và có màu đỏ thì cây anh túc to.
Nếu cây anh túc nhanh thì cây anh túc yếu.
Nếu một cây anh túc thông minh hoặc nóng bỏng thì đó là cây anh túc tốt.
Nếu cây anh túc có màu tím thì cây anh túc xấu.
Nếu một bông hoa anh túc đẹp và mạnh mẽ thì hoa anh túc lại mềm mại.
Sự thật:
Cây anh túc rất đẹp và nóng bỏng.
Những điều sau đây có thể được xác định về cây anh túc:",Cây anh túc là tốt.
"Nếu Frank màu đỏ thì Frank đẹp.
Nếu Frank có màu xanh lam thì Frank to lớn.
Nếu Frank vui vẻ hoặc xanh tươi thì Frank mềm yếu.
Nếu Frank còn trẻ thì Frank có màu tím.
Nếu Frank đáng sợ thì Frank tròn trịa.
Sự thật:
Frank hạnh phúc và già đi.
Những điều sau đây có thể được xác định về Frank:",Frank mềm yếu.
"Nếu hoa hồng còn nhỏ thì hoa hồng còn non.
Nếu một bông hồng nóng bỏng và hạnh phúc thì bông hồng đó chậm chạp.
Nếu bông hồng nhanh hoặc tròn thì đó là bông hồng xấu.
Hoa hồng yếu thì hoa hồng lớn.
Nếu bông hồng thông minh thì bông hồng đó có màu xanh.
Sự thật:
Hoa hồng nhàm chán và tròn trịa.
Những điều sau đây có thể được xác định về hoa hồng:",Hoa hồng xấu quá.
"Nếu Frank buồn thì Frank xanh.
Nếu Frank màu đỏ thì Frank vui.
Nếu Frank nhỏ thì Frank tốt.
Nếu Frank mạnh mẽ và đáng sợ thì Frank lại chậm chạp.
Nếu Frank có màu xanh lam thì Frank mềm mại.
Sự thật:
Frank đỏ mặt và chậm chạp.
Những điều sau đây có thể được xác định về Frank:",Frank đang hạnh phúc.
"Nếu hoa hồng lạnh thì hoa hồng nóng.
Nếu hoa hồng to và nhỏ thì hoa hồng có màu tím.
Nếu hoa hồng chậm rãi hay thông minh thì hoa hồng có màu đỏ.
Nếu hoa hồng có màu xanh thì hoa hồng có hình tròn.
Nếu bông hồng có màu xanh thì bông hồng đó nhanh.
Sự thật:
Hoa hồng rất đẹp và có màu xanh.
Những điều sau đây có thể được xác định về hoa hồng:",Hoa hồng có hình tròn.
"Nếu cây anh túc mạnh thì cây anh túc lớn.
Nếu cây anh túc có màu xanh thì cây anh túc rất nóng.
Nếu cây anh túc còn xanh hoặc còn non thì cây anh túc xấu.
Nếu cây anh túc yếu thì cây anh túc lạnh.
Nếu hoa anh túc đẹp thì hoa anh túc có màu tím.
Sự thật:
Cây anh túc có màu đỏ và non.
Những điều sau đây có thể được xác định về cây anh túc:",Cây anh túc rất tệ.
"Hổ tốt thì hổ đáng sợ.
Nếu hổ buồn thì hổ có màu đỏ.
Nếu hổ nhanh nhẹn và nhàm chán thì hổ yếu.
Hổ sạch thì hổ xanh.
Nếu hổ tròn tức là hổ nóng.
Sự thật:
Con hổ có xấu có tốt.
Những điều sau đây có thể được xác định về con hổ:",Con hổ thật đáng sợ.
"Nếu con thỏ mạnh mẽ thì con thỏ đó đẹp.
Nếu con thỏ xấu thì con thỏ đó sạch.
Nếu con thỏ có màu đỏ và thông minh thì con thỏ đó hạnh phúc.
Nếu con thỏ có màu xanh thì con thỏ đó mềm.
Nếu con thỏ nóng hoặc tím thì con thỏ lạnh.
Sự thật:
Con thỏ mềm mại và buồn bã.
Những điều sau đây có thể được xác định về con thỏ:",Không có gì.
"Nếu hươu cao cổ thông minh và tròn trịa thì hươu cao cổ to lớn.
Nếu hươu cao cổ sạch sẽ thì hươu cao cổ tốt.
Nếu hươu cao cổ vui vẻ hoặc có màu tím thì hươu cao cổ có màu đỏ.
Nếu hươu cao cổ khỏe thì hươu cao cổ lại chậm.
Nếu một con hươu cao cổ nhàm chán thì đó là con hươu cao cổ xấu.
Sự thật:
Hươu cao cổ sạch sẽ và thông minh.
Có thể xác định những điều sau đây về hươu cao cổ:",Con hươu cao cổ là tốt.
"Nếu hà mã lạnh lùng hoặc đáng sợ thì hà mã rất đẹp.
Nếu hà mã to hoặc mềm thì hà mã là kẻ nhàm chán.
Nếu hà mã hạnh phúc thì hà mã xấu.
Nếu hà mã có màu xanh thì hà mã yếu.
Nếu hà mã có màu xanh thì hà mã chạy nhanh.
Sự thật:
Con hà mã rất hạnh phúc và to lớn.
Những điều sau đây có thể được xác định về hà mã:",Con hà mã thật nhàm chán và tệ hại.
"Nếu gấu có màu tím thì gấu tốt.
Nếu con gấu buồn bã hay mềm yếu thì con gấu đó sạch sẽ.
Nếu con gấu có màu xanh thì con gấu đó nhàm chán.
Nếu một con gấu tròn trịa và nhanh nhẹn thì con gấu đó thật đáng sợ.
Gấu đẹp thì gấu chậm.
Sự thật:
Con gấu còn trẻ và mềm mại.
Những điều sau đây có thể được xác định về con gấu:",Con gấu sạch sẽ.
"Cây anh túc nhỏ hay lớn thì cây anh túc có tính nóng.
Nếu cây anh túc tròn trịa hoặc vui vẻ thì cây anh túc chậm chạp.
Nếu một bông hoa anh túc già nua và nhàm chán thì đó là bông hoa anh túc buồn.
Nếu cây anh túc đáng sợ hoặc xấu thì cây anh túc mềm mại.
Nếu cây anh túc còn trẻ và đẹp thì cây anh túc tốt.
Sự thật:
Cây anh túc nhanh và nhỏ.
Những điều sau đây có thể được xác định về cây anh túc:",Cây anh túc đang nóng.
