source,target
Quy tắc: + = X Z | X = Z + | + Z = X | X = Z + | Kết quả: + việt quất = ngựa,+ Z = X
Quy tắc: Z = = = | Z Z = = = | = = Z = | = = = Z | Kết quả: cá mập cò cá mập = = =,Z Z = = =
Quy tắc: * Z X * - | * X Z * - | - * Z X * | - X * Z * Z | Kết quả: - đại bàng blackberry * kiwi blackberry * kiwi blackberry,- X * Z * Z
Quy tắc: Z * + X | X * + Z | + X Z * | + X * Z | Kết quả: + lê ngựa * cá voi,+ X * Z
Quy tắc: Y X * Z + | + Z X Y * | Z Y + * X | * Z + X Y | Kết quả: * Hải cẩu + đào ngựa vằn,* Z + X Y
Quy tắc: - - Z = | - = - Z | - = Z Z - | = - - Z | Kết quả: - = chuột chuột chuột -,- = Z Z -
Quy tắc: + Y * Z X | * Z Y + X | Z X * + Y | Y Z X + * | Kết quả: * dâu tây chuột nho + hải cẩu dâu tây,* Z Y + X
Quy tắc: Y = * * | Y * * = | * = Y * | Y Y * = * | Kết quả: sư tử sư tử * = *,Y Y * = *
Quy tắc: * * Z - X | * Z * - X | X Z * - * Z | X - Z * * | Kết quả: kiwi trâu ngựa vằn * - * kiwi trâu,X Z * - * Z
Quy tắc: * X Z * | Z * X * | Z X * * | * X Z * | Kết quả: ngựa vằn dâu đen * *,Z X * *
Quy tắc: + Y Z = X | = X Y + Z | X + Z Y = | X = Y Z + | Kết quả: cá voi dâu + cò ngựa vằn =,X + Z Y =
Quy tắc: + = Z + | + Z Z + = | + = + Z | + + Z = | Kết quả: + sư tử việt quất sư tử + =,+ Z Z + =
Quy tắc: - + X Z - | Z - + Z X - | X + - Z - | + Z - - X | Kết quả: rắn hổ mang - + rắn hổ mang dưa hấu blackberry -,Z - + Z X -
Quy tắc: X X = = - | X - = = | - = X = | - = = X | Kết quả: rắn hổ mang rắn hổ mang rắn hổ mang rắn hổ mang = = -,X X = = -
Quy tắc: Y = + Z + | Z + Y + = | Z + = Y + | Y + = + Z | Kết quả: dưa hấu dâu tây + táo sư tử + =,Z + Y + =
Quy tắc: + + - X Z Z | - X + + Z | Z X + + - | X Z + + - | Kết quả: + + - Cá voi cá voi chuối blackberry,+ + - X Z Z
Quy tắc: X = - - Z | X - = - Z | Z - = - X | x x z = - - | Kết quả: quất trâu việt quất trâu trâu cá mập = - -,X X Z = - -
Quy tắc: Y + Z = | = Z + Y | Y = + Z | + Z = Y | Kết quả: cá mập = + ngựa vằn cò,Y = + Z
Quy tắc: - * - X Y | - Y * X - | * - X Y - | Y - * Y - X | Kết quả: chim cánh cụt - * chim cánh cụt - ngựa,Y - * Y - X
Quy tắc: Z * X + | Z + X * | * X Z + | + * X X Z | Kết quả: + * dâu tây dâu đen táo,+ * X X Z
"Quy tắc: X X = + | = + X | X + = | X = + | Kết quả: việt quất, chuối, việt quất, chuối = +",X X = +
Quy tắc: * - X Z | - X Z * | Z * - X | X - Z * | Kết quả: - sư tử nho chuột *,- X Z *
Quy tắc: X + * Y * | * Y X + * X | Y + X * * | * Y * X + | Kết quả: * lê chuột + * lê,* Y X + * X
Quy tắc: X Y = * | * Y = X | = Y X * | * = Y X | Kết quả: * sư tử = sư tử,* Y = X
