source,target
"Rules: * Y - * X Z | Substitutions: X by "" shark "" , Y by "" stork "" , Z by "" stork """,* stork - * shark stork
"Rules: X Z X = - - | Substitutions: X by "" grape apple "" , Z by "" penguin """,grape apple penguin grape apple = - -
"Rules: X = Y X * | Substitutions: X by "" peach "" , Y by "" cobra eagle """,peach = cobra eagle peach *
"Rules: * = Z - Y | Substitutions: Y by "" pear "" , Z by "" blackberry """,* = blackberry - pear
"Rules: + X Y X = | Substitutions: X by "" watermelon penguin "" , Y by "" eagle kiwi """,+ watermelon penguin eagle kiwi watermelon penguin =
"Rules: X Z - = X | Substitutions: X by "" stork blueberry "" , Z by "" strawberry blueberry """,stork blueberry strawberry blueberry - = stork blueberry
"Rules: Z - + Z | Substitutions: Z by "" strawberry """,strawberry - + strawberry
"Rules: Z Y Y * + + | Substitutions: Y by "" apple "" , Z by "" banana """,banana apple apple * + +
"Rules: Z = X X + | Substitutions: X by "" apple "" , Z by "" shark grape """,shark grape = apple apple +
"Rules: Y X * * Z | Substitutions: X by "" penguin cobra "" , Y by "" pear pear "" , Z by "" strawberry """,pear pear penguin cobra * * strawberry
"Rules: Z X * * X + | Substitutions: X by "" penguin apple "" , Z by "" watermelon grape """,watermelon grape penguin apple * * penguin apple +
"Rules: X = * Z X | Substitutions: X by "" grape lion "" , Z by "" seal banana """,grape lion = * seal banana grape lion
"Rules: X Z X = + - | Substitutions: X by "" lion apple "" , Z by "" watermelon """,lion apple watermelon lion apple = + -
"Rules: * + Y Z Y | Substitutions: Y by "" rat kiwi "" , Z by "" whale """,* + rat kiwi whale rat kiwi
"Rules: - X Y = + | Substitutions: X by "" rat "" , Y by "" peach """,- rat peach = +
"Rules: X * X Y - | Substitutions: X by "" penguin buffalo "" , Y by "" whale shark """,penguin buffalo * penguin buffalo whale shark -
"Rules: - + Y X X | Substitutions: X by "" kiwi pear "" , Y by "" grape kiwi """,- + grape kiwi kiwi pear kiwi pear
"Rules: + Y Y Z + | Substitutions: Y by "" apple peach "" , Z by "" buffalo """,+ apple peach apple peach buffalo +
"Rules: = - = Y X | Substitutions: X by "" whale banana "" , Y by "" banana """,= - = banana whale banana
"Rules: Y + = Z * | Substitutions: Y by "" buffalo "" , Z by "" blueberry """,buffalo + = blueberry *
"Rules: + Y X Z = | Substitutions: X by "" zebra "" , Y by "" peach "" , Z by "" seal """,+ peach zebra seal =
"Rules: = Y + Z Z - | Substitutions: Y by "" pear "" , Z by "" rat """,= pear + rat rat -
"Rules: = Z + X + Z | Substitutions: X by "" blueberry "" , Z by "" stork """,= stork + blueberry + stork
"Rules: X X Y * * * | Substitutions: X by "" shark stork "" , Y by "" peach kiwi """,shark stork shark stork peach kiwi * * *
"Rules: * Y Y + | Substitutions: Y by "" kiwi blackberry """,* kiwi blackberry kiwi blackberry +
"Rules: - + Z Y Y + | Substitutions: Y by "" zebra "" , Z by "" stork rat """,- + stork rat zebra zebra +
"Rules: Z = - Z | Substitutions: Z by "" watermelon shark """,watermelon shark = - watermelon shark
"Rules: * X - Z Z | Substitutions: X by "" stork lion "" , Z by "" eagle cobra """,* stork lion - eagle cobra eagle cobra
"Rules: Z * = Y Y | Substitutions: Y by "" whale cobra "" , Z by "" blackberry strawberry """,blackberry strawberry * = whale cobra whale cobra
"Rules: Y Y - = * X | Substitutions: X by "" cobra peach "" , Y by "" peach horse """,peach horse peach horse - = * cobra peach
"Rules: Y X + - + | Substitutions: X by "" cobra "" , Y by "" whale whale """,whale whale cobra + - +
"Rules: + Y - X * | Substitutions: X by "" kiwi "" , Y by "" pear buffalo """,+ pear buffalo - kiwi *
"Rules: = Z Z = - | Substitutions: Z by "" kiwi """,= kiwi kiwi = -
"Rules: + Y Y + | Substitutions: Y by "" eagle pear """,+ eagle pear eagle pear +
"Rules: Z Z + + Y + | Substitutions: Y by "" shark kiwi "" , Z by "" kiwi """,kiwi kiwi + + shark kiwi +
"Rules: + X Y + = Y | Substitutions: X by "" strawberry "" , Y by "" horse """,+ strawberry horse + = horse
"Rules: * = X Y | Substitutions: X by "" lion blueberry "" , Y by "" cobra """,* = lion blueberry cobra
"Rules: = Y X X + * | Substitutions: X by "" seal horse "" , Y by "" peach watermelon """,= peach watermelon seal horse seal horse + *
"Rules: + - Z Y | Substitutions: Y by "" blackberry "" , Z by "" stork """,+ - stork blackberry
"Rules: = Y = = X X | Substitutions: X by "" horse penguin "" , Y by "" whale """,= whale = = horse penguin horse penguin
"Rules: - Y * X * | Substitutions: X by "" whale "" , Y by "" cobra blueberry """,- cobra blueberry * whale *
"Rules: Y + * * Y | Substitutions: Y by "" horse apple """,horse apple + * * horse apple
"Rules: = X * Z X | Substitutions: X by "" lion "" , Z by "" zebra blackberry """,= lion * zebra blackberry lion
"Rules: * + X + Y X | Substitutions: X by "" strawberry "" , Y by "" grape """,* + strawberry + grape strawberry
"Rules: Y + + Z X | Substitutions: X by "" peach strawberry "" , Y by "" apple seal "" , Z by "" zebra """,apple seal + + zebra peach strawberry
"Rules: Y Y + * X | Substitutions: X by "" grape grape "" , Y by "" zebra grape """,zebra grape zebra grape + * grape grape
"Rules: * X - Z + Y | Substitutions: X by "" strawberry "" , Y by "" rat pear "" , Z by "" rat """,* strawberry - rat + rat pear
"Rules: Y = = Y = | Substitutions: Y by "" whale whale """,whale whale = = whale whale =
"Rules: Y Z + = | Substitutions: Y by "" grape "" , Z by "" horse """,grape horse + =
"Rules: = X X Y - | Substitutions: X by "" pear watermelon "" , Y by "" rat buffalo """,= pear watermelon pear watermelon rat buffalo -
"Rules: X = * X = | Substitutions: X by "" kiwi """,kiwi = * kiwi =
"Rules: Y Z Z = = | Substitutions: Y by "" blueberry watermelon "" , Z by "" buffalo banana """,blueberry watermelon buffalo banana buffalo banana = =
"Rules: = * X X X = | Substitutions: X by "" cobra buffalo """,= * cobra buffalo cobra buffalo cobra buffalo =
"Rules: + Z Z * | Substitutions: Z by "" banana """,+ banana banana *
"Rules: Y = - Y Y | Substitutions: Y by "" banana grape """,banana grape = - banana grape banana grape
"Rules: = Z * Y Z * | Substitutions: Y by "" pear pear "" , Z by "" apple peach """,= apple peach * pear pear apple peach *
"Rules: X Y - = | Substitutions: X by "" blueberry horse "" , Y by "" rat """,blueberry horse rat - =
"Rules: Z - X = Z = | Substitutions: X by "" blackberry "" , Z by "" zebra """,zebra - blackberry = zebra =
"Rules: - Z Z X = | Substitutions: X by "" strawberry "" , Z by "" peach """,- peach peach strawberry =
"Rules: = X + Z | Substitutions: X by "" apple "" , Z by "" grape lion """,= apple + grape lion
"Rules: Y X = Z * | Substitutions: X by "" shark banana "" , Y by "" kiwi rat "" , Z by "" blackberry zebra """,kiwi rat shark banana = blackberry zebra *
"Rules: * X - Z | Substitutions: X by "" peach zebra "" , Z by "" whale stork """,* peach zebra - whale stork
"Rules: Z = + Z Z * | Substitutions: Z by "" lion """,lion = + lion lion *
"Rules: Y Z + Y + | Substitutions: Y by "" strawberry "" , Z by "" kiwi seal """,strawberry kiwi seal + strawberry +
"Rules: * Z + + Z | Substitutions: Z by "" kiwi """,* kiwi + + kiwi
"Rules: = Z * Z | Substitutions: Z by "" eagle strawberry """,= eagle strawberry * eagle strawberry
"Rules: Z * X - - | Substitutions: X by "" horse "" , Z by "" cobra """,cobra * horse - -
"Rules: X * Z + - | Substitutions: X by "" whale "" , Z by "" horse rat """,whale * horse rat + -
"Rules: Z = X + * | Substitutions: X by "" grape "" , Z by "" cobra eagle """,cobra eagle = grape + *
"Rules: Z - = Y Y * | Substitutions: Y by "" cobra peach "" , Z by "" pear """,pear - = cobra peach cobra peach *
"Rules: * Z Z Y + * | Substitutions: Y by "" pear seal "" , Z by "" horse grape """,* horse grape horse grape pear seal + *
"Rules: + Z Y Y * | Substitutions: Y by "" kiwi seal "" , Z by "" grape horse """,+ grape horse kiwi seal kiwi seal *
"Rules: Z = + * Y | Substitutions: Y by "" peach "" , Z by "" seal apple """,seal apple = + * peach
"Rules: + Z * Z | Substitutions: Z by "" grape """,+ grape * grape
"Rules: Z - - - X | Substitutions: X by "" pear "" , Z by "" horse """,horse - - - pear
"Rules: * + X X | Substitutions: X by "" horse """,* + horse horse
"Rules: = * Z X - Y | Substitutions: X by "" shark lion "" , Y by "" stork blueberry "" , Z by "" banana zebra """,= * banana zebra shark lion - stork blueberry
"Rules: - + X Z | Substitutions: X by "" buffalo stork "" , Z by "" shark """,- + buffalo stork shark
"Rules: Z * Y Z + | Substitutions: Y by "" apple "" , Z by "" zebra """,zebra * apple zebra +
"Rules: + X Z X - | Substitutions: X by "" rat zebra "" , Z by "" seal lion """,+ rat zebra seal lion rat zebra -
"Rules: = X * Y = Z | Substitutions: X by "" shark "" , Y by "" stork "" , Z by "" cobra pear """,= shark * stork = cobra pear
"Rules: = Z Y + X | Substitutions: X by "" seal grape "" , Y by "" pear cobra "" , Z by "" seal shark """,= seal shark pear cobra + seal grape
"Rules: Z Y = = X | Substitutions: X by "" whale "" , Y by "" strawberry "" , Z by "" eagle shark """,eagle shark strawberry = = whale
"Rules: = Z Z * - Y | Substitutions: Y by "" zebra cobra "" , Z by "" whale """,= whale whale * - zebra cobra
"Rules: = - + Z Y X | Substitutions: X by "" shark shark "" , Y by "" horse "" , Z by "" shark pear """,= - + shark pear horse shark shark
"Rules: X = = Z Y = | Substitutions: X by "" cobra "" , Y by "" cobra "" , Z by "" grape pear """,cobra = = grape pear cobra =
"Rules: X X = * = Y | Substitutions: X by "" shark kiwi "" , Y by "" watermelon apple """,shark kiwi shark kiwi = * = watermelon apple
"Rules: Z Z = - X | Substitutions: X by "" apple "" , Z by "" eagle """,eagle eagle = - apple
"Rules: * - Z X X | Substitutions: X by "" blackberry zebra "" , Z by "" grape banana """,* - grape banana blackberry zebra blackberry zebra
"Rules: Y Y - * * | Substitutions: Y by "" eagle """,eagle eagle - * *
"Rules: + Y Y Y + | Substitutions: Y by "" stork pear """,+ stork pear stork pear stork pear +
"Rules: * Z + X Z | Substitutions: X by "" grape seal "" , Z by "" stork seal """,* stork seal + grape seal stork seal
"Rules: * - X Y Y | Substitutions: X by "" zebra shark "" , Y by "" eagle blueberry """,* - zebra shark eagle blueberry eagle blueberry
"Rules: = = X Z Y = | Substitutions: X by "" buffalo rat "" , Y by "" watermelon blackberry "" , Z by "" shark """,= = buffalo rat shark watermelon blackberry =
"Rules: * Z Y Z + + | Substitutions: Y by "" shark zebra "" , Z by "" blueberry zebra """,* blueberry zebra shark zebra blueberry zebra + +
"Rules: - * Y X + | Substitutions: X by "" blackberry zebra "" , Y by "" grape """,- * grape blackberry zebra +
"Rules: X * - Z + | Substitutions: X by "" strawberry peach "" , Z by "" shark shark """,strawberry peach * - shark shark +
