source, target
Hai kết quả: * cò - * cò cá mập | * ngựa - * ngựa chim cánh cụt trâu, Quy tắc: * Y - * X Z
Hai kết quả: nho táo chim cánh cụt nho táo nho = - - | cá mập lê đại bàng cá mập lê = - -, Quy tắc: X Z X = - -
Hai kết quả: đào = rắn hổ mang đại bàng đào * | chuột = hải cẩu chuột *, Quy tắc: X = Y X *
Hai kết quả: * = blackberry - lê | * = ngựa vằn - lê dâu đen, Quy tắc: * = Z - Y
Hai kết quả: + dưa hấu chim cánh cụt đại bàng kiwi dưa hấu chim cánh cụt = | + cá mập hải cẩu lê cá mập =, Quy tắc: + X Y X =
Hai kết quả: cò việt quất dâu tây việt quất - = cò việt quất | hải cẩu ngựa vằn dưa hấu - = hải cẩu ngựa vằn, Quy tắc: X Z - = X
Hai kết quả: dâu tây - + dâu tây | chuột - + chuột, Quy tắc: Z - + Z
Hai kết quả: táo chuối táo * + | lê ngựa vằn lê ngựa vằn lê * + +, Quy tắc: Z Y Y * + +
Hai kết quả: nho cá mập = táo táo + | rắn hổ mang ngựa vằn = nho chuột nho +, Quy tắc: Z = X X +
Hai kết quả: rắn hổ mang chim cánh cụt lê lê * * dâu tây | táo dâu tây * * blackberry blackberry, Quy tắc: Y X * * Z
Hai kết quả: dưa hấu nho chim cánh cụt táo * * táo chim cánh cụt + | dưa hấu lê sư tử * * dưa hấu +, Quy tắc: Z X * * X +
Hai kết quả: sư tử nho = * hải cẩu chuối nho sư tử | dâu tây ngựa = * sư tử việt quất dâu tây ngựa, Quy tắc: X = * Z X
Hai kết quả: táo sư tử dưa hấu sư tử táo = + - | hải cẩu cá mập dưa hấu chuột cá mập = + -, Quy tắc: X Z X = + -
Hai kết quả: * + chuột kiwi cá voi chuột kiwi | * + trâu dưa hấu trâu, Quy tắc: * + Y Z Y
Hai kết quả: - đào chuột = + | - cá mập nho = +, Quy tắc: - X Y = +
Hai kết quả: trâu chim cánh cụt * chim cánh cụt trâu cá mập voi - | lê cá mập * cá mập lê kiwi -, Quy tắc: X * X Y -
Hai kết quả: - + nho kiwi kiwi lê kiwi lê | - + cá voi ngựa vằn kiwi kiwi kiwi, Quy tắc: - + Y X X
Hai kết quả: + táo đào táo đào trâu + | + chuột trâu +, Quy tắc: + Y Y Z +
Hai kết quả: = - = chuối cá voi chuối | = - = đại bàng lê, Quy tắc: = - = Y X
Hai kết quả: trâu + = việt quất * | blackberry + = cá mập chim cánh cụt *, Quy tắc: Y + = Z *
Hai kết quả: + hải cẩu ngựa vằn đào = | + con dấu ngựa vằn dâu tây việt quất =, Quy tắc: + Y X Z =
Hai kết quả: = lê + chuột chuột - | = táo + đại bàng đại bàng -, Quy tắc: = Y + Z Z -
Hai kết quả: = cò + việt quất + cò | = cò kiwi + hải cẩu + cò kiwi, Quy tắc: = Z + X + Z
Hai kết quả: cá mập cò cá mập cò đào kiwi * * * | ngựa vằn nho ngựa vằn cá mập chuột nho* * *, Quy tắc: X X Y * * *
Hai kết quả: * kiwi blackberry kiwi blackberry + | * táo trâu táo trâu +, Quy tắc: * Y Y +
Hai kết quả: - + cò chuột ngựa vằn + | - + nho táo dâu dâu dâu tây dâu tây +, Quy tắc: - + Z Y Y +
Hai kết quả: cá mập dưa hấu = - cá mập dưa hấu | cá voi = - cá voi, Quy tắc: Z = - Z
Hai kết quả: * cò sư tử - rắn hổ mang đại bàng đại bàng rắn hổ mang | * trâu - hải cẩu, Quy tắc: * X - Z Z
Hai kết quả: dâu đen * = rắn hổ mang voi rắn hổ mang | rắn hổ mang * = kiwi kiwi, Quy tắc: Z * = Y Y
Hai kết quả: ngựa đào ngựa đào - = * rắn hổ mang đào | chim cánh cụt chim cánh cụt - = * ngựa táo, Quy tắc: Y Y - = * X
Hai kết quả: rắn hổ mang cá voi + - + | ngựa đào kiwi + - +, Quy tắc: Y X + - +
Hai kết quả: + lê trâu - kiwi * | + lê ngựa - dưa hấu chuối *, Quy tắc: + Y - X *
Hai kết quả: = kiwi kiwi = - | = đại bàng = -, Quy tắc: = Z Z = -
Hai kết quả: + lê đại bàng đại bàng + | + cá mập sư tử cá mập sư tử +, Quy tắc: + Y Y +
Hai kết quả: kiwi kiwi + + cá mập kiwi + | ngựa + + chim cánh cụt chuột +, Quy tắc: Z Z + + Y +
Hai kết quả: + ngựa dâu + = ngựa | + chuối dâu đen + = chuối, Quy tắc: + X Y + = Y
Hai kết quả: * = rắn hổ mang việt quất sư tử | * = ngựa vằn blackberry, Quy tắc: * = X Y
Hai kết quả: = đào dưa hấu hải cẩu ngựa hải cẩu ngựa +* | = cá voi voi đại bàng đại bàng + *, Quy tắc: = Y X X + *
Hai kết quả: + - cò blackberry | + - trâu đại bàng, Quy tắc: + - Z Y
Hai kết quả: = cá voi = = chim cánh cụt ngựa chim cánh cụt | = cá voi kiwi = = chim cánh cụt táo táo, Quy tắc: = Y = X X
Hai kết quả: - rắn hổ mang việt quất * cá voi * | - chuối chim cánh cụt * nho đào *, Quy tắc: - Y * X *
Hai kết quả: táo ngựa +* * táo ngựa | chuối dưa hấu +* * chuối dưa hấu, Quy tắc: Y + * * Y
Hai kết quả: = sư tử * ngựa vằn blackberry lion | = blackberry zebra * cá mập chim cánh cụt blackberry zebra, Quy tắc: = X * Z X
Hai kết quả: * + dâu tây + dâu tây nho | * + dâu đen + con dấu đại bàng đen, Quy tắc: * + X + Y X
Hai kết quả: con dấu táo + + dâu tây đào ngựa vằn | hải cẩu trâu + cá voi đen, Quy tắc: Y + + Z X
Hai kết quả: nho ngựa vằn nho vằn +* nho nho | nho trâu nho trâu + * rắn hổ mang táo, Quy tắc: Y Y + * X
Hai kết quả: * dâu - chuột + lê chuột | * trâu - dâu ngựa + dưa hấu, Quy tắc: * X - Z + Y
Hai kết quả: cá voi voi = = cá voi voi = | nho cá voi = = nho cá voi =, Quy tắc: Y = Y =
Hai kết quả: nho ngựa + = | chim cánh cụt dưa hấu đào táo + =, Quy tắc: Y Z + =
Hai kết quả: = lê dưa hấu lê lê dưa hấu trâu chuột - | = ngựa chim cánh cụt ngựa chim cánh cụt đào đại bàng -, Quy tắc: = X X Y -
Hai kết quả: kiwi = * kiwi = | kiwi cobra = * kiwi cobra =, Quy tắc: X = * X =
Hai kết quả: quả việt quất dưa hấu trâu chuối trâu chuối = = | lê cá voi kiwi lê kiwi =, Quy tắc: Y Z Z = =
Hai kết quả: = * rắn hổ mang trâu rắn hổ mang trâu rắn hổ mang trâu = | = * hải cẩu lê hải cẩu lê lê =, Quy tắc: = * X X X =
Hai kết quả: + chuối chuối * | + trâu trâu *, Quy tắc: + Z Z *
Hai kết quả: chuối nho = - chuối nho chuối nho | cá mập chuột = - cá mập chuột chuột, Quy tắc: Y = - Y Y
Hai kết quả: = táo đào * lê lê táo đào * | = nho đào * táo trâu đào nho *, Quy tắc: = Z * Y Z *
Hai kết quả: chuột ngựa việt quất - = | chuột đào táo - =, Quy tắc: X Y - =
Hai kết quả: ngựa vằn - blackberry = ngựa vằn = | chuột - chuối = chuột =, Quy tắc: Z - X = Z =
Hai kết quả: - đào đào dâu = | - đào đào rắn hổ mang ngựa =, Quy tắc: - Z Z X =
Hai kết quả: = táo + sư tử nho | = ngựa vằn sư tử + lê, Quy tắc: = X + Z
Hai kết quả: chuối cá mập chuột kiwi = ngựa vằn blackberry * | nho chim cánh cụt blackberry = cá voi việt quất *, Quy tắc: Y X = Z *
Hai kết quả: * ngựa vằn đào - cò cá voi | * cò - ngựa, Quy tắc: * X - Z
Hai kết quả: sư tử = + sư tử sư tử * | cá voi = + cá voi *, Quy tắc: Z = + Z Z *
