source,target
"Quy tắc: + Z = X | Thay thế: X bằng "" horse "" , Z bằng "" blueberry """,+ việt quất = ngựa
"Quy tắc: Y + Y + Y = | Thay thế: Y bằng ""nho""",nho + nho + nho =
"Quy tắc: Y * Z Y - | Thay thế: Y bằng "" lê "" , Z bằng "" việt quất """,lê * lê việt quất -
"Quy tắc: Y X = Y - | Thay thế: X bằng ""cá voi "" , Y bằng "" cò """,cá voi = cò -
"Quy tắc: Y Y - = + Y | Thay thế: Y bởi ""chim cánh cụt đào""",đào chim cánh cụt đào chim cánh cụt - = + đào chim cánh cụt
"Quy tắc: + Z Y - = | Thay thế: Y bằng "" blueberry "" , Z bằng "" apple seal """,+ dấu táo việt quất - =
"Quy tắc: = X Z = + | Thay thế: X bằng "" cò "" , Z bằng "" cá mập """,= cá mập cò = +
"Quy tắc: - Y X Z = | Thay thế: X bằng "" ngựa vằn "" , Y bằng "" cá mập "" , Z bằng "" đào """,- cá mập ngựa vằn đào =
"Quy tắc: = Y * + Z | Thay thế: Y bởi ""cá mập trâu"", Z bởi ""dưa hấu""",= cá mập trâu * + dưa hấu
"Quy tắc: - - Y + Z | Thay thế: Y bằng ""chuột chuột"", Z bằng ""ngựa trâu""",- - chuột cống + trâu ngựa
"Quy tắc: = Z X - | Thay thế: X bằng "" ngựa vằn "" , Z bằng "" đại bàng """,= ngựa vằn đại bàng -
"Quy tắc: - = Y = X | Thay thế: X bằng "" nho "" , Y bằng "" nho """,- = nho = nho
"Quy tắc: X = + Z - X | Thay thế: X bằng "" nho "" , Z bằng "" sư tử """,nho = + sư tử - nho
"Quy tắc: * = Z X | Thay thế: X bằng ""quả lê chim cánh cụt "" , Z bằng "" lê cò """,* = lê cò lê chim cánh cụt
"Quy tắc: = + X Y Z | Thay thế: X bằng ""đại bàng cò"", Y bằng ""chuối"", Z bằng ""chuối dâu""",= + cò đại bàng chuối chuối dâu
"Quy tắc: Z Z * + | Thay thế: Z bởi "" blackberry zebra """,ngựa vằn blackberry ngựa vằn blackberry * +
"Quy tắc: Y - = Y | Thay người: Y bởi "" kiwi """,kiwi - = kiwi
"Quy tắc: X + Z Y = | Thay thế: X bởi ""cá voi dâu tây "", Y bởi ""cò"" , Z bởi ""ngựa vằn""",cá voi dâu + cò ngựa vằn =
"Quy tắc: * * Z Y - | Thay thế: Y bởi "" zebra "" , Z bởi "" Banana """,* * ngựa vằn chuối -
"Quy tắc: Y X * - X + | Thay thế: X bằng ""cò việt quất"" , Y bằng ""dâu ngựa vằn""",ngựa vằn dâu tây việt quất * - cò việt quất +
"Quy tắc: Y - X - Y | Người thay thế: X bằng "" dưa hấu blackberry "" , Y bằng "" rắn hổ mang """,rắn hổ mang - dâu đen - rắn hổ mang
