source,target
Quy tắc: = Z + - X | - + = X Z | Z - X + = | + - = Z X | Kết quả: = sư tử dưa hấu + - ngựa vằn,= Z + - X
Quy tắc: + = X Y | Y X = + | + Y X = Y | Y X = + | Kết quả: + ngựa hổ mang ngựa = ngựa,+ Y X = Y
Quy tắc: = Z Y = | Z = = Y | = Z Y = | = Y = Z Y | Kết quả: = lê hải cẩu = hải cẩu sư tử lê,= Y = Z Y
Quy tắc: Z Y * X - = | = Y Z X * - | Y * = Z X - | * = X - Z Y | Kết quả: = cá mập dâu kiwi đại bàng nho * -,= Y Z X * -
Quy tắc: - + X X | - X + | - + X | + - X | Kết quả: - + chuối ngựa vằn chuối ngựa vằn,- + X X
Quy tắc: X Y + Z = * | X + * Z = Y | = * X + Y Z | X = * + YZ | Kết quả: = * việt quất + dâu hổ mang chuối,= * X + Y Z
Quy tắc: - X Z * | Z * X - | *X - Z | - X X * Z | Kết quả: - ngựa vằn nho ngựa vằn nho * ngựa đại bàng,- X X * Z
Quy tắc: X * = * Y | = X * * YX | = * X * Y | * * Y = X | Kết quả: = sư tử * * sư tử chuột sư tử,= X * * Y X
Quy tắc: = - Y X Y | X Y - = | = X Y - | = - X Y | Kết quả: = - nho kiwi chim cánh cụt dâu nho kiwi,= - Y X Y
Quy tắc: X Y = + | Y + = X | = + X Y | = Y + X | Kết quả: dưa hấu trâu dâu đen = +,X Y = +
Quy tắc: Z * - + Y | * + - Z Y | Z Y * - + | + Y - * Z | Kết quả: * + - dưa hấu dâu,* + - Z Y
Quy tắc: = Y Z + X = | = YZ = + X | = Z X = Y + | Y = X Z = + | Kết quả: = kiwi trâu = ngựa kiwi +,= Z X = Y +
Quy tắc: = Z Y * | Z = Y * | Y * Z = | YZ * = | Kết quả: dưa hấu dâu đen chuối cò * =,YZ * =
Quy tắc: * * Z = | * Z * = | Z = * Z * | * Z * = | Kết quả: trâu = *trâu*,Z = * Z *
Quy tắc: = Y = + | = = Y + | = = Y + | = Y + Y Y = | Kết quả: = đào ngựa vằn + đào ngựa vằn đào ngựa vằn =,= Y + Y Y =
Quy tắc: Z Y - - X + | X Z Y - - + | Z Y + - - X | - - X Y + Z | Kết quả: trâu chim cánh cụt táo đại bàng - - trâu +,Z Y - - X +
Quy tắc: + + - Z Y | - + Z + Y | Z - + Y + | + Z + Y - | Kết quả: chuột đào - + dưa hấu cò +,Z - + Y +
Quy tắc: Y - * | - * Y | * - Y | Y* - Y | Kết quả: cá mập táo * - cá mập táo,Y* - Y
Quy tắc: - Z = X Y + | + X = Y - Z | - + X Z Y = | X + Y Z - = | Kết quả: + táo kiwi = sư tử ngựa – dưa hấu,+ X = Y - Z
Quy tắc: Z Y + + | + Z + Y | Y ++ Z | + + Z Y | Kết quả: + cá mập đào + chuột vằn,+ Z + Y
Quy tắc: X * Y + | + * X Y | X + Y * | X + * Y Y | Kết quả: kiwi sư tử + * blackberry blackberry,X + * Y Y
Quy tắc: = = Y + X | Y + X = = | = X = Y + Y | = = Y X + | Kết quả: = lê táo = cá voi + cá voi,= X = Y + Y
Quy tắc: - Y Z X + - | Z + X - - Y | X Z - - + Y | X + Z - - Y | Kết quả: kiwi cá mập - - + việt quất,X Z - - + Y
Quy tắc: X - + X | + X - | - + X | + - X | Kết quả: đào - + đào,X - + X
Quy tắc: Y = X * Z | * = X Z Y | * Z = X Y | Y X = Z * | Kết quả: hải cẩu = ngựa vằn kiwi * nho dâu đen,Y = X * Z
Quy tắc: Z X - = X | X = Z - | X - = Z | Z = - X | Kết quả: ngựa vằn sư tử việt quất - = ngựa vằn sư tử,Z X - = X
Quy tắc: Z Y + * | Z + * Y | Y + Z * Z | Z Y + * | Kết quả: việt quất + chim cánh cụt * chim cánh cụt,Y + Z * Z
Quy tắc: Y = + - Z | Z = Y - + | + Z = - Y | - = Z + Y | Kết quả: dâu dâu = lê - +,Z = Y - +
Quy tắc: Z * Y - | * - Z Y Y | * Z - Y | - Y Z * | Kết quả: * - cá mập voi ngựa vằn ngựa vằn,* - Z Y Y
Quy tắc: X + Z * | + * Z X | X + * Z | + Z*X | Kết quả: +* lê ngựa vằn,+ * Z X
Quy tắc: - Z * X = | = - * X Z | = - X * Z | = * - Z X | Kết quả: - dưa hấu * dấu =,- Z * X =
Quy tắc: = Z - * Y | * YZ = - | - Z*=Y | YZ * - = | Kết quả: * chim cánh cụt trâu = -,* YZ = -
Quy tắc: X * + | + X* | * X X + X | X * + | Kết quả: * sư tử sư tử + sư tử,* X X + X
Quy tắc: X + + | X X + + X | X ++ | + + X | Kết quả: sư tử sư tử + + sư tử,X X + + X
Quy tắc: = Z Y = | YZ = = | = Y = Z | = Y = Z | Kết quả: = chuối chuối dưa hấu kiwi =,= Z Y =
Quy luật: Y Z = = - | Z Z - = Y = | Y - Z = = | - Z Y = = | Kết quả: chuột chuột - = rắn hổ mang =,Z Z - = Y =
Quy tắc: X - * | - X X * | X * - | X * - | Kết quả: - kiwi kiwi *,- X X *
Quy tắc: X - = | X - = X | = - X | X - = | Kết quả: ngựa vằn - = ngựa vằn,X - = X
Quy tắc: * Y - - | - * - Y Y | * Y - - | - * - Y | Kết quả: - * - dâu dâu,- * - YY
Quy tắc: * + Z = X | = Z X + Z * | Z X * = + | Z + * = X | Kết quả: = chim cánh cụt dưa hấu + chim cánh cụt *,= Z X + Z *
Quy tắc: * * = X | X * = X * | * = X * | * X * = | Kết quả: nho * = nho *,X * = X *
Quy tắc: Y * Z + = | + Z * Y = | * Y = + Z | * = + Y Z Y | Kết quả: * = + ngựa cá mập hổ mang ngựa,* = + Y Z Y
Quy tắc: - X - Y Z = | Y - - X = Z | = - Z Y X - | = Y Z X - - | Kết quả: = sư tử hải cẩu rắn hổ mang đại bàng - -,= YZ X - -
Quy tắc: = * + Y X | + = Y X * Y | X = + * Y | Y + * = X | Kết quả: + = đào kiwi đại bàng * kiwi đại bàng,+ = Y X * Y
Quy tắc: = Y Z * | Z = Y * Z | * = Z Y | * Y = Z | Kết quả: cò = trâu việt quất * cò,Z = Y * Z
