question,target
"Nếu một cây bồ công anh nhỏ, thì bồ công anh là tốt.
Nếu bồ công anh mạnh, thì bồ công anh nóng.
Nếu một cây bồ công anh to và mềm, thì bồ công anh thật nhàm chán.
Nếu một cây bồ công anh có màu đỏ và đáng sợ, thì bồ công anh đã già.
Nếu một cây bồ công anh sạch hoặc trẻ, thì bồ công anh có màu tím.
Điều:
Bồ công anh có màu tím và nhàm chán.
Những điều sau đây có thể được xác định về bồ công anh:",Sự không có.
"Nếu một bông hồng nóng, thì hoa hồng có màu xanh.
Nếu một bông hồng đáng sợ hoặc nhỏ, thì hoa hồng là hạnh phúc.
Nếu một bông hồng thông minh, thì hoa hồng có màu đỏ.
Nếu một bông hồng chậm hoặc màu xanh lá cây, thì hoa hồng đã già.
Nếu một bông hồng xấu, thì hoa hồng lạnh.
Điều:
Hoa hồng rất đẹp và nóng.
Những điều sau đây có thể được xác định về hoa hồng:",Hoa hồng có màu xanh.
"Nếu Bob nhàm chán, thì Bob to lớn.
Nếu Bob chậm và đỏ, thì Bob hạnh phúc.
Nếu Bob lạnh, thì Bob nhỏ.
Nếu Bob mềm mại và nhanh nhẹn, thì Bob tròn.
Nếu Bob xấu, thì Bob đã già.
Điều:
Bob mềm mại và hạnh phúc.
Những điều sau đây có thể được xác định về Bob:",Sự không có.
"Nếu Carol sạch sẽ, thì Carol có màu tím.
Nếu Carol thông minh, thì Carol đã già.
Nếu Carol mạnh mẽ và nhàm chán, thì Carol mềm mại.
Nếu Carol nhanh và buồn, thì Carol rất lớn.
Nếu Carol đỏ hoặc hạnh phúc, thì Carol có màu xanh lá cây.
Điều:
Carol hạnh phúc và mạnh mẽ.
Những điều sau đây có thể được xác định về Carol:",Carol có màu xanh lá cây.
"Nếu Bob lạnh và tím, thì Bob tốt.
Nếu Bob đáng sợ và yếu đuối, thì Bob to lớn.
Nếu Bob nhỏ bé và buồn, thì Bob thật nhàm chán.
Nếu Bob chậm hoặc xấu, thì Bob có màu xanh.
Nếu Bob có màu đỏ, thì Bob thông minh.
Điều:
Bob có màu xanh và nhanh.
Những điều sau đây có thể được xác định về Bob:",Sự không có.
"Nếu một con chuột yếu hoặc lớn, thì chuột mạnh.
Nếu một con chuột đẹp hoặc màu tím, thì con chuột buồn.
Nếu một con chuột tròn và chậm, thì chuột xấu.
Nếu chuột nhanh, thì chuột nhỏ.
Nếu một con chuột hạnh phúc, thì con chuột đã già.
Điều:
Con chuột có màu xanh lá cây và trẻ.
Những điều sau đây có thể được xác định về chuột:",Sự không có.
"Nếu một cây bồ công anh có màu xanh, thì bồ công anh lớn.
Nếu bồ công anh yếu hoặc tròn, thì bồ công anh là xấu.
Nếu một cây bồ công anh có màu xanh và đẹp, thì bồ công anh rất buồn.
Nếu một cây bồ công anh là đáng sợ, thì bồ công anh là thông minh.
Nếu một cây bồ công anh hạnh phúc, thì bồ công anh có màu tím.
Điều:
Bồ công anh có màu xanh và xấu.
Những điều sau đây có thể được xác định về bồ công anh:",Bồ công anh to.
"Nếu một con nhím có màu đỏ, thì con nhím chậm.
Nếu một con nhím già, thì con nhím buồn.
Nếu một con nhím khỏe, thì con nhím có màu tím.
Nếu một con nhím mềm hoặc lạnh, thì con nhím nhỏ.
Nếu một con nhím có màu xanh lá cây, thì con nhím thật đáng sợ.
Điều:
Con nhím rất đẹp và mềm mại.
Những điều sau đây có thể được xác định về con nhím:",Con nhím nhỏ.
"Nếu một con gấu có màu tím, thì con gấu sạch sẽ.
Nếu một con gấu khỏe, thì con gấu có màu xanh lá cây.
Nếu một con gấu hạnh phúc và xấu, thì con gấu buồn.
Nếu một con gấu lớn, thì con gấu còn nhỏ.
Nếu một con gấu có màu đỏ và tốt, thì con gấu đã già.
Điều:
Con gấu to và đẹp.
Những điều sau đây có thể được xác định về con gấu:",Con gấu còn nhỏ.
"Nếu một cây anh túc nóng, thì cây anh túc thật đáng sợ.
Nếu một cây anh túc có màu đỏ, thì cây anh túc rất mạnh.
Nếu một cây anh túc sạch, thì cây anh túc buồn.
Nếu một cây anh túc hạnh phúc, thì cây anh túc yếu.
Nếu một cây anh túc nhàm chán hoặc trẻ, thì cây anh túc rất to.
Điều:
Cây anh túc thông minh và nhàm chán.
Những điều sau đây có thể được xác định về cây anh túc:",Cây anh túc to.
"Nếu một cái cây đẹp và nhàm chán, thì cây đó xấu.
Nếu một cây khỏe, thì cây đã già.
Nếu một cái cây buồn hoặc thông minh, thì cây nóng.
Nếu một cây to và sạch sẽ, thì cây rất nhanh.
Nếu một cây non hoặc lạnh, thì cây thật đáng sợ.
Điều:
Cây thông minh và nhàm chán.
Những điều sau đây có thể được xác định về cây:",Cây nóng.
"Nếu một con gấu buồn, thì con gấu thật nhàm chán.
Nếu một con gấu hạnh phúc và nhanh chóng, thì con gấu mềm mại.
Nếu một con gấu lạnh, thì con gấu còn nhỏ.
Nếu một con gấu có màu tím, thì con gấu có màu xanh.
Nếu một con gấu tốt hoặc lớn, thì con gấu sạch sẽ.
Điều:
Con gấu buồn và nhanh.
Những điều sau đây có thể được xác định về con gấu:",Con gấu thật nhàm chán.
"Nếu một cái cây lạnh, thì cây buồn.
Nếu một cây có màu xanh, thì cây chậm.
Nếu một cái cây đáng sợ và to lớn, thì cây đã già.
Nếu một cây khỏe, thì cây mềm.
Nếu một cây sạch và tốt, thì cây có màu đỏ.
Điều:
Cây lạnh và non.
Những điều sau đây có thể được xác định về cây:",Cây buồn bã.
"Nếu một con gấu có màu tím hoặc xanh lá cây, thì con gấu lớn.
Nếu một con gấu nhỏ, thì con gấu rất đẹp.
Nếu một con gấu thông minh, thì con gấu mềm.
Nếu một con gấu tròn và đáng sợ, thì con gấu lạnh.
Nếu một con gấu chậm chạp và buồn bã, thì con gấu rất khỏe.
Điều:
Con gấu lạnh lùng và nhàm chán.
Những điều sau đây có thể được xác định về con gấu:",Sự không có.
