source, target
“Quy tắc: * Y - * X Z | Thay thế: X bằng “” cá mập “”, Y bằng “” cò “”, Z bằng “” cò “"”, * cò - * cò cá mập
“Quy tắc: X Z X = - - | Thay thế: X bằng “” nho táo “”, Z bằng “” chim cánh cụt “"”, nho táo chim cánh cụt nho táo táo = - -
“Quy tắc: X = Y X * | Thay thế: X bằng “” đào “”, Y bằng “” đại bàng rắn hổ mang “"”, đào = rắn hổ mang đại bàng đào *
“Quy tắc: * = Z - Y | Thay thế: Y bằng “” lê “”, Z bằng “” blackberry “"”, * = blackberry - lê
“Quy tắc: + X Y X = | Thay thế: X bằng “” chim cánh cụt dưa hấu “”, Y bằng “” kiwi đại bàng “"”, + chim cánh cụt dưa hấu đại bàng kiwi chim cánh cụt dưa hấu =
“Quy tắc: X Z - = X | Thay thế: X bằng “” cò việt quất “”, Z bằng “” dâu việt quất “"”, cò việt quất dâu tây việt quất - = cò việt quất
“Quy tắc: Z - + Z | Thay thế: Z bằng “” dâu tây “"”, dâu tây - + dâu tây
“Quy tắc: Z Y Y * + + | Thay thế: Y bằng “” táo “”, Z bằng “” chuối “"”, táo chuối * +
“Quy tắc: Z = X X + | Thay thế: X bằng “” táo “”, Z bằng “” nho cá mập “"”, nho cá mập = táo táo +
“Quy tắc: Y X * * Z | Thay thế: X bằng “” rắn hổ mang chim cánh cụt “”, Y bằng “” lê lê “”, Z bằng “” dâu tây “”, rắn hổ mang chim cánh cụt lê lê * * dâu
“Quy tắc: Z X * * X + | Thay thế: X bằng “” táo chim cánh cụt “”, Z bằng “” nho dưa hấu “”, táo chim cánh cụt nho dưa hấu * * táo chim cánh cụt +
“Quy tắc: X = * Z X | Thay thế: X bằng “” sư tử nho “”, Z bằng “” hải cẩu chuối “"”, sư tử nho = * hải cẩu chuối nho sư tử
“Quy tắc: X Z X = + - | Thay thế: X bằng “” táo sư tử “”, Z bằng “” dưa hấu “”, táo sư tử táo sư tử táo = + -
“Quy tắc: * + Y Z Y | Thay thế: Y bằng “” chuột kiwi “”, Z bằng “” cá voi “"”, * + chuột kiwi cá voi kiwi
“Quy tắc: - X Y = + | Thay thế: X bằng “” chuột “”, Y bằng “” đào “"”, - đào chuột = +
“Quy tắc: X * X Y - | Thay thế: X bằng “" trâu chim cánh cụt "”, Y bằng “" cá mập voi "”, trâu chim cánh cụt * chim cánh cụt trâu cá mập voi -
“Quy tắc: - + Y X X | Thay thế: X bằng “” kiwi lê “”, Y bằng “” kiwi nho “"”, - + kiwi nho kiwi lê kiwi lê
“Quy tắc: + Y Y Z + | Thay thế: Y bằng “" táo đào "”, Z bằng “" trâu "”, + táo đào táo đào trâu +
“Quy tắc: = - = Y X | Thay thế: X bằng “” chuối cá voi “”, Y bằng “” chuối “"”, = - = chuối cá voi chuối
“Quy tắc: Y + = Z * | Thay thế: Y bằng “" trâu "”, Z bằng “" việt quất "”, trâu + = việt quất *
“Quy tắc: + Y X Z = | Thay thế: X bằng “” ngựa vằn “”, Y bằng “” đào “”, Z bằng “” con dấu “"”, + con dấu ngựa vằn đào =
“Quy tắc: = Y + Z Z - | Thay thế: Y bằng “” lê “”, Z bằng “” chuột “"”, = lê + chuột -
“Quy tắc: = Z + X + Z | Thay thế: X bằng “” việt quất “”, Z bằng “” cò “"”, = cò + việt quất + cò
“Quy tắc: X X Y * * * | Thay thế: X bằng “” cò cá mập “”, Y bằng “” kiwi đào “"”, cá mập cò cá mập cò đào kiwi * * *
“Quy tắc: * Y Y + | Thay thế: Y bằng “” kiwi blackberry “"”, * kiwi blackberry kiwi blackberry +
“Quy tắc: - + Z Y Y + | Thay thế: Y bằng “” ngựa vằn “”, Z bằng “” chuột cò “"”, - + cò chuột ngựa vằn +
“Quy tắc: Z = - Z | Thay thế: Z bằng “” cá mập dưa hấu “"”, cá mập dưa hấu = - cá mập dưa hấu
“Quy tắc: * X - Z Z | Thay thế: X bằng “” sư tử cò “”, Z bằng “” rắn hổ mang đại bàng “"”, * sư tử cò - rắn hổ mang đại bàng đại bàng
“Quy tắc: Z * = Y Y | Thay thế: Y bằng “” rắn hổ mang cá voi “”, Z bằng “” dâu đen “”, dâu đen * = rắn hổ mang cá voi
“Quy tắc: Y Y - = * X | Thay thế: X bằng “” rắn hổ mang đào “”, Y bằng “" ngựa đào "”, ngựa đào đào ngựa - = * rắn hổ mang đào
“Quy tắc: Y X + - + | Thay thế: X bằng “” rắn hổ mang “”, Y bằng “” cá voi “"”, rắn hổ mang cá voi + - +
“Quy tắc: + Y - X * | Thay thế: X bằng “" kiwi "”, Y bằng “" lê trâu ""”, + trâu lê - kiwi *
“Quy tắc: = Z Z = - | Thay thế: Z bằng “” kiwi “"”, = kiwi = -
“Quy tắc: + Y Y + | Thay thế: Y bằng “” lê đại bàng “"”, + lê đại bàng đại bàng +
“Quy tắc: Z Z + + Y + | Thay thế: Y bằng “” kiwi cá mập “”, Z bằng “” kiwi “”, kiwi kiwi + + cá mập kiwi +
“Quy tắc: + X Y + = Y | Thay thế: X bằng “” dâu tây “”, Y bằng “” ngựa “"”, + ngựa dâu + = ngựa
“Quy tắc: * = X Y | Thay thế: X bằng “” sư tử việt quất “”, Y bằng “” rắn hổ mang “"”, * = rắn hổ mang việt quất sư tử
“Quy tắc: = Y X X + * | Thay thế: X bằng “" hải cẩu ngựa "”, Y bằng “" dưa hấu đào "”, = đào dưa hấu hải cẩu ngựa hải cẩu ngựa + *
“Quy tắc: + - Z Y | Thay thế: Y bằng “” blackberry “”, Z bởi “” cò “"”, + - cò blackberry
“Quy tắc: = Y = X X | Thay thế: X bằng “” chim cánh cụt ngựa “”, Y bằng “” cá voi “"”, = cá voi = = chim cánh cụt ngựa
“Quy tắc: - Y * X * | Thay thế: X bằng “” cá voi “”, Y bằng “” rắn hổ mang việt quất “"”, - rắn hổ mang việt quất * cá voi *
“Quy tắc: Y + * * Y | Thay thế: Y bằng “” táo ngựa “"”, táo ngựa +* * táo ngựa
“Quy tắc: = X * Z X | Thay thế: X bằng “” sư tử “”, Z bằng “” ngựa vằn blackberry “"”, = sư tử * sư tử đen ngựa vằn
“Quy tắc: * + X + Y X | Thay thế: X bằng “” dâu tây “”, Y bằng “” nho “"”, * + dâu tây + dâu tây
“Quy tắc: Y + + Z X | Thay thế: X bằng “” dâu đào “”, Y bằng “” con dấu táo “”, Z bằng “” ngựa vằn “”, con dấu táo + + ngựa vằn đào dâu
“Quy tắc: Y Y + * X | Thay thế: X bằng “” nho “”, Y bằng “” nho ngựa vằn “"”, nho ngựa vằn +* nho
“Quy tắc: * X - Z + Y | Thay thế: X bằng “” dâu tây “”, Y bằng “” lê chuột “”, Z bằng “” chuột “”, * dâu tây - chuột + lê
“Quy tắc: Y = Y = | Thay thế: Y bằng “” cá voi “"”, cá voi voi = = cá voi voi =
