source, target
Hai kết quả: + việt quất = ngựa | + rắn hổ mang việt quất = cò cá voi, Quy tắc: + Z = X
Hai kết quả: nho + nho + nho = | đại bàng + đại bàng + đại bàng =, Quy tắc: Y + Y + Y =
Hai kết quả: lê * việt quất lê - | trâu * chim cánh cụt đào trâu -, Quy tắc: Y * Z Y -
Hai kết quả: cá voi cò = cò - | chim cánh cụt cá voi chim cánh cụt nho = chim cánh cụt cá voi -, Quy tắc: Y X = Y -
Hai kết quả: chim cánh cụt đào đào đào - = + chim cánh cụt đào | chuối chuối - = + chuối, Quy tắc: Y Y - = + Y
Hai kết quả: + quả việt quất con dấu táo - = | + dưa hấu ngựa vằn - =, Quy tắc: + Z Y - =
Hai kết quả: = cá mập cò = + | = hải cẩu trâu hải cẩu = +, Quy tắc: = X Z = +
Hai kết quả: - cá mập ngựa vằn đào = | - hải cẩu ngựa vằn đào =, Quy tắc: - Y X Z =
Hai kết quả: = trâu cá mập * + dưa hấu | = chim cánh cụt * + trâu, Quy tắc: = Y * + Z
Hai kết quả: - - chuột chuột + trâu ngựa | - - ngựa vằn + dâu tây, Quy tắc: - - Y + Z
Hai kết quả: = ngựa vằn đại bàng - | = hải cẩu dâu đen dưa hấu -, Quy tắc: = Z X -
Hai kết quả: - = nho = nho | - = cá mập = rắn hổ mang dâu đen, Quy tắc: - = Y = X
Hai kết quả: nho = + sư tử - nho | dâu tây cá mập = + sư tử dâu đen - dâu cá mập, Quy tắc: X = + Z - X
Hai kết quả: * = cò lê chim cánh cụt lê lê | * = dâu trâu ngựa vằn, Quy tắc: * = Z X
Hai kết quả: = + cò đại bàng chuối chuối dâu | = + rắn hổ mang nho chuối cá mập chuột, Quy tắc: = + X Y Z
Hai kết quả: ngựa vằn blackberry blackberry zebra * + | dâu ngựa dâu tây ngựa * +, Quy tắc: Z Z * +
Hai kết quả: kiwi - = kiwi | kiwi đào - = kiwi đào, Quy tắc: Y - = Y
Hai kết quả: cá voi dâu tây + cò ngựa vằn = | lê chuột + sư tử sư tử dâu đen đào =, Quy tắc: X + Z Y =
Hai kết quả: * * ngựa vằn chuối - | * * chim cánh cụt nho -, Quy tắc: * * Z Y -
Hai kết quả: cò việt quất dâu vằn * - cò việt quất + | cò vằn việt quất * - việt quất +, Quy tắc: Y X * - X +
Hai kết quả: rắn hổ mang - dưa hấu dâu đen - rắn hổ mang | cá voi nho - đại bàng - cá voi nho, Quy tắc: Y - X - Y
Hai kết quả: * trâu táo + = chim cánh cụt | * dâu tây + = cá voi, Quy tắc: * X + = Z
Hai kết quả: * lê dâu đen nho = lê dâu đen | * sư tử đại bàng blackberry = sư tử đại bàng, Quy tắc: * Y Z = Y
Hai kết quả: = dâu táo + táo dâu = | = cò dưa hấu + cò dưa hấu =, Quy tắc: = X + X =
Hai kết quả: con dấu chuột * - - cá mập việt quất | dưa hấu ngựa vằn * - - ngựa vằn, Quy tắc: Y * - - X
Hai kết quả: + chuột chuối lê chuối lê + | + đào dâu đen +, Quy tắc: + X Y Y + +
Hai kết quả: blueberry buffalo blueberry buffalo zebra shark = - - | chim cánh cụt cá mập đại bàng = - -, Quy tắc: X X Z = - -
Hai kết quả: chuối chuối chuối chuối = - rắn hổ mang | dâu tây = - kiwi chuột, Quy tắc: Y Y = - Z
Hai kết quả: cá voi * * cá voi | chuột ngựa* * chuột ngựa, Quy tắc: X * * X
Hai kết quả: * đại bàng cá voi + - rắn hổ mang lê | * trâu + - kiwi việt quất, Quy tắc: * X + - Z
Hai kết quả: = + cò + | = + chim cánh cụt kiwi trâu +, Quy tắc: = + X Z +
Hai kết quả: * + táo dâu đen + lê dâu tây | * + hải cẩu lê + chim cánh cụt hải cẩu trâu, Quy tắc: * + Y + X Z
Hai kết quả: + việt quất chuối việt quất * chuối việt quất = | + trâu việt quất * việt quất =, Quy tắc: + Z Y * Z =
Hai kết quả: chuột - kiwi + kiwi | chuột nho - đại bàng + đại bàng, Quy tắc: Z - Y + Y
Hai kết quả: - = + cá mập cá mập lê | - = + dâu tây nho táo ngựa vằn, Quy tắc: - = + Z Y
Hai kết quả: = đại bàng trâu = chuột | = cò táo = trâu lê, Quy tắc: = Z = X
Hai kết quả: cò = cò = = | nho = nho = =, Quy tắc: Y = Y = =
Hai kết quả: - dưa hấu chuối - | - chim cánh cụt cá mập ngựa việt quất -, Quy tắc: - Y X -
Hai kết quả: + * chuối + ngựa | + * chuối đại bàng + chuột sư tử, Quy tắc: + * X + Z
Hai kết quả: ngựa vằn ngựa vằn = nho dâu đen - - | chuối chuối = dâu tây - -, Quy tắc: Y Y = X - -
Hai kết quả: dưa hấu - + rắn hổ mang | kiwi táo - + ngựa vằn, Quy tắc: X - + Y
Hai kết quả: * + con dấu nho cò ngựa vằn | * + ngựa vằn sư tử chuối, Quy tắc: * + X Z Y
Hai kết quả: đại bàng - nho lê đại bàng * | đào - đào *, Quy tắc: X - X Z *
Hai kết quả: = cá voi rắn hổ mang - rắn hổ mang | = cò blackberry - kiwi, Quy tắc: = X - Z
Hai kết quả: - sư tử lê +* lê | - rắn hổ mang sư tử rắn hổ mang kiwi + * rắn hổ mang sư tử, Quy tắc: - X Y + * X
Hai kết quả: đại bàng - = đại bàng đại bàng | nho - = nho nho, Quy tắc: Z - = Z Z
Hai kết quả: + rắn hổ mang việt quất ngựa + - | + lê chuối + -, Quy tắc: + Y X + -
