source,target
"Rules: + Z = X | Substitutions: X by "" horse "" , Z by "" blueberry """,+ blueberry = horse
"Rules: Y + Y + Y = | Substitutions: Y by "" grape """,grape + grape + grape =
"Rules: Y * Z Y - | Substitutions: Y by "" pear "" , Z by "" blueberry """,pear * blueberry pear -
"Rules: Y X = Y - | Substitutions: X by "" whale "" , Y by "" stork """,stork whale = stork -
"Rules: Y Y - = + Y | Substitutions: Y by "" penguin peach """,penguin peach penguin peach - = + penguin peach
"Rules: + Z Y - = | Substitutions: Y by "" blueberry "" , Z by "" apple seal """,+ apple seal blueberry - =
"Rules: = X Z = + | Substitutions: X by "" stork "" , Z by "" shark """,= stork shark = +
"Rules: - Y X Z = | Substitutions: X by "" zebra "" , Y by "" shark "" , Z by "" peach """,- shark zebra peach =
"Rules: = Y * + Z | Substitutions: Y by "" shark buffalo "" , Z by "" watermelon """,= shark buffalo * + watermelon
"Rules: - - Y + Z | Substitutions: Y by "" rat rat "" , Z by "" horse buffalo """,- - rat rat + horse buffalo
"Rules: = Z X - | Substitutions: X by "" zebra "" , Z by "" eagle """,= eagle zebra -
"Rules: - = Y = X | Substitutions: X by "" grape "" , Y by "" grape """,- = grape = grape
"Rules: X = + Z - X | Substitutions: X by "" grape "" , Z by "" lion """,grape = + lion - grape
"Rules: * = Z X | Substitutions: X by "" penguin pear "" , Z by "" stork pear """,* = stork pear penguin pear
"Rules: = + X Y Z | Substitutions: X by "" eagle stork "" , Y by "" banana "" , Z by "" banana strawberry """,= + eagle stork banana banana strawberry
"Rules: Z Z * + | Substitutions: Z by "" blackberry zebra """,blackberry zebra blackberry zebra * +
"Rules: Y - = Y | Substitutions: Y by "" kiwi """,kiwi - = kiwi
"Rules: X + Z Y = | Substitutions: X by "" strawberry whale "" , Y by "" stork "" , Z by "" zebra """,strawberry whale + zebra stork =
"Rules: * * Z Y - | Substitutions: Y by "" zebra "" , Z by "" banana """,* * banana zebra -
"Rules: Y X * - X + | Substitutions: X by "" blueberry stork "" , Y by "" zebra strawberry """,zebra strawberry blueberry stork * - blueberry stork +
"Rules: Y - X - Y | Substitutions: X by "" watermelon blackberry "" , Y by "" cobra """,cobra - watermelon blackberry - cobra
"Rules: * X + = Z | Substitutions: X by "" apple buffalo "" , Z by "" penguin """,* apple buffalo + = penguin
"Rules: * Y Z = Y | Substitutions: Y by "" pear blackberry "" , Z by "" blackberry grape """,* pear blackberry blackberry grape = pear blackberry
"Rules: = X + X = | Substitutions: X by "" apple strawberry """,= apple strawberry + apple strawberry =
"Rules: Y * - - X | Substitutions: X by "" shark blueberry "" , Y by "" seal rat """,seal rat * - - shark blueberry
"Rules: + X Y Y + + | Substitutions: X by "" rat "" , Y by "" banana pear """,+ rat banana pear banana pear + +
"Rules: X X Z = - - | Substitutions: X by "" blueberry buffalo "" , Z by "" zebra shark """,blueberry buffalo blueberry buffalo zebra shark = - -
"Rules: Y Y = - Z | Substitutions: Y by "" banana banana "" , Z by "" cobra """,banana banana banana banana = - cobra
"Rules: X * * X | Substitutions: X by "" whale """,whale * * whale
"Rules: * X + - Z | Substitutions: X by "" whale eagle "" , Z by "" cobra pear """,* whale eagle + - cobra pear
"Rules: = + X Z + | Substitutions: X by "" stork "" , Z by "" stork """,= + stork stork +
"Rules: * + Y + X Z | Substitutions: X by "" strawberry "" , Y by "" blackberry apple "" , Z by "" pear """,* + blackberry apple + strawberry pear
"Rules: + Z Y * Z = | Substitutions: Y by "" blueberry "" , Z by "" blueberry banana """,+ blueberry banana blueberry * blueberry banana =
"Rules: Z - Y + Y | Substitutions: Y by "" kiwi "" , Z by "" rat """,rat - kiwi + kiwi
"Rules: - = + Z Y | Substitutions: Y by "" shark shark "" , Z by "" pear whale """,- = + pear whale shark shark
"Rules: = Z = X | Substitutions: X by "" rat "" , Z by "" buffalo eagle """,= buffalo eagle = rat
"Rules: Y = Y = = | Substitutions: Y by "" stork """,stork = stork = =
"Rules: - Y X - | Substitutions: X by "" watermelon "" , Y by "" banana """,- banana watermelon -
"Rules: + * X + Z | Substitutions: X by "" banana "" , Z by "" horse """,+ * banana + horse
"Rules: Y Y = X - - | Substitutions: X by "" blackberry grape "" , Y by "" zebra """,zebra zebra = blackberry grape - -
"Rules: X - + Y | Substitutions: X by "" watermelon "" , Y by "" cobra """,watermelon - + cobra
"Rules: * + X Z Y | Substitutions: X by "" grape "" , Y by "" zebra "" , Z by "" seal stork """,* + grape seal stork zebra
"Rules: X - X Z * | Substitutions: X by "" eagle "" , Z by "" pear grape """,eagle - eagle pear grape *
"Rules: = X - Z | Substitutions: X by "" cobra whale "" , Z by "" cobra """,= cobra whale - cobra
"Rules: - X Y + * X | Substitutions: X by "" pear "" , Y by "" lion """,- pear lion + * pear
"Rules: Z - = Z Z | Substitutions: Z by "" eagle """,eagle - = eagle eagle
"Rules: + Y X + - | Substitutions: X by "" blueberry cobra "" , Y by "" horse """,+ horse blueberry cobra + -
"Rules: X * Z = | Substitutions: X by "" penguin whale "" , Z by "" stork stork """,penguin whale * stork stork =
"Rules: - = X X + | Substitutions: X by "" rat """,- = rat rat +
"Rules: + * Y Y | Substitutions: Y by "" blackberry """,+ * blackberry blackberry
"Rules: + X = = X | Substitutions: X by "" watermelon """,+ watermelon = = watermelon
"Rules: Z Y + - Y - | Substitutions: Y by "" watermelon "" , Z by "" peach """,peach watermelon + - watermelon -
"Rules: Z Y Z = + | Substitutions: Y by "" grape "" , Z by "" blackberry """,blackberry grape blackberry = +
"Rules: Y Z - + | Substitutions: Y by "" watermelon whale "" , Z by "" grape rat """,watermelon whale grape rat - +
"Rules: Z Y * - Y + | Substitutions: Y by "" lion "" , Z by "" banana penguin """,banana penguin lion * - lion +
"Rules: Z - = * X | Substitutions: X by "" lion "" , Z by "" grape lion """,grape lion - = * lion
"Rules: - Z Y X + - | Substitutions: X by "" rat "" , Y by "" zebra "" , Z by "" peach lion """,- peach lion zebra rat + -
"Rules: = X + - Y | Substitutions: X by "" cobra strawberry "" , Y by "" shark """,= cobra strawberry + - shark
"Rules: - Z * Y | Substitutions: Y by "" rat kiwi "" , Z by "" blueberry horse """,- blueberry horse * rat kiwi
"Rules: + Y * X + | Substitutions: X by "" shark "" , Y by "" peach """,+ peach * shark +
"Rules: Y Z - + Z | Substitutions: Y by "" cobra "" , Z by "" blueberry whale """,cobra blueberry whale - + blueberry whale
"Rules: Z = Z - Z = | Substitutions: Z by "" penguin """,penguin = penguin - penguin =
"Rules: * * X X | Substitutions: X by "" cobra eagle """,* * cobra eagle cobra eagle
"Rules: * Y Y * | Substitutions: Y by "" watermelon whale """,* watermelon whale watermelon whale *
"Rules: Z X Y * * | Substitutions: X by "" shark "" , Y by "" horse eagle "" , Z by "" lion lion """,lion lion shark horse eagle * *
"Rules: = X Y = X | Substitutions: X by "" whale "" , Y by "" eagle """,= whale eagle = whale
"Rules: + Z Y X - | Substitutions: X by "" blackberry zebra "" , Y by "" blackberry "" , Z by "" pear """,+ pear blackberry blackberry zebra -
"Rules: Y * X X * | Substitutions: X by "" cobra buffalo "" , Y by "" cobra grape """,cobra grape * cobra buffalo cobra buffalo *
"Rules: Z = Y + X | Substitutions: X by "" kiwi blueberry "" , Y by "" buffalo "" , Z by "" strawberry """,strawberry = buffalo + kiwi blueberry
"Rules: * X * X * | Substitutions: X by "" apple """,* apple * apple *
"Rules: * X - Z * Y | Substitutions: X by "" pear penguin "" , Y by "" whale "" , Z by "" buffalo """,* pear penguin - buffalo * whale
"Rules: X X * * | Substitutions: X by "" whale """,whale whale * *
"Rules: Z - X = * | Substitutions: X by "" peach horse "" , Z by "" penguin strawberry """,penguin strawberry - peach horse = *
"Rules: Y * - Z | Substitutions: Y by "" banana "" , Z by "" pear """,banana * - pear
"Rules: Z Y * - | Substitutions: Y by "" shark shark "" , Z by "" seal cobra """,seal cobra shark shark * -
"Rules: = * - Y X Y | Substitutions: X by "" whale "" , Y by "" apple buffalo """,= * - apple buffalo whale apple buffalo
"Rules: Y - Y X * | Substitutions: X by "" blueberry eagle "" , Y by "" seal lion """,seal lion - seal lion blueberry eagle *
"Rules: Z * X + Y + | Substitutions: X by "" blueberry "" , Y by "" eagle "" , Z by "" grape """,grape * blueberry + eagle +
"Rules: Z * X + + | Substitutions: X by "" whale "" , Z by "" blackberry """,blackberry * whale + +
"Rules: * Z Z - + Z | Substitutions: Z by "" cobra blueberry """,* cobra blueberry cobra blueberry - + cobra blueberry
"Rules: = * X X X | Substitutions: X by "" kiwi """,= * kiwi kiwi kiwi
"Rules: Y + Z * Y = | Substitutions: Y by "" eagle "" , Z by "" grape """,eagle + grape * eagle =
"Rules: X + - X Z | Substitutions: X by "" seal "" , Z by "" watermelon """,seal + - seal watermelon
"Rules: X * Y - - | Substitutions: X by "" whale kiwi "" , Y by "" kiwi """,whale kiwi * kiwi - -
"Rules: * Y Z - Z | Substitutions: Y by "" shark "" , Z by "" whale """,* shark whale - whale
"Rules: X X - Y + | Substitutions: X by "" stork "" , Y by "" cobra apple """,stork stork - cobra apple +
"Rules: Y + X X - | Substitutions: X by "" buffalo strawberry "" , Y by "" zebra """,zebra + buffalo strawberry buffalo strawberry -
"Rules: + = Y Y + Y | Substitutions: Y by "" grape """,+ = grape grape + grape
"Rules: Z * X Y + | Substitutions: X by "" peach "" , Y by "" horse apple "" , Z by "" buffalo strawberry """,buffalo strawberry * peach horse apple +
"Rules: + - Y Y | Substitutions: Y by "" stork lion """,+ - stork lion stork lion
"Rules: = X * Z Z | Substitutions: X by "" stork kiwi "" , Z by "" grape stork """,= stork kiwi * grape stork grape stork
"Rules: Y * - X | Substitutions: X by "" seal stork "" , Y by "" cobra """,cobra * - seal stork
"Rules: X Z - = | Substitutions: X by "" shark banana "" , Z by "" kiwi lion """,shark banana kiwi lion - =
"Rules: = X Y + - | Substitutions: X by "" whale cobra "" , Y by "" apple apple """,= whale cobra apple apple + -
"Rules: + Z Z * X + | Substitutions: X by "" lion "" , Z by "" buffalo shark """,+ buffalo shark buffalo shark * lion +
"Rules: Y Z - X * | Substitutions: X by "" rat "" , Y by "" cobra "" , Z by "" apple peach """,cobra apple peach - rat *
"Rules: Y + - * Z | Substitutions: Y by "" blackberry "" , Z by "" strawberry penguin """,blackberry + - * strawberry penguin
"Rules: - Y Y = * X | Substitutions: X by "" rat buffalo "" , Y by "" horse """,- horse horse = * rat buffalo
"Rules: - Y - Z Z | Substitutions: Y by "" seal "" , Z by "" watermelon """,- seal - watermelon watermelon
"Rules: Z Z Y - + | Substitutions: Y by "" banana "" , Z by "" strawberry """,strawberry strawberry banana - +
"Rules: Y * Z = Y | Substitutions: Y by "" banana whale "" , Z by "" peach grape """,banana whale * peach grape = banana whale
"Rules: = Z + X Z = | Substitutions: X by "" peach "" , Z by "" grape """,= grape + peach grape =
"Rules: - Z + X + Y | Substitutions: X by "" kiwi peach "" , Y by "" lion "" , Z by "" horse apple """,- horse apple + kiwi peach + lion
"Rules: + X X = - | Substitutions: X by "" kiwi zebra """,+ kiwi zebra kiwi zebra = -
"Rules: + X = Y | Substitutions: X by "" lion buffalo "" , Y by "" peach kiwi """,+ lion buffalo = peach kiwi
"Rules: + X - Z Z | Substitutions: X by "" kiwi "" , Z by "" whale whale """,+ kiwi - whale whale whale whale
"Rules: * - Y * Y | Substitutions: Y by "" kiwi """,* - kiwi * kiwi
"Rules: X * X - | Substitutions: X by "" whale """,whale * whale -
"Rules: Y - Z * - | Substitutions: Y by "" eagle "" , Z by "" stork """,eagle - stork * -
"Rules: + X Z * - | Substitutions: X by "" rat strawberry "" , Z by "" kiwi grape """,+ rat strawberry kiwi grape * -
"Rules: * Y - Z - Y | Substitutions: Y by "" stork apple "" , Z by "" whale blueberry """,* stork apple - whale blueberry - stork apple
"Rules: - Y Y Z - - | Substitutions: Y by "" blackberry watermelon "" , Z by "" buffalo strawberry """,- blackberry watermelon blackberry watermelon buffalo strawberry - -
"Rules: X + X = | Substitutions: X by "" horse """,horse + horse =
"Rules: Y X Y + - + | Substitutions: X by "" blackberry "" , Y by "" horse shark """,horse shark blackberry horse shark + - +
"Rules: Z = + Z * | Substitutions: Z by "" shark """,shark = + shark *
"Rules: X + + X Z | Substitutions: X by "" kiwi "" , Z by "" horse cobra """,kiwi + + kiwi horse cobra
"Rules: - Z Z * = | Substitutions: Z by "" banana kiwi """,- banana kiwi banana kiwi * =
"Rules: = X Z + - | Substitutions: X by "" zebra horse "" , Z by "" kiwi kiwi """,= zebra horse kiwi kiwi + -
"Rules: + Z X + = | Substitutions: X by "" shark seal "" , Z by "" cobra kiwi """,+ cobra kiwi shark seal + =
"Rules: * X + X | Substitutions: X by "" lion peach """,* lion peach + lion peach
"Rules: * Y Y X * | Substitutions: X by "" blackberry buffalo "" , Y by "" blueberry """,* blueberry blueberry blackberry buffalo *
"Rules: X + Z + | Substitutions: X by "" lion horse "" , Z by "" whale """,lion horse + whale +
"Rules: = Y - X - | Substitutions: X by "" rat "" , Y by "" cobra """,= cobra - rat -
"Rules: Y * = Z - | Substitutions: Y by "" banana "" , Z by "" blueberry """,banana * = blueberry -
"Rules: * X X - - | Substitutions: X by "" watermelon stork """,* watermelon stork watermelon stork - -
"Rules: Y + = Y Y | Substitutions: Y by "" rat """,rat + = rat rat
"Rules: + Z + - Z | Substitutions: Z by "" zebra rat """,+ zebra rat + - zebra rat
"Rules: - - X Z | Substitutions: X by "" seal "" , Z by "" eagle """,- - seal eagle
"Rules: = * Y = Z X | Substitutions: X by "" zebra kiwi "" , Y by "" watermelon "" , Z by "" stork """,= * watermelon = stork zebra kiwi
"Rules: * Z = * X Z | Substitutions: X by "" cobra "" , Z by "" stork buffalo """,* stork buffalo = * cobra stork buffalo
"Rules: X * X Z * | Substitutions: X by "" lion eagle "" , Z by "" buffalo apple """,lion eagle * lion eagle buffalo apple *
"Rules: X X + Z - | Substitutions: X by "" shark rat "" , Z by "" blueberry """,shark rat shark rat + blueberry -
"Rules: * Z X - Y - | Substitutions: X by "" strawberry whale "" , Y by "" rat penguin "" , Z by "" apple """,* apple strawberry whale - rat penguin -
"Rules: = Z Y * | Substitutions: Y by "" whale rat "" , Z by "" blueberry """,= blueberry whale rat *
"Rules: - + X Y X - | Substitutions: X by "" seal blueberry "" , Y by "" seal zebra """,- + seal blueberry seal zebra seal blueberry -
"Rules: - * Z Y * | Substitutions: Y by "" grape "" , Z by "" lion kiwi """,- * lion kiwi grape *
