source,target
Two results: + blueberry = horse | + blueberry cobra = whale stork,Rule: + Z = X
Two results: grape + grape + grape = | eagle + eagle + eagle =,Rule: Y + Y + Y =
Two results: pear * blueberry pear - | buffalo * penguin peach buffalo -,Rule: Y * Z Y -
Two results: stork whale = stork - | whale penguin grape penguin = whale penguin -,Rule: Y X = Y -
Two results: penguin peach penguin peach - = + penguin peach | banana banana - = + banana,Rule: Y Y - = + Y
Two results: + apple seal blueberry - = | + zebra watermelon - =,Rule: + Z Y - =
Two results: = stork shark = + | = buffalo seal buffalo seal = +,Rule: = X Z = +
Two results: - shark zebra peach = | - peach zebra seal =,Rule: - Y X Z =
Two results: = shark buffalo * + watermelon | = penguin * + buffalo,Rule: = Y * + Z
Two results: - - rat rat + horse buffalo | - - zebra zebra + strawberry,Rule: - - Y + Z
Two results: = eagle zebra - | = seal strawberry watermelon blackberry -,Rule: = Z X -
Two results: - = grape = grape | - = shark = cobra blackberry,Rule: - = Y = X
Two results: grape = + lion - grape | shark strawberry = + lion blackberry - shark strawberry,Rule: X = + Z - X
Two results: * = stork pear penguin pear | * = zebra buffalo strawberry,Rule: * = Z X
Two results: = + eagle stork banana banana strawberry | = + grape cobra banana rat shark,Rule: = + X Y Z
Two results: blackberry zebra blackberry zebra * + | strawberry horse strawberry horse * +,Rule: Z Z * +
Two results: kiwi - = kiwi | peach kiwi - = peach kiwi,Rule: Y - = Y
Two results: strawberry whale + zebra stork = | rat pear + lion lion blackberry peach =,Rule: X + Z Y =
Two results: * * banana zebra - | * * grape penguin -,Rule: * * Z Y -
Two results: zebra strawberry blueberry stork * - blueberry stork + | zebra stork blueberry * - blueberry +,Rule: Y X * - X +
Two results: cobra - watermelon blackberry - cobra | grape whale - eagle - grape whale,Rule: Y - X - Y
Two results: * apple buffalo + = penguin | * strawberry + = whale,Rule: * X + = Z
Two results: * pear blackberry blackberry grape = pear blackberry | * eagle lion blackberry = eagle lion,Rule: * Y Z = Y
Two results: = apple strawberry + apple strawberry = | = watermelon stork + watermelon stork =,Rule: = X + X =
Two results: seal rat * - - shark blueberry | zebra watermelon * - - zebra,Rule: Y * - - X
Two results: + rat banana pear banana pear + + | + blackberry peach peach + +,Rule: + X Y Y + +
Two results: blueberry buffalo blueberry buffalo zebra shark = - - | eagle eagle shark penguin = - -,Rule: X X Z = - -
Two results: banana banana banana banana = - cobra | strawberry strawberry = - rat kiwi,Rule: Y Y = - Z
Two results: whale * * whale | horse rat * * horse rat,Rule: X * * X
Two results: * whale eagle + - cobra pear | * buffalo + - blueberry kiwi,Rule: * X + - Z
Two results: = + stork stork + | = + penguin kiwi buffalo +,Rule: = + X Z +
Two results: * + blackberry apple + strawberry pear | * + seal pear + penguin seal buffalo,Rule: * + Y + X Z
Two results: + blueberry banana blueberry * blueberry banana = | + blueberry buffalo * blueberry =,Rule: + Z Y * Z =
Two results: rat - kiwi + kiwi | rat grape - eagle + eagle,Rule: Z - Y + Y
Two results: - = + pear whale shark shark | - = + strawberry grape apple zebra,Rule: - = + Z Y
Two results: = buffalo eagle = rat | = stork apple = pear buffalo,Rule: = Z = X
Two results: stork = stork = = | grape = grape = =,Rule: Y = Y = =
Two results: - banana watermelon - | - shark penguin blueberry horse -,Rule: - Y X -
Two results: + * banana + horse | + * eagle banana + lion rat,Rule: + * X + Z
Two results: zebra zebra = blackberry grape - - | banana banana = strawberry - -,Rule: Y Y = X - -
Two results: watermelon - + cobra | kiwi apple - + zebra,Rule: X - + Y
Two results: * + grape seal stork zebra | * + zebra lion banana,Rule: * + X Z Y
Two results: eagle - eagle pear grape * | peach - peach peach *,Rule: X - X Z *
Two results: = cobra whale - cobra | = blackberry stork - kiwi,Rule: = X - Z
Two results: - pear lion + * pear | - cobra lion cobra kiwi + * cobra lion,Rule: - X Y + * X
Two results: eagle - = eagle eagle | grape - = grape grape,Rule: Z - = Z Z
Two results: + horse blueberry cobra + - | + pear banana + -,Rule: + Y X + -
Two results: penguin whale * stork stork = | kiwi * pear =,Rule: X * Z =
Two results: - = rat rat + | - = peach cobra peach cobra +,Rule: - = X X +
Two results: + * blackberry blackberry | + * horse horse,Rule: + * Y Y
Two results: + watermelon = = watermelon | + blackberry = = blackberry,Rule: + X = = X
Two results: peach watermelon + - watermelon - | apple kiwi watermelon + - watermelon -,Rule: Z Y + - Y -
Two results: blackberry grape blackberry = + | strawberry rat grape strawberry = +,Rule: Z Y Z = +
Two results: watermelon whale grape rat - + | eagle shark - +,Rule: Y Z - +
Two results: banana penguin lion * - lion + | stork horse seal * - horse seal +,Rule: Z Y * - Y +
Two results: grape lion - = * lion | horse - = * cobra,Rule: Z - = * X
Two results: - peach lion zebra rat + - | - horse penguin horse + -,Rule: - Z Y X + -
Two results: = cobra strawberry + - shark | = grape + - horse,Rule: = X + - Y
Two results: - blueberry horse * rat kiwi | - stork stork * cobra,Rule: - Z * Y
Two results: + peach * shark + | + kiwi whale * penguin apple +,Rule: + Y * X +
Two results: cobra blueberry whale - + blueberry whale | pear buffalo lion - + lion,Rule: Y Z - + Z
Two results: penguin = penguin - penguin = | lion = lion - lion =,Rule: Z = Z - Z =
Two results: * * cobra eagle cobra eagle | * * eagle eagle,Rule: * * X X
Two results: * watermelon whale watermelon whale * | * watermelon watermelon *,Rule: * Y Y *
Two results: lion lion shark horse eagle * * | apple whale watermelon peach rat * *,Rule: Z X Y * *
Two results: = whale eagle = whale | = seal pear peach = seal,Rule: = X Y = X
Two results: + pear blackberry blackberry zebra - | + seal seal watermelon blueberry -,Rule: + Z Y X -
Two results: cobra grape * cobra buffalo cobra buffalo * | pear * horse rat horse rat *,Rule: Y * X X *
Two results: strawberry = buffalo + kiwi blueberry | whale grape = blackberry blackberry + grape,Rule: Z = Y + X
Two results: * apple * apple * | * banana * banana *,Rule: * X * X *
Two results: * pear penguin - buffalo * whale | * eagle - zebra kiwi * pear peach,Rule: * X - Z * Y
Two results: whale whale * * | watermelon shark watermelon shark * *,Rule: X X * *
Two results: penguin strawberry - peach horse = * | peach - blackberry = *,Rule: Z - X = *
Two results: banana * - pear | kiwi cobra * - watermelon,Rule: Y * - Z
Two results: seal cobra shark shark * - | strawberry rat * -,Rule: Z Y * -
Two results: = * - apple buffalo whale apple buffalo | = * - horse peach blackberry horse peach,Rule: = * - Y X Y
Two results: seal lion - seal lion blueberry eagle * | lion - lion grape shark *,Rule: Y - Y X *
Two results: grape * blueberry + eagle + | zebra * blueberry peach + cobra blackberry +,Rule: Z * X + Y +
Two results: blackberry * whale + + | shark zebra * watermelon blackberry + +,Rule: Z * X + +
Two results: * cobra blueberry cobra blueberry - + cobra blueberry | * seal seal - + seal,Rule: * Z Z - + Z
Two results: = * kiwi kiwi kiwi | = * rat rat rat,Rule: = * X X X
Two results: eagle + grape * eagle = | rat + banana pear * rat =,Rule: Y + Z * Y =
Two results: seal + - seal watermelon | eagle banana + - eagle banana grape,Rule: X + - X Z
Two results: whale kiwi * kiwi - - | strawberry * stork - -,Rule: X * Y - -
Two results: * shark whale - whale | * rat buffalo grape - grape,Rule: * Y Z - Z
Two results: stork stork - cobra apple + | kiwi kiwi - stork buffalo +,Rule: X X - Y +
Two results: zebra + buffalo strawberry buffalo strawberry - | peach + grape stork grape stork -,Rule: Y + X X -
Two results: + = grape grape + grape | + = penguin penguin + penguin,Rule: + = Y Y + Y
Two results: buffalo strawberry * peach horse apple + | pear * whale strawberry blackberry +,Rule: Z * X Y +
Two results: + - stork lion stork lion | + - shark shark,Rule: + - Y Y
Two results: = stork kiwi * grape stork grape stork | = stork lion * watermelon watermelon,Rule: = X * Z Z
Two results: cobra * - seal stork | whale * - eagle seal,Rule: Y * - X
Two results: shark banana kiwi lion - = | banana shark - =,Rule: X Z - =
Two results: = whale cobra apple apple + - | = lion pear banana + -,Rule: = X Y + -
Two results: + buffalo shark buffalo shark * lion + | + pear eagle pear eagle * apple +,Rule: + Z Z * X +
Two results: cobra apple peach - rat * | grape cobra apple - grape *,Rule: Y Z - X *
Two results: blackberry + - * strawberry penguin | penguin grape + - * blackberry grape,Rule: Y + - * Z
Two results: - horse horse = * rat buffalo | - watermelon watermelon = * lion,Rule: - Y Y = * X
Two results: - seal - watermelon watermelon | - horse - cobra watermelon cobra watermelon,Rule: - Y - Z Z
Two results: strawberry strawberry banana - + | zebra zebra pear shark - +,Rule: Z Z Y - +
Two results: banana whale * peach grape = banana whale | blueberry * watermelon peach = blueberry,Rule: Y * Z = Y
Two results: = grape + peach grape = | = seal lion + rat strawberry seal lion =,Rule: = Z + X Z =
Two results: - horse apple + kiwi peach + lion | - horse blackberry + zebra + lion seal,Rule: - Z + X + Y
Two results: + kiwi zebra kiwi zebra = - | + zebra zebra zebra zebra = -,Rule: + X X = -
Two results: + lion buffalo = peach kiwi | + cobra = rat grape,Rule: + X = Y
Two results: + kiwi - whale whale whale whale | + strawberry watermelon - buffalo buffalo,Rule: + X - Z Z
Two results: * - kiwi * kiwi | * - rat rat * rat rat,Rule: * - Y * Y
Two results: whale * whale - | blueberry * blueberry -,Rule: X * X -
Two results: eagle - stork * - | blackberry - watermelon * -,Rule: Y - Z * -
Two results: + rat strawberry kiwi grape * - | + seal blueberry cobra * -,Rule: + X Z * -
Two results: * stork apple - whale blueberry - stork apple | * zebra - whale - zebra,Rule: * Y - Z - Y
Two results: - blackberry watermelon blackberry watermelon buffalo strawberry - - | - buffalo lion buffalo lion cobra - -,Rule: - Y Y Z - -
Two results: horse + horse = | stork blackberry + stork blackberry =,Rule: X + X =
Two results: horse shark blackberry horse shark + - + | shark grape shark shark grape + - +,Rule: Y X Y + - +
Two results: shark = + shark * | zebra stork = + zebra stork *,Rule: Z = + Z *
Two results: kiwi + + kiwi horse cobra | kiwi + + kiwi buffalo,Rule: X + + X Z
Two results: - banana kiwi banana kiwi * = | - whale kiwi whale kiwi * =,Rule: - Z Z * =
Two results: = zebra horse kiwi kiwi + - | = whale whale + -,Rule: = X Z + -
Two results: + cobra kiwi shark seal + = | + seal lion seal + =,Rule: + Z X + =
Two results: * lion peach + lion peach | * lion pear + lion pear,Rule: * X + X
Two results: * blueberry blueberry blackberry buffalo * | * buffalo watermelon buffalo watermelon zebra *,Rule: * Y Y X *
Two results: lion horse + whale + | peach eagle + peach seal +,Rule: X + Z +
Two results: = cobra - rat - | = penguin watermelon - shark watermelon -,Rule: = Y - X -
Two results: banana * = blueberry - | watermelon penguin * = pear -,Rule: Y * = Z -
Two results: * watermelon stork watermelon stork - - | * banana eagle banana eagle - -,Rule: * X X - -
Two results: rat + = rat rat | buffalo apple + = buffalo apple buffalo apple,Rule: Y + = Y Y
Two results: + zebra rat + - zebra rat | + apple eagle + - apple eagle,Rule: + Z + - Z
Two results: - - seal eagle | - - eagle whale banana grape,Rule: - - X Z
Two results: = * watermelon = stork zebra kiwi | = * blueberry = blackberry cobra zebra,Rule: = * Y = Z X
Two results: * stork buffalo = * cobra stork buffalo | * eagle = * kiwi eagle,Rule: * Z = * X Z
Two results: lion eagle * lion eagle buffalo apple * | penguin whale * penguin whale zebra *,Rule: X * X Z *
Two results: shark rat shark rat + blueberry - | lion whale lion whale + stork blackberry -,Rule: X X + Z -
Two results: * apple strawberry whale - rat penguin - | * banana rat watermelon - banana -,Rule: * Z X - Y -
Two results: = blueberry whale rat * | = whale buffalo lion blackberry *,Rule: = Z Y *
Two results: - + seal blueberry seal zebra seal blueberry - | - + stork penguin kiwi stork -,Rule: - + X Y X -
Two results: - * lion kiwi grape * | - * eagle peach stork *,Rule: - * Z Y *
Two results: strawberry kiwi * + strawberry kiwi kiwi | blackberry * + blackberry eagle cobra,Rule: Z * + Z Y
Two results: - lion = stork stork | - cobra = apple,Rule: - Z = Y
Two results: lion strawberry kiwi strawberry kiwi + = | pear pear horse cobra horse cobra + =,Rule: Y X X + =
Two results: - - pear watermelon seal + | - - seal stork +,Rule: - - Z Y +
Two results: = shark strawberry shark = | = strawberry lion buffalo strawberry =,Rule: = Y Z Y =
Two results: * cobra + blackberry = cobra | * watermelon blueberry + blueberry blackberry = watermelon blueberry,Rule: * Z + X = Z
Two results: shark apple shark apple + blueberry + | grape grape + penguin grape +,Rule: Z Z + Y +
Two results: strawberry seal * + = strawberry | blueberry eagle lion * + = blueberry eagle,Rule: Z X * + = Z
Two results: = + zebra eagle + zebra eagle | = + whale blueberry + whale blueberry,Rule: = + X + X
Two results: - rat pear * = rat | - apple whale shark * = apple whale,Rule: - Z Y * = Z
Two results: shark shark + * | blueberry whale blueberry whale + *,Rule: Z Z + *
Two results: blackberry whale shark * * * blackberry whale | banana eagle lion * * * banana,Rule: Z Y * * * Z
Two results: - * penguin peach penguin peach seal | - * kiwi kiwi blueberry penguin,Rule: - * X X Z
Two results: kiwi seal = grape grape + | peach = whale whale +,Rule: Z = Y Y +
Two results: buffalo blueberry buffalo = = - | watermelon rat watermelon = = -,Rule: Y X Y = = -
Two results: blackberry horse blackberry horse blackberry = - | apple kiwi apple kiwi blueberry watermelon = -,Rule: X X Y = -
Two results: stork blackberry * zebra stork blackberry * | watermelon shark * buffalo watermelon shark *,Rule: Z * Y Z *
Two results: + stork eagle stork eagle = = | + horse eagle horse eagle = =,Rule: + Y Y = =
Two results: blackberry rat * - penguin blackberry | cobra blueberry * - peach,Rule: Z * - Y
Two results: penguin watermelon penguin watermelon * - | penguin penguin * -,Rule: Z Z * -
Two results: apple strawberry buffalo + apple strawberry - + | peach stork shark banana + peach stork - +,Rule: Y Z + Y - +
Two results: pear blackberry * apple rat pear blackberry * - | lion blueberry * penguin lion blueberry * -,Rule: Y * Z Y * -
Two results: * + blackberry watermelon zebra | * + strawberry banana lion watermelon,Rule: * + Y X Z
Two results: grape stork apple + grape - | grape apple blackberry apple + grape apple -,Rule: Z Y + Z -
Two results: - blueberry - strawberry * | - penguin buffalo - shark penguin *,Rule: - Z - X *
Two results: = peach rat strawberry penguin + | = rat blackberry buffalo +,Rule: = Y Z +
Two results: - = = horse strawberry seal apple | - = = kiwi zebra horse blueberry,Rule: - = = Z Y
Two results: blueberry watermelon banana * - | shark rat peach * -,Rule: Z Y * -
Two results: rat seal blueberry blueberry * - | penguin kiwi kiwi * -,Rule: Y X X * -
Two results: - cobra * horse seal | - blackberry * grape,Rule: - X * Y
Two results: cobra banana + cobra banana + cobra banana - | pear buffalo + pear buffalo + pear buffalo -,Rule: Y + Y + Y -
Two results: watermelon whale * peach strawberry * = watermelon whale | strawberry peach * watermelon * = strawberry peach,Rule: Z * Y * = Z
Two results: = - stork whale - stork whale | = - zebra eagle - zebra eagle,Rule: = - X - X
Two results: * * whale seal + whale seal rat | * * seal watermelon + seal watermelon shark blueberry,Rule: * * Z + Z Y
Two results: apple - = apple = | kiwi - = kiwi =,Rule: Y - = Y =
Two results: lion peach pear seal + * = | horse peach banana + * =,Rule: X Y + * =
Two results: + + stork lion shark | + + strawberry penguin,Rule: + + Z X
Two results: kiwi lion kiwi lion + kiwi lion * | rat rat + rat *,Rule: Y Y + Y *
Two results: = blackberry stork = banana blueberry | = zebra blueberry = strawberry,Rule: = Y = Z
Two results: - strawberry strawberry * stork + | - cobra stork cobra stork * banana +,Rule: - Z Z * X +
Two results: watermelon lion = stork penguin = watermelon lion | blueberry = blueberry = blueberry,Rule: Z = Y = Z
Two results: pear zebra + * = pear zebra | cobra peach + * = cobra peach,Rule: Y + * = Y
Two results: peach lion - blackberry * blackberry | pear peach - stork * stork,Rule: X - Y * Y
Two results: pear watermelon * - pear watermelon peach lion | penguin * - penguin grape seal,Rule: X * - X Z
Two results: * + penguin penguin penguin | * + whale cobra peach whale cobra,Rule: * + X Y X
Two results: + peach kiwi peach kiwi = horse | + banana banana = blueberry,Rule: + Z Z = X
Two results: watermelon + zebra whale zebra whale + | peach watermelon + rat blackberry rat blackberry +,Rule: Z + X X +
Two results: pear + buffalo penguin = - | rat apple + blackberry = -,Rule: X + Z = -
Two results: + eagle + lion whale lion whale | + stork + apple apple,Rule: + Z + Y Y
Two results: horse strawberry = + blueberry zebra buffalo + | eagle = + seal seal blackberry +,Rule: X = + Z Y +
Two results: buffalo buffalo = + buffalo | horse horse = + horse,Rule: X X = + X
Two results: + rat whale blueberry - rat | + apple banana - apple,Rule: + Z X - Z
Two results: kiwi cobra zebra penguin + strawberry * - | whale grape zebra + shark pear * -,Rule: Y Z + X * -
Two results: * eagle eagle horse - | * seal buffalo seal buffalo kiwi pear -,Rule: * Z Z Y -
Two results: rat stork + grape seal - rat stork | apple + zebra - apple,Rule: Z + Y - Z
Two results: lion blueberry blackberry + - | kiwi stork apple + -,Rule: X Y + -
Two results: = rat watermelon - rat watermelon - | = whale - whale -,Rule: = X - X -
Two results: - shark buffalo cobra = | - watermelon shark zebra =,Rule: - Z Y =
Two results: - banana strawberry = lion * shark whale | - apple = rat lion * penguin,Rule: - Z = X * Y
Two results: horse eagle + watermelon blueberry kiwi * | eagle shark + shark stork shark eagle *,Rule: X + Z Y *
Two results: grape apple grape apple + + + | banana blackberry banana blackberry + + +,Rule: Y Y + + +
Two results: + pear pear pear - | + eagle eagle eagle -,Rule: + X X X -
Two results: cobra - stork apple pear zebra + | kiwi - grape penguin +,Rule: Z - Y X +
Two results: penguin pear blueberry pear blueberry + * | horse blackberry watermelon watermelon + *,Rule: X Y Y + *
Two results: pear rat lion * pear = | rat strawberry banana * rat strawberry =,Rule: Y X * Y =
Two results: peach = * - peach grape pear | pear watermelon = * - pear watermelon kiwi,Rule: Z = * - Z Y
Two results: = apple grape apple grape * | = grape grape *,Rule: = Z Z *
Two results: * banana banana * + | * blackberry blackberry blackberry blackberry * +,Rule: * Z Z * +
Two results: - pear stork watermelon = - | - buffalo buffalo whale grape = -,Rule: - Z Y = -
Two results: + shark seal * shark seal | + zebra * zebra,Rule: + X * X
Two results: stork peach + stork peach stork * - | cobra apple + cobra apple apple apple * -,Rule: Z + Z Y * -
Two results: = - banana lion = banana lion | = - cobra cobra = cobra cobra,Rule: = - Z = Z
Two results: - * buffalo grape grape * | - * blueberry blueberry blueberry *,Rule: - * X Z Z *
Two results: penguin whale - eagle + | kiwi peach - strawberry strawberry +,Rule: Z - X +
Two results: kiwi cobra - peach = horse * | watermelon - rat = grape *,Rule: Y - X = Z *
Two results: zebra - - + horse zebra | cobra - - + pear cobra,Rule: Y - - + X Y
Two results: blueberry + zebra eagle blueberry * | shark + horse shark *,Rule: Z + Y Z *
Two results: shark eagle + * - shark | banana buffalo + * - seal stork,Rule: X + * - Z
Two results: kiwi kiwi = + | apple apple = +,Rule: Y Y = +
Two results: seal whale apple * - penguin | rat blueberry stork lion * - whale blackberry,Rule: Y X * - Z
Two results: + blueberry + rat rat | + lion + peach apple peach apple,Rule: + Z + X X
Two results: - * horse penguin - blackberry strawberry horse penguin | - * banana watermelon - lion zebra banana watermelon,Rule: - * Y - X Y
Two results: + - * zebra blueberry | + - * rat banana buffalo,Rule: + - * Z Y
Two results: = whale * blackberry whale | = penguin * stork seal penguin,Rule: = X * Z X
Two results: shark + = shark * | strawberry kiwi + = strawberry kiwi *,Rule: Y + = Y *
Two results: apple * + eagle | blueberry * + horse,Rule: Z * + Y
Two results: watermelon watermelon + watermelon + | seal seal + seal +,Rule: Z Z + Z +
Two results: = = blueberry + lion cobra blueberry | = = blackberry kiwi + shark lion blackberry kiwi,Rule: = = Y + X Y
Two results: horse apple zebra grape horse apple - * | seal banana horse rat seal banana - *,Rule: Y X Y - *
Two results: + * lion kiwi lion kiwi lion = | + * rat pear cobra cobra =,Rule: + * Y Z Z =
Two results: eagle - = eagle | penguin watermelon - = penguin watermelon,Rule: Z - = Z
Two results: penguin shark * seal shark = penguin shark | eagle * eagle horse = eagle,Rule: Z * X = Z
Two results: cobra pear + penguin seal + cobra pear * | stork + buffalo + stork *,Rule: Z + Y + Z *
Two results: * apple strawberry + strawberry kiwi | * zebra kiwi + apple strawberry eagle,Rule: * X + Y Z
Two results: + apple seal - penguin | + horse - pear blueberry,Rule: + X - Z
Two results: blueberry whale = + | watermelon kiwi penguin eagle = +,Rule: Z Y = +
Two results: = watermelon stork watermelon stork watermelon stork * * | = zebra zebra zebra * *,Rule: = X X X * *
Two results: + * = cobra cobra | + * = grape grape,Rule: + * = Z Z
