source,target
Two results: * stork - * shark stork | * horse - * buffalo penguin horse,Rule: * Y - * X Z
Two results: grape apple penguin grape apple = - - | pear shark eagle pear shark = - -,Rule: X Z X = - -
Two results: peach = cobra eagle peach * | rat = seal rat *,Rule: X = Y X *
Two results: * = blackberry - pear | * = zebra - pear blackberry,Rule: * = Z - Y
Two results: + watermelon penguin eagle kiwi watermelon penguin = | + shark seal pear shark =,Rule: + X Y X =
Two results: stork blueberry strawberry blueberry - = stork blueberry | seal zebra watermelon - = seal zebra,Rule: X Z - = X
Two results: strawberry - + strawberry | rat - + rat,Rule: Z - + Z
Two results: banana apple apple * + + | pear zebra pear zebra pear * + +,Rule: Z Y Y * + +
Two results: shark grape = apple apple + | zebra cobra = rat grape rat grape +,Rule: Z = X X +
Two results: pear pear penguin cobra * * strawberry | apple strawberry * * blackberry blackberry,Rule: Y X * * Z
Two results: watermelon grape penguin apple * * penguin apple + | lion pear watermelon * * watermelon +,Rule: Z X * * X +
Two results: grape lion = * seal banana grape lion | strawberry horse = * lion blueberry strawberry horse,Rule: X = * Z X
Two results: lion apple watermelon lion apple = + - | seal shark watermelon rat seal shark = + -,Rule: X Z X = + -
Two results: * + rat kiwi whale rat kiwi | * + buffalo watermelon buffalo,Rule: * + Y Z Y
Two results: - rat peach = + | - grape shark = +,Rule: - X Y = +
Two results: penguin buffalo * penguin buffalo whale shark - | shark pear * shark pear kiwi -,Rule: X * X Y -
Two results: - + grape kiwi kiwi pear kiwi pear | - + zebra whale kiwi whale kiwi,Rule: - + Y X X
Two results: + apple peach apple peach buffalo + | + rat rat buffalo +,Rule: + Y Y Z +
Two results: = - = banana whale banana | = - = pear eagle,Rule: = - = Y X
Two results: buffalo + = blueberry * | blackberry + = penguin shark *,Rule: Y + = Z *
Two results: + peach zebra seal = | + strawberry zebra seal blueberry =,Rule: + Y X Z =
Two results: = pear + rat rat - | = apple + eagle eagle -,Rule: = Y + Z Z -
Two results: = stork + blueberry + stork | = kiwi stork + seal + kiwi stork,Rule: = Z + X + Z
Two results: shark stork shark stork peach kiwi * * * | zebra grape zebra grape rat shark * * *,Rule: X X Y * * *
Two results: * kiwi blackberry kiwi blackberry + | * apple buffalo apple buffalo +,Rule: * Y Y +
Two results: - + stork rat zebra zebra + | - + grape apple strawberry strawberry strawberry strawberry +,Rule: - + Z Y Y +
Two results: watermelon shark = - watermelon shark | whale = - whale,Rule: Z = - Z
Two results: * stork lion - eagle cobra eagle cobra | * buffalo - seal seal,Rule: * X - Z Z
Two results: blackberry strawberry * = whale cobra whale cobra | cobra * = kiwi kiwi,Rule: Z * = Y Y
Two results: peach horse peach horse - = * cobra peach | penguin penguin - = * apple horse,Rule: Y Y - = * X
Two results: whale whale cobra + - + | horse peach kiwi + - +,Rule: Y X + - +
Two results: + pear buffalo - kiwi * | + pear horse - watermelon banana *,Rule: + Y - X *
Two results: = kiwi kiwi = - | = eagle eagle = -,Rule: = Z Z = -
Two results: + eagle pear eagle pear + | + shark lion shark lion +,Rule: + Y Y +
Two results: kiwi kiwi + + shark kiwi + | horse horse + + rat penguin +,Rule: Z Z + + Y +
Two results: + strawberry horse + = horse | + blackberry banana + = banana,Rule: + X Y + = Y
Two results: * = lion blueberry cobra | * = blackberry zebra,Rule: * = X Y
Two results: = peach watermelon seal horse seal horse + * | = whale whale eagle eagle + *,Rule: = Y X X + *
Two results: + - stork blackberry | + - eagle buffalo,Rule: + - Z Y
Two results: = whale = = horse penguin horse penguin | = whale kiwi = = apple penguin apple penguin,Rule: = Y = = X X
Two results: - cobra blueberry * whale * | - penguin banana * grape peach *,Rule: - Y * X *
Two results: horse apple + * * horse apple | watermelon banana + * * watermelon banana,Rule: Y + * * Y
Two results: = lion * zebra blackberry lion | = blackberry zebra * shark penguin blackberry zebra,Rule: = X * Z X
Two results: * + strawberry + grape strawberry | * + blackberry + seal eagle blackberry,Rule: * + X + Y X
Two results: apple seal + + zebra peach strawberry | buffalo seal + + whale blackberry,Rule: Y + + Z X
Two results: zebra grape zebra grape + * grape grape | grape buffalo grape buffalo + * apple cobra,Rule: Y Y + * X
Two results: * strawberry - rat + rat pear | * buffalo - horse strawberry + watermelon,Rule: * X - Z + Y
Two results: whale whale = = whale whale = | whale grape = = whale grape =,Rule: Y = = Y =
Two results: grape horse + = | penguin watermelon peach apple + =,Rule: Y Z + =
Two results: = pear watermelon pear watermelon rat buffalo - | = horse penguin horse penguin peach eagle -,Rule: = X X Y -
Two results: kiwi = * kiwi = | kiwi cobra = * kiwi cobra =,Rule: X = * X =
Two results: blueberry watermelon buffalo banana buffalo banana = = | whale pear kiwi pear kiwi = =,Rule: Y Z Z = =
Two results: = * cobra buffalo cobra buffalo cobra buffalo = | = * seal pear seal pear seal pear =,Rule: = * X X X =
Two results: + banana banana * | + buffalo buffalo *,Rule: + Z Z *
Two results: banana grape = - banana grape banana grape | rat shark = - rat shark rat shark,Rule: Y = - Y Y
Two results: = apple peach * pear pear apple peach * | = peach grape * buffalo apple peach grape *,Rule: = Z * Y Z *
Two results: blueberry horse rat - = | rat peach apple - =,Rule: X Y - =
Two results: zebra - blackberry = zebra = | rat - banana = rat =,Rule: Z - X = Z =
Two results: - peach peach strawberry = | - peach peach cobra horse =,Rule: - Z Z X =
Two results: = apple + grape lion | = lion zebra + pear,Rule: = X + Z
Two results: kiwi rat shark banana = blackberry zebra * | blackberry penguin grape = whale blueberry *,Rule: Y X = Z *
Two results: * peach zebra - whale stork | * stork - horse,Rule: * X - Z
Two results: lion = + lion lion * | whale = + whale whale *,Rule: Z = + Z Z *
Two results: strawberry kiwi seal + strawberry + | blueberry blueberry + blueberry +,Rule: Y Z + Y +
Two results: * kiwi + + kiwi | * buffalo + + buffalo,Rule: * Z + + Z
Two results: = eagle strawberry * eagle strawberry | = shark rat * shark rat,Rule: = Z * Z
Two results: cobra * horse - - | zebra * buffalo buffalo - -,Rule: Z * X - -
Two results: whale * horse rat + - | blueberry * eagle banana + -,Rule: X * Z + -
Two results: cobra eagle = grape + * | cobra = cobra + *,Rule: Z = X + *
Two results: pear - = cobra peach cobra peach * | blueberry - = banana seal banana seal *,Rule: Z - = Y Y *
Two results: * horse grape horse grape pear seal + * | * seal seal seal strawberry + *,Rule: * Z Z Y + *
Two results: + grape horse kiwi seal kiwi seal * | + rat eagle lion shark lion shark *,Rule: + Z Y Y *
Two results: seal apple = + * peach | grape strawberry = + * rat apple,Rule: Z = + * Y
Two results: + grape * grape | + whale * whale,Rule: + Z * Z
Two results: horse - - - pear | blueberry - - - penguin banana,Rule: Z - - - X
Two results: * + horse horse | * + apple apple,Rule: * + X X
Two results: = * banana zebra shark lion - stork blueberry | = * penguin strawberry blueberry - stork penguin,Rule: = * Z X - Y
Two results: - + buffalo stork shark | - + horse eagle blueberry grape,Rule: - + X Z
Two results: zebra * apple zebra + | seal blueberry * buffalo seal blueberry +,Rule: Z * Y Z +
Two results: + rat zebra seal lion rat zebra - | + zebra lion banana cobra zebra lion -,Rule: + X Z X -
Two results: = shark * stork = cobra pear | = blueberry * watermelon grape = cobra zebra,Rule: = X * Y = Z
Two results: = seal shark pear cobra + seal grape | = seal rat banana horse + watermelon,Rule: = Z Y + X
Two results: eagle shark strawberry = = whale | shark peach = = stork shark,Rule: Z Y = = X
Two results: = whale whale * - zebra cobra | = strawberry eagle strawberry eagle * - seal,Rule: = Z Z * - Y
Two results: = - + shark pear horse shark shark | = - + cobra zebra watermelon rat,Rule: = - + Z Y X
Two results: cobra = = grape pear cobra = | peach grape = = rat blueberry pear grape =,Rule: X = = Z Y =
Two results: shark kiwi shark kiwi = * = watermelon apple | seal seal = * = pear zebra,Rule: X X = * = Y
Two results: eagle eagle = - apple | eagle cobra eagle cobra = - grape,Rule: Z Z = - X
Two results: * - grape banana blackberry zebra blackberry zebra | * - banana blueberry penguin penguin,Rule: * - Z X X
Two results: eagle eagle - * * | shark shark - * *,Rule: Y Y - * *
Two results: + stork pear stork pear stork pear + | + blackberry blueberry blackberry blueberry blackberry blueberry +,Rule: + Y Y Y +
Two results: * stork seal + grape seal stork seal | * lion + zebra shark lion,Rule: * Z + X Z
Two results: * - zebra shark eagle blueberry eagle blueberry | * - whale eagle peach eagle peach,Rule: * - X Y Y
Two results: = = buffalo rat shark watermelon blackberry = | = = stork horse penguin =,Rule: = = X Z Y =
Two results: * blueberry zebra shark zebra blueberry zebra + + | * lion peach cobra lion peach + +,Rule: * Z Y Z + +
Two results: - * grape blackberry zebra + | - * kiwi peach grape +,Rule: - * Y X +
Two results: strawberry peach * - shark shark + | rat whale * - blueberry +,Rule: X * - Z +
Two results: lion + stork peach - | peach + stork buffalo -,Rule: Y + Z -
Two results: stork eagle = + stork eagle apple | rat buffalo = + rat buffalo zebra shark,Rule: Y = + Y X
Two results: * strawberry watermelon - = strawberry watermelon blackberry whale | * cobra - = cobra grape seal,Rule: * X - = X Z
Two results: blueberry + = grape | zebra stork + = blueberry,Rule: X + = Z
Two results: apple = + apple - | rat whale = + rat whale -,Rule: X = + X -
Two results: - pear - - buffalo | - cobra - - banana blackberry,Rule: - Z - - X
Two results: = lion lion * | = penguin penguin *,Rule: = Y Y *
