source,target
"Quy tắc: + Z = X | Thay thế: X bằng "" ngựa "" , Z bằng "" việt quất """,+ Quả việt quất = Ngựa
"Quy tắc: Y + Y + Y = | Thay thế: Y bằng "" nho """,nho + nho + nho =
"Quy tắc: Y * Z Y - | Thay thế: Y bằng "" lê "" , Z bằng "" việt quất """,lê * lê việt quất -
"Quy tắc: Y X = Y - | Thay thế: X bởi "" cá voi "" , Y bởi "" cò """,cò cá voi = cò -
"Quy tắc: Y Y - = + Y | Thay thế: Y bởi "" penguin peach """,chim cánh cụt đào chim cánh cụt - = + đào chim cánh cụt
"Quy tắc: + Z Y - = | Thay thế: Y bởi "" việt quất "" , Z bởi "" táo seal """,+ Quả việt quất Apple Seal - =
"Quy tắc: = X Z = + | Thay thế: X bởi "" cò "" , Z bởi "" cá mập """,= Cá mập cò = +
"Quy tắc: - Y x Z = | Thay thế: X bằng "" ngựa vằn "", Y bằng "" cá mập "", Z bằng "" đào """,- Đào ngựa vằn cá mập =
"Quy tắc: = Y * + Z | Thay thế: Y bởi "" trâu cá mập "", Z bởi "" dưa hấu """,= trâu cá mập * + dưa hấu
"Quy tắc: - - Y + Z | Thay thế: Y bởi "" chuột chuột "" , Z bởi "" trâu ngựa """,- - Chuột + trâu ngựa
"Quy tắc: = Z X - | Thay thế: X bởi "" ngựa vằn "", Z bởi "" đại bàng """,= Ngựa vằn đại bàng -
"Quy tắc: - = Y = X | Thay thế: X bằng "" nho "" , Y bằng "" nho """,- = nho = nho
"Quy tắc: X = + Z - X | Thay thế: X bằng "" nho "", Z bằng "" sư tử """,nho = + sư tử - nho
"Quy tắc: * = Z X | Thay thế: X bằng "" lê chim cánh cụt "" , Z bằng "" lê cò """,* = lê chim cánh cụt lê cò
"Quy tắc: = + X Y Z | Thay thế: X bởi "" cò đại bàng "" , Y bởi "" chuối "" , Z bởi "" chuối dâu tây ""","= + Cò đại bàng, chuối, chuối, dâu tây"
"Quy tắc: Z Z * + | Thay thế: Z bởi "" ngựa vằn dâu đen """,Ngựa vằn Blackberry Ngựa vằn Blackberry * +
"Quy tắc: Y - = Y | Thay thế: Y bởi "" kiwi """,kiwi - = kiwi
"Quy tắc: X + Z Y = | Thay thế: X bởi "" cá voi dâu "" , Y bởi "" cò "" , Z bởi "" ngựa vằn """,Cá voi dâu + cò ngựa vằn =
"Quy tắc: * * Z Y - | Thay thế: Y bằng "" ngựa vằn "", Z bằng "" chuối """,* * Ngựa vằn chuối -
"Quy tắc: Y X * - X + | Thay thế: X bởi "" cò việt quất "" , Y bởi "" ngựa vằn dâu tây """,cò việt quất dâu tây ngựa vằn * - cò việt quất +
"Quy tắc: Y - X - Y | Thay thế: X bởi "" dưa hấu blackberry "" , Y bởi "" rắn hổ mang """,rắn hổ mang - dưa hấu dâu đen - rắn hổ mang
"Quy tắc: * X + = Z | Thay thế: X bởi "" trâu táo "" , Z bởi "" chim cánh cụt """,* Trâu táo + = chim cánh cụt
"Quy tắc: * Y Z = Y | Thay thế: Y bởi "" lê blackberry "" , Z bởi "" blackberry grape """,* lê blackberry blackberry nho = lê blackberry
"Quy tắc: = X + X = | Thay thế: X bởi "" dâu táo """,= dâu táo + dâu táo =
